run,epoch,phase,p95_latency_ms
full_view_run1,79,run,1.772
full_view_run1,80,run,1.643
full_view_run1,81,run,1.803
full_view_run1,82,run,1.929
full_view_run1,83,run,2.017
full_view_run1,84,run,1.809
full_view_run1,85,run,2.905
full_view_run1,86,run,3.803
full_view_run1,87,run,2.869
full_view_run1,88,run,2.481
full_view_run1,89,run,2.997
full_view_run1,90,run,2.385
full_view_run1,91,run,1.961
full_view_run1,92,run,1.621
full_view_run1,93,run,1.891
full_view_run1,94,run,1.738
full_view_run1,95,run,2.223
full_view_run1,96,run,2.685
full_view_run1,97,run,2.139
full_view_run1,98,run,3.399
full_view_run1,99,run,3.433
full_view_run1,100,run,2.459
full_view_run1,1,reference,0.076
full_view_run1,2,reference,0.074
full_view_run1,3,reference,0.077
full_view_run1,4,reference,0.075
full_view_run1,5,reference,0.074
full_view_run1,6,reference,0.074
full_view_run1,7,reference,0.075
full_view_run1,8,reference,0.075
full_view_run1,9,reference,0.075
full_view_run1,10,reference,0.076
full_view_run1,11,reference,0.078
full_view_run1,12,reference,0.076
full_view_run1,13,reference,0.078
full_view_run1,14,reference,0.076
full_view_run1,15,reference,0.079
full_view_run1,16,reference,0.075
full_view_run1,17,reference,0.076
full_view_run1,18,reference,0.077
full_view_run1,19,reference,0.08
full_view_run1,20,reference,0.078
full_view_run1,21,reference,0.078
full_view_run1,22,reference,0.079
full_view_run1,23,reference,0.077
full_view_run1,24,reference,0.076
full_view_run1,25,reference,0.076
full_view_run1,26,reference,0.08
full_view_run1,27,reference,0.078
full_view_run1,28,reference,0.076
full_view_run1,29,reference,0.077
full_view_run1,30,reference,0.078
full_view_run1,31,reference,0.073
full_view_run1,32,reference,0.076
full_view_run1,33,reference,0.077
full_view_run1,34,reference,0.077
full_view_run1,35,reference,0.075
full_view_run1,36,reference,0.076
full_view_run1,37,reference,0.079
full_view_run1,38,reference,0.077
full_view_run1,39,reference,0.078
full_view_run1,40,reference,0.077
full_view_run1,41,reference,0.073
full_view_run1,42,reference,0.071
full_view_run1,43,reference,0.071
full_view_run1,44,reference,0.072
full_view_run1,45,reference,0.074
full_view_run1,46,reference,0.072
full_view_run1,47,reference,0.072
full_view_run1,48,reference,0.072
full_view_run1,49,reference,0.073
full_view_run1,50,reference,0.072
full_view_run1,51,reference,0.072
full_view_run1,52,reference,0.073
full_view_run1,53,reference,0.074
full_view_run1,54,reference,0.072
full_view_run1,55,reference,0.073
full_view_run1,56,reference,0.074
full_view_run1,57,reference,0.073
full_view_run1,58,reference,0.072
full_view_run1,59,reference,0.072
full_view_run1,60,reference,0.072
full_view_run1,61,reference,0.072
full_view_run1,62,reference,0.072
full_view_run1,63,reference,0.072
