Epoch,AverageLatency(us),delta_cache_hit_ratio,cache_log_epoch_term,cache_miss_epoch_term,predicted_average_latency_us,intercept,alpha_cache_log_epoch,beta_cache_miss_epoch,r_squared
1,50.06275,1.0,0.0,0.0,19.310972895368245,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
2,56.84807,1.0,0.6931471805599453,0.0,48.2119494963738,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
3,67.06268,1.0,1.0986122886681098,0.0,65.11793704218164,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
4,77.75942,1.0,1.3862943611198906,0.0,77.11292609737936,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
5,81.49989,1.0,1.6094379124341003,0.0,86.4169624349253,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
6,86.83769,1.0,1.791759469228055,0.0,94.01891364318718,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
7,92.53863,1.0,1.9459101490553132,0.0,100.44627180847283,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
8,101.04404,1.0,2.0794415416798357,0.0,106.0139026983849,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
9,104.70185,1.0,2.1972245773362196,0.0,110.92490118899502,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
10,112.33622,1.0,2.302585092994046,0.0,115.31793903593086,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
11,116.39941,1.0,2.3978952727983707,0.0,119.29192515838355,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
12,121.89613,1.0,2.4849066497880004,0.0,122.91989024419274,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
13,125.24594,1.0,2.5649493574615367,0.0,126.25729460279553,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
14,134.71925,1.0,2.6390573296152584,0.0,129.34724840947837,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
15,142.4325,1.0,2.70805020110221,0.0,132.22392658173868,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
16,140.44772,1.0,2.772588722239781,0.0,134.91487929939046,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
17,146.59571,1.0,2.833213344056216,0.0,137.442640827824,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
18,150.04344,0.9836308116093458,2.843058718072136,0.2946453910317748,142.06641927115035,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
19,158.25452,0.9730166151349688,2.864988048979993,0.512684312435592,146.09861002435838,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
20,162.78149,0.9616542805322051,2.8808587641916703,0.7669143893558972,150.39569931491758,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
21,168.2108,0.9465693125408697,2.8818515108911136,1.1220444366417355,155.51526331814708,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
22,172.82437,0.9456069576844935,2.92291125039377,1.196646930941142,158.29403735645147,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
23,177.2579,0.9492468397267299,2.976357975452186,1.1673226862852135,160.10319322742345,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
24,180.07364,0.9158948513852136,2.9107631406407406,2.0185235667548724,169.53991788338863,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
25,184.09612,0.890577003322514,2.8666567861784076,2.73557491693715,177.95434401736748,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
26,193.23507,0.8934091414985068,2.9108132309530297,2.771362321038823,180.30720091470215,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
27,190.74297,0.8864168483924225,2.9214853275791164,3.066745093404592,184.9759939632516,19.310972895368245,41.69529561911868,14.299469095708396,0.9440753354621131
