Epoch,WatcherCPU_median,WatcherCPU_median_centered_3epoch_mean
1,55.0,57.7
2,60.4,59.15
3,62.05,63.21666666666667
4,67.2,65.76666666666667
5,68.05000000000001,68.9
6,71.44999999999999,70.53333333333333
7,72.1,72.08333333333333
8,72.7,73.21666666666665
9,74.85,74.01666666666667
10,74.5,75.25
11,76.4,76.43333333333334
12,78.4,78.08333333333333
13,79.44999999999999,79.11666666666667
14,79.5,79.55
15,79.7,80.0
16,80.8,80.64999999999999
17,81.45,81.23333333333333
18,81.44999999999999,81.56666666666666
19,81.8,81.71666666666665
20,81.9,81.91666666666667
21,82.05,82.26666666666667
22,82.85,82.66666666666666
23,83.1,83.28333333333333
24,83.9,83.7
25,84.1,83.91666666666667
26,83.75,84.31666666666666
27,85.1,84.75
28,85.4,85.33333333333333
29,85.5,85.21666666666667
30,84.75,85.16666666666667
31,85.25,85.25
32,85.75,85.3
33,84.9,85.38333333333333
34,85.5,85.39999999999999
35,85.8,86.03333333333335
36,86.8,86.43333333333334
37,86.7,86.34999999999998
38,85.55,86.39999999999999
39,86.95,86.95
40,88.35,87.63333333333333
41,87.6,87.08333333333333
42,85.3,86.89999999999999
43,87.8,86.76666666666667
44,87.2,87.64999999999999
45,87.95,86.48333333333333
46,84.3,83.95
47,79.6,80.61666666666666
48,77.95,80.05
49,82.6,82.01666666666667
50,85.5,84.75
51,86.15,85.95
52,86.2,86.11666666666667
53,86.0,83.43333333333334
54,78.1,81.43333333333334
55,80.2,80.96666666666665
56,84.6,81.41666666666667
57,79.44999999999999,80.71666666666665
58,78.1,74.51666666666665
59,66.0,72.43333333333332
60,73.2,73.38333333333333
61,80.94999999999999,78.11666666666666
62,80.2,82.95
63,87.7,84.98333333333333
64,87.05,86.71666666666668
65,85.4,80.98333333333333
66,70.5,77.71666666666665
67,77.25,74.73333333333333
68,76.45,76.95
69,77.15,73.56666666666668
70,67.1,65.18333333333334
71,51.3,56.833333333333336
72,52.1,51.18333333333334
73,50.15,52.28333333333333
74,54.6,60.75
75,77.5,69.7
76,77.0,80.63333333333334
77,87.4,77.63333333333334
78,68.5,72.76666666666667
79,62.4,64.5
80,62.6,60.300000000000004
81,55.9,60.26666666666666
82,62.3,54.53333333333333
83,45.4,52.23333333333333
84,49.0,48.81666666666666
85,52.05,54.06666666666666
86,61.150000000000006,51.1
87,40.1,56.4
88,67.95,65.48333333333333
89,88.4,80.85000000000001
90,86.19999999999999,83.1
91,74.7,76.35
92,68.15,70.18333333333334
93,67.7,57.46666666666667
94,36.55,44.633333333333326
95,29.65,38.76666666666666
96,50.1,38.949999999999996
97,37.1,43.96666666666666
98,44.7,42.28333333333333
99,45.05,46.93333333333333
100,51.05,48.04999999999998
