Epoch,AverageLatency(us),delta_cache_hit_ratio,delta_temp_bytes,cache_composite_plus_temp_bytes,predicted_average_latency_us,regression_slope,regression_intercept,r_squared
1,50.06275,1.0,0,0.0,255.55413932473476,9.743739043123365e-06,255.55413932473476,0.6463823492091595
2,56.84807,1.0,0,0.6931471805599453,255.55414607858,9.743739043123365e-06,255.55413932473476,0.6463823492091595
3,67.06268,1.0,0,1.0986122886681098,255.55415002932622,9.743739043123365e-06,255.55413932473476,0.6463823492091595
4,77.75942,1.0,0,1.3862943611198906,255.55415283242525,9.743739043123365e-06,255.55413932473476,0.6463823492091595
5,81.49989,1.0,0,1.6094379124341003,255.55415500667777,9.743739043123365e-06,255.55413932473476,0.6463823492091595
6,86.83769,1.0,0,1.791759469228055,255.55415678317146,9.743739043123365e-06,255.55413932473476,0.6463823492091595
7,92.53863,1.0,0,1.9459101490553132,255.55415828517545,9.743739043123365e-06,255.55413932473476,0.6463823492091595
8,101.04404,1.0,0,2.0794415416798357,255.5541595862705,9.743739043123365e-06,255.55413932473476,0.6463823492091595
9,104.70185,1.0,0,2.1972245773362196,255.55416073391766,9.743739043123365e-06,255.55413932473476,0.6463823492091595
10,112.33622,1.0,0,2.302585092994046,255.55416176052304,9.743739043123365e-06,255.55413932473476,0.6463823492091595
11,116.39941,1.0,0,2.3978952727983707,255.55416268920055,9.743739043123365e-06,255.55413932473476,0.6463823492091595
12,121.89613,1.0,0,2.4849066497880004,255.5541635370167,9.743739043123365e-06,255.55413932473476,0.6463823492091595
13,125.24594,1.0,0,2.5649493574615367,255.55416431693197,9.743739043123365e-06,255.55413932473476,0.6463823492091595
14,134.71925,1.0,0,2.6390573296152584,255.5541650390207,9.743739043123365e-06,255.55413932473476,0.6463823492091595
15,142.4325,1.0,0,2.70805020110221,255.55416571126923,9.743739043123365e-06,255.55413932473476,0.6463823492091595
16,140.44772,1.0,0,2.772588722239781,255.55416634011576,9.743739043123365e-06,255.55413932473476,0.6463823492091595
17,146.59571,1.0,0,2.833213344056216,255.55416693082623,9.743739043123365e-06,255.55413932473476,0.6463823492091595
18,150.04344,0.9836308116093458,0,3.137704109103911,255.5541698977048,9.743739043123365e-06,255.55413932473476,0.6463823492091595
19,158.25452,0.9730166151349688,0,3.377672361415585,255.55417223589282,9.743739043123365e-06,255.55413932473476,0.6463823492091595
20,162.78149,0.9616542805322051,0,3.6477731535475675,255.55417486768445,9.743739043123365e-06,255.55413932473476,0.6463823492091595
21,168.2108,0.9465693125408697,0,4.003895947532849,255.55417833765202,9.743739043123365e-06,255.55413932473476,0.6463823492091595
22,172.82437,0.9456069576844935,0,4.119558181334912,255.55417946463464,9.743739043123365e-06,255.55413932473476,0.6463823492091595
23,177.2579,0.9492468397267299,0,4.143680661737399,255.5541796996778,9.743739043123365e-06,255.55413932473476,0.6463823492091595
24,180.07364,0.9158948513852136,0,4.9292867073956135,255.5541873544181,9.743739043123365e-06,255.55413932473476,0.6463823492091595
25,184.09612,0.890577003322514,0,5.6022317031155575,255.55419391141854,9.743739043123365e-06,255.55413932473476,0.6463823492091595
26,193.23507,0.8934091414985068,0,5.682175551991852,255.55419469037054,9.743739043123365e-06,255.55413932473476,0.6463823492091595
27,190.74297,0.8864168483924225,0,5.988230420983708,255.55419767248932,9.743739043123365e-06,255.55413932473476,0.6463823492091595
28,199.42926,0.8819807570910041,0,6.24347905811827,255.55420015956543,9.743739043123365e-06,255.55413932473476,0.6463823492091595
29,197.63752,0.8676746566483573,0,6.759152210314598,255.55420518415005,9.743739043123365e-06,255.55413932473476,0.6463823492091595
30,213.3883,0.8506336446119301,0,7.37416358644993,255.5542111766604,9.743739043123365e-06,255.55413932473476,0.6463823492091595
