Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
4,clean-run,10000,true,uniform,READ,18.3,6,501,1881128,594197,583758,58100,1,0,0,4,385024,689,46824,762690766,567503140,6747697830,12025273044,1204028036,173656216,25147489954371,29738169884,3973177294,80911289,1,0,0,0,0,6923,14444.604940054889,100000,64.44812,29,12383,85,207,100000
4,avg-run,10000,true,uniform,READ,0.1,5.4,503,5513995,1716156,1664440,138329,5,0,0,4,385024,689,46824,762690766,567503140,6747697830,12025280872,1204028036,173656216,25147554632379,29738348097,3973177362,80911289,1,0,0,0,0,6830,14641.288433382138,100000,63.33954,42,14927,87,122,100000
5,extend,10000,true,zipfian,EXTEND,0.1,6,2,24278092,7012487,6664078,1993875,500173,1924370,0,0,0,689,46827,762880723,567503140,6747736400,12025305922,1204115057,173656335,25149355766139,29741216747,3973338175,80911289,0,0,0,0,1,160184,624.282075613045,100000,1593.07201,382,12775,3781,6675,100000
5,run,10000,true,uniform,READ,0.1,6.1,2,27382541,7828734,7459185,1994127,500184,1924612,0,0,0,689,46827,762884712,567503140,6747736400,12025305923,1204115057,173656335,25149375276057,29741391468,3973361384,80911289,1,0,0,0,0,8210,12180.26796589525,100000,77.15303,31,15207,108,224,100000
5,reference,10000,true,uniform,READ,0.1,6.1,1,1562989,629716,514302,10119,1,0,0,0,0,689,46827,762884768,567503140,6747736400,12025305923,1204115057,173656335,25149375276057,29741391468,3973361384,80911289,1,0,0,0,0,4403,22711.78741766977,100000,39.12853,23,11887,51,78,100000
5,clean-run,10000,true,uniform,READ,16.8,7.5,502,2170220,682615,672176,67466,1,0,0,4,393216,689,46828,762961392,567503140,6747736402,12025315711,1204158593,173656396,25149452133616,29741511286,3973362435,80914449,1,0,0,0,0,7184,13919.821826280624,100000,67.13518,29,12367,96,220,100000
5,avg-run,10000,true,uniform,READ,0.1,6.8,504,5875185,1830240,1778444,147729,5,0,0,4,393216,689,46828,762961392,567503140,6747736402,12025324380,1204158593,173656396,25149526888993,29741690726,3973362440,80914449,1,0,0,0,0,7114,14056.78942929435,100000,66.18786,45,13007,85,124,100000
6,extend,10000,true,zipfian,EXTEND,4.3,13.3,2,33508015,9819456,9392091,2830858,600206,2753727,0,0,0,689,46832,763201295,567503140,6747772158,12025344309,1204271114,173656426,25151711177728,29744968373,3973533782,80914449,0,0,0,0,1,168614,593.0705635356495,100000,1677.20216,383,15015,4363,7711,100000
6,run,10000,true,uniform,READ,0.2,7.4,2,37366126,10778641,10329259,2831402,600228,2754261,0,0,0,689,46832,763207234,567503140,6747772227,12025344413,1204271114,173656426,25151802327867,29745342207,3973649127,80914449,1,0,0,0,0,8857,11290.504685559445,100000,83.94469,37,21503,114,252,100000
6,reference,10000,true,uniform,READ,0.2,7.4,1,1867245,756057,616769,10119,1,0,0,0,0,689,46832,763207285,567503140,6747772227,12025344413,1204271114,173656426,25151802327867,29745342207,3973649127,80914449,1,0,0,0,0,3992,25050.1002004008,100000,34.94991,22,10871,46,72,100000
6,clean-run,10000,true,uniform,READ,0.2,7.9,469,2568690,814477,803161,75397,1,0,0,4,385024,689,46833,763317039,567503140,6747772228,12025355658,1204305360,173656506,25151891839450,29745487734,3973650116,80921352,1,0,0,0,0,7715,12961.762799740765,100000,72.24731,35,13599,102,237,100000
6,avg-run,10000,true,uniform,READ,0.2,7.9,471,6563738,2050002,1998286,165397,5,0,0,4,385024,689,46833,763317039,567503140,6747772228,12025365958,1204305360,173656506,25151977050148,29745678344,3973650194,80921352,1,0,0,0,0,8049,12423.903590508138,100000,75.96196,48,12703,99,137,100000
7,extend,10000,true,zipfian,EXTEND,9.6,14.4,2,44372845,13066767,12559213,3809502,700250,3725922,0,0,0,689,46838,763681380,567503140,6747800636,12025375487,1204437611,173656603,25154620799559,29749538759,3973957589,80921352,0,0,0,0,1,178065,561.5926768314941,100000,1772.07211,385,13791,4959,8471,100000
7,run,10000,true,uniform,READ,0.2,8.4,2,48410724,14102411,13572840,3810105,700272,3726515,0,0,0,689,46838,763686273,567503140,6747800710,12025375560,1204437611,173656603,25154702866293,29749871585,3974057906,80922416,1,0,0,0,0,9489,10538.518284329224,100000,89.9453,41,15519,126,282,100000
7,reference,10000,true,uniform,READ,0.2,8.4,1,2171501,882398,719236,10119,1,0,0,0,0,689,46838,763686326,567503140,6747800710,12025375560,1204437611,173656603,25154702866293,29749871585,3974057906,80922416,1,0,0,0,0,4088,24461.83953033268,100000,36.00607,24,11791,50,79,100000
7,clean-run,10000,true,uniform,READ,15,9.2,406,2581642,828759,818320,81663,1,0,0,4,385024,689,46839,763792470,567503140,6747800711,12025388077,1204464894,173656683,25154802538877,29750019698,3974058893,80926725,1,0,0,0,0,8487,11782.726522917403,100000,80.19478,38,213887,107,228,100000
