model,train_scope,initial_train_epochs,predicted_epoch_range,n_predicted_epochs,mae_us,rmse_us,r2,late_mae_us_epoch_80_100,epoch97_pred_us,epoch97_abs_error_us
late_regime_wide_ridge,epochs_50_plus,20,70-100,31,154.77174622073647,241.69519130481729,0.7474339463518831,209.5184364581347,2120.797604657718,860.2023953422822
late_regime_wide_ridge,epochs_50_plus,30,80-100,21,209.5184364581347,291.7079134312385,0.7105482649939352,209.5184364581347,2120.797604657718,860.2023953422822
