model,phase,n,mae_us,rmse_us,r2
gradient_boosting,test,25,94.09491064092119,160.3974979054413,0.8245204608911294
ridge,test,25,253.84884021443014,505.31318589190045,-0.7416166528135384
gradient_boosting,test+validate,50,136.7917268448822,289.5461254616251,0.6551731365117682
ridge,test+validate,50,440.45606542007096,902.4250841361293,-2.3495610165921454
gradient_boosting,validate,25,179.4885430488432,376.75795971067714,0.5722067745835473
ridge,validate,25,627.0632906257117,1171.9217760243118,-3.1391034247403455
