model,n_predicted_epochs,mae_us,rmse_us,r2,late_mae_us_epoch_80_100
ridge_arx,75,168.82235515717755,326.6970326858553,0.51748251732546,426.60505286388235
gradient_boosting_arx,75,169.45614284295127,305.02422018815497,0.5793786386826951,404.6780309587158
