Epoch,95thPercentileLatency(us),AverageLatency(us),99thPercentileLatency(us),toast_total_gib,delta_toast_total_gib,delta_toast_total_bytes
1,61,44.88545,127,0.076690673828125,0.076690673828125,82345984.0
2,82,56.20376,167,0.2604827880859375,0.1837921142578125,197345280.0
3,85,62.66427,187,0.43444061279296875,0.17395782470703125,186785792.0
4,100,72.1172,212,0.5098114013671875,0.07537078857421875,80928768.0
5,108,77.15303,224,0.6998977661132812,0.19008636474609375,204103680.0
6,114,83.94469,252,0.8506317138671875,0.15073394775390625,161849344.0
7,126,89.9453,282,0.92205810546875,0.0714263916015625,76693504.0
8,132,96.64566,283,1.1487197875976562,0.22666168212890625,243376128.0
9,145,100.98068,309,1.2647247314453125,0.11600494384765625,124559360.0
10,147,103.14496,308,1.5121994018554688,0.24747467041015625,265723904.0
11,157,112.2711,353,2.1090621948242188,0.59686279296875,640876544.0
12,164,114.99617,342,2.156890869140625,0.04782867431640625,51355648.0
13,172,118.75751,344,2.5743789672851562,0.41748809814453125,448274432.0
14,186,128.28292,389,2.7387161254882812,0.164337158203125,176455680.0
15,189,128.57268,373,3.5301437377929688,0.7914276123046875,849788928.0
16,197,134.95684,402,3.5454254150390625,0.01528167724609375,16408576.0
17,198,135.66122,406,3.5454254150390625,0.0,0.0
18,211,149.52975,431,4.1696929931640625,0.624267578125,670302208.0
19,222,153.48552,464,4.227745056152344,0.05805206298828125,62332928.0
20,224,156.27624,466,4.23095703125,0.00321197509765625,3448832.0
21,221,155.51826,468,4.254791259765625,0.023834228515625,25591808.0
22,231,158.05774,490,5.246604919433594,0.9918136596679688,1064951808.0
23,246,163.19806,504,5.256126403808594,0.009521484375,10223616.0
24,244,166.15389,507,6.498687744140625,1.2425613403320312,1334190080.0
25,250,172.24326,530,6.498687744140625,0.0,0.0
26,264,174.83486,548,6.5017852783203125,0.0030975341796875,3325952.0
27,271,183.82509,562,6.715400695800781,0.21361541748046875,229367808.0
28,273,185.84764,555,6.726509094238281,0.0111083984375,11927552.0
29,286,191.31055,584,7.215705871582031,0.48919677734375,525271040.0
30,285,196.83973,594,8.68487548828125,1.4691696166992188,1577508864.0
31,298,204.31199,602,8.684883117675781,7.62939453125e-06,8192.0
32,308,206.25986,647,8.684883117675781,0.0,0.0
33,313,214.66556,623,9.161590576171875,0.47670745849609375,511860736.0
34,308,208.72873,615,9.331954956054688,0.1703643798828125,182927360.0
35,318,217.27243,637,9.339347839355469,0.00739288330078125,7938048.0
36,329,226.03581,718,9.745780944824219,0.40643310546875,436404224.0
37,331,227.48383,673,10.123115539550781,0.3773345947265625,405159936.0
38,339,228.0929,704,10.126754760742188,0.00363922119140625,3907584.0
39,344,237.13518,704,10.198585510253906,0.07183074951171875,77127680.0
40,349,243.64771,754,10.881874084472656,0.68328857421875,733675520.0
41,345,247.30313,773,11.178863525390625,0.29698944091796875,318889984.0
42,364,245.02061,744,11.838287353515625,0.659423828125,708050944.0
