Epoch,toast_total_bytes,delta_toast_total_bytes,delta_toast_total_gib,toast_heap_bytes,delta_toast_heap_bytes,delta_toast_heap_gib,toast_index_bytes,delta_toast_index_bytes,delta_toast_index_gib
49,14804115456,0.0,0.0,14269816832,0.0,0.0,530178048,0.0,0.0
50,15029510144,225394688.0,0.2099151611328125,14495154176,225337344.0,0.20986175537109375,530178048,0.0,0.0
51,15029510144,0.0,0.0,14495154176,0.0,0.0,530178048,0.0,0.0
52,16105463808,1075953664.0,1.0020599365234375,15524380672,1029226496.0,0.9585418701171875,576618496,46440448.0,0.04325103759765625
53,16430784512,325320704.0,0.302978515625,15849594880,325214208.0,0.30287933349609375,576618496,0.0,0.0
54,16430784512,0.0,0.0,15849594880,0.0,0.0,576618496,0.0,0.0
55,16430784512,0.0,0.0,15849594880,0.0,0.0,576618496,0.0,0.0
56,16434831360,4046848.0,0.0037689208984375,15849594880,0.0,0.0,580665344,4046848.0,0.0037689208984375
57,17376493568,941662208.0,0.8769912719726562,16791003136,941408256.0,0.8767547607421875,580665344,0.0,0.0
58,17376493568,0.0,0.0,16791003136,0.0,0.0,580665344,0.0,0.0
59,17395916800,19423232.0,0.01808929443359375,16791003136,0.0,0.0,600088576,19423232.0,0.01808929443359375
60,18509119488,1113202688.0,1.0367507934570312,17870848000,1079844864.0,1.0056838989257812,633135104,33046528.0,0.0307769775390625
61,18807644160,298524672.0,0.27802276611328125,18169290752,298442752.0,0.27794647216796875,633135104,0.0,0.0
62,19227631616,419987456.0,0.391143798828125,18589163520,419872768.0,0.3910369873046875,633135104,0.0,0.0
63,19383820288,156188672.0,0.1454620361328125,18745303040,156139520.0,0.145416259765625,633135104,0.0,0.0
64,19383820288,0.0,0.0,18745303040,0.0,0.0,633135104,0.0,0.0
65,19375382528,-8437760.0,-0.0078582763671875,18736865280,-8437760.0,-0.0078582763671875,633135104,0.0,0.0
66,19375382528,0.0,0.0,18736865280,0.0,0.0,633135104,0.0,0.0
67,20765548544,1390166016.0,1.2946929931640625,20126654464,1389789184.0,1.294342041015625,633135104,0.0,0.0
68,20765548544,0.0,0.0,20126654464,0.0,0.0,633135104,0.0,0.0
69,20765548544,0.0,0.0,20126654464,0.0,0.0,633135104,0.0,0.0
70,20790722560,25174016.0,0.02344512939453125,20126236672,-417792.0,-0.00038909912109375,658726912,25591808.0,0.023834228515625
71,20786585600,-4136960.0,-0.00385284423828125,20100939776,-25296896.0,-0.0235595703125,679878656,21151744.0,0.0196990966796875
72,20783087616,-3497984.0,-0.00325775146484375,20097441792,-3497984.0,-0.00325775146484375,679878656,0.0,0.0
73,20871495680,88408064.0,0.08233642578125,20185825280,88383488.0,0.08231353759765625,679878656,0.0,0.0
74,21546319872,674824192.0,0.62847900390625,20859961344,674136064.0,0.627838134765625,680386560,507904.0,0.0004730224609375
75,21546319872,0.0,0.0,20859961344,0.0,0.0,680386560,0.0,0.0
