Epoch,p95_us,avg_us,size_mean_kib,size_p50_kib,size_p75_kib,size_p90_kib,size_p95_kib,size_p99_kib,size_max_mib,pct_gt_32k,pct_gt_64k,pct_gt_128k,pct_gt_256k
41,345,247.30313,41.015625,27.734375,34.8876953125,45.80078125,61.03515625,136.32910156250003,14.963150024414062,34.82,4.47,1.0999999999999999,0.59
42,364,245.02061,41.9921875,28.3203125,35.7421875,46.77734375,62.30957031249993,139.84472656250003,15.325164794921875,37.19,4.68,1.16,0.59
43,371,262.83725,42.96875,29.00390625,36.62109375,47.8515625,63.68164062499986,142.97558593750014,15.694046020507812,39.300000000000004,4.9399999999999995,1.1900000000000002,0.59
44,370,259.82519,43.9453125,29.58984375,37.40234375,49.0234375,65.04394531249993,146.29882812500023,16.059589385986328,41.839999999999996,5.18,1.28,0.59
45,375,252.62004,44.921875,30.2734375,38.28125,50.009765625000036,66.50390625,150.00097656250003,16.427993774414062,44.03,5.47,1.32,0.59
46,374,261.13756,45.8984375,30.859375,39.0625,51.26953125,68.07128906249993,152.83593750000009,16.791343688964844,46.089999999999996,5.6899999999999995,1.38,0.6
47,489,295.58019,46.875,31.54296875,39.94140625,52.158203125000036,69.43847656249993,155.47070312500006,17.162227630615234,48.18,5.970000000000001,1.5,0.62
48,516,295.33509,47.8515625,32.12890625,40.72265625,53.3203125,71.00585937499986,157.8300781250004,17.531204223632812,50.64999999999999,6.2700000000000005,1.58,0.63
49,495,296.75201,48.828125,32.8125,41.6015625,54.404296875000036,72.55859375,161.1513671875004,17.90294647216797,53.290000000000006,6.58,1.6099999999999999,0.64
50,462,294.35556,49.8046875,33.49609375,42.3828125,55.48828125000007,73.92578125,164.08300781250045,18.263721466064453,56.120000000000005,6.9,1.7000000000000002,0.64
51,406,278.46679,50.78125,34.08203125,43.1640625,56.640625,75.20019531249993,166.92480468750065,18.628978729248047,59.519999999999996,7.22,1.78,0.66
52,405,276.82237,51.7578125,34.765625,44.04296875,57.8125,76.7578125,169.56445312500074,18.9971923828125,63.55,7.4399999999999995,1.8399999999999999,0.67
53,470,309.07869,52.734375,35.400390625,44.82421875,58.69140625,78.3203125,172.5947265625008,19.36635971069336,68.36,7.75,1.9800000000000002,0.7000000000000001
54,415,293.67203,53.7109375,36.03515625,45.703125,59.765625,79.6875,176.1064453125007,19.731616973876953,73.37,8.05,2.08,0.74
55,480,310.46865,54.6875,36.62109375,46.5087890625,60.9375,81.35253906249993,178.94042968750074,20.095157623291016,78.14,8.53,2.19,0.74
56,448,302.94276,55.6640625,37.3046875,47.36328125,61.81640625,82.71972656249993,181.97363281250088,20.454120635986328,83.06,9.049999999999999,2.31,0.74
57,631,332.67123,56.640625,37.98828125,48.1689453125,62.890625,84.1796875,185.00781250000102,20.819854736328125,87.42999999999999,9.46,2.39,0.75
58,622,329.78037,57.6171875,38.57421875,49.0234375,63.96484375,85.74707031249993,189.39550781250088,21.19007110595703,91.36,9.969999999999999,2.4899999999999998,0.75
59,808,384.82502,58.59375,39.2578125,49.8046875,65.13671875,87.5,192.62304687500097,21.554851531982422,94.47,10.620000000000001,2.64,0.77
60,791,382.53321,59.5703125,39.94140625,50.68359375,66.30859375,88.57421875,196.61718750000077,21.912860870361328,96.47,11.33,2.74,0.77
61,579,339.54534,60.546875,40.52734375,51.46484375,67.28515625,89.94628906249993,199.35058593750074,22.285175323486328,97.83,11.77,2.78,0.7799999999999999
62,510,328.39775,61.5234375,41.2109375,52.34375,68.26171875,91.60644531249993,202.3759765625007,22.652053833007812,98.72999999999999,12.35,2.87,0.7799999999999999
63,521,344.23368,62.5,41.89453125,53.125,69.3359375,92.97363281249993,205.9843750000006,23.02236557006836,99.38,12.989999999999998,2.94,0.7799999999999999
64,498,332.71514,63.4765625,42.48046875,54.00390625,70.5078125,94.3359375,208.9189453125007,23.393821716308594,99.68,13.51,3.0700000000000003,0.7799999999999999
65,491,334.36429,64.453125,43.1640625,54.78515625,71.59179687500003,95.99609375,212.52441406250054,23.750782012939453,99.86,14.2,3.16,0.7799999999999999
66,679,372.91577,65.4296875,43.75,55.6640625,72.65625,97.55859375,215.7412109375004,24.112796783447266,99.95,14.860000000000001,3.2099999999999995,0.79
67,649,372.88806,66.40625,44.43359375,56.4453125,73.73046875,98.828125,220.03125000000026,24.484634399414062,99.97,15.790000000000001,3.25,0.79
68,781,397.61235,67.3828125,45.1171875,57.32421875,74.71679687500003,100.390625,222.78515625000068,24.855613708496094,99.98,16.520000000000003,3.27,0.8
69,779,401.15811,68.359375,45.703125,58.10546875,75.9765625,101.86035156249993,225.99902343750048,25.21820068359375,99.99,17.37,3.34,0.8099999999999999
70,956,449.6903,69.3359375,46.38671875,58.88671875,77.05078125,103.41796875,229.22167968750048,25.583457946777344,99.99,18.34,3.39,0.8200000000000001
71,1133,490.38705,70.3125,47.0703125,59.66796875,78.03710937500003,104.6875,232.44824218750057,25.952720642089844,99.99,19.470000000000002,3.4099999999999997,0.8500000000000001
72,1089,479.4381,71.2890625,47.705078125,60.546875,79.11132812500003,106.15722656249993,236.92480468750023,26.314640045166016,100.0,20.330000000000002,3.4799999999999995,0.88
73,1106,483.96552,72.265625,48.33984375,61.42578125,80.37109375,107.71484375,239.76562500000043,26.66311264038086,100.0,21.54,3.54,0.89
74,799,423.24918,73.2421875,49.0234375,62.20703125,81.34765625,109.08691406249993,242.98437500000034,27.024459838867188,100.0,22.56,3.62,0.9199999999999999
75,754,408.67975,74.21875,49.609375,63.0859375,82.421875,110.546875,246.1025390625002,27.391910552978516,100.0,23.630000000000003,3.66,0.9299999999999999
76,637,397.03066,75.1953125,50.29296875,63.8671875,83.49609375,111.91894531249993,250.00781250000017,27.74677276611328,100.0,24.83,3.6999999999999997,0.95
77,833,442.0864,76.171875,50.927734375,64.74609375,84.47265625,113.57910156249993,252.26660156250045,28.121471405029297,100.0,26.07,3.82,0.98
78,839,440.15577,77.1484375,51.5625,65.4541015625,85.44921875,115.0390625,255.68652343750048,28.48672866821289,100.0,27.38,3.9800000000000004,1.0
79,881,451.90164,78.125,52.24609375,66.30859375,86.62109375,116.41113281249993,259.1933593750003,28.859806060791016,100.0,28.73,4.08,1.04
80,911,469.89196,79.1015625,52.9296875,67.08984375,87.890625,117.97363281249993,262.51464843750034,29.233646392822266,100.0,30.159999999999997,4.16,1.06
81,1004,482.6785,80.078125,53.515625,67.96875,88.87695312500003,119.25292968749979,265.74218750000045,29.59747314453125,100.0,31.53,4.279999999999999,1.0699999999999998
82,1502,569.22258,81.0546875,54.19921875,68.84765625,89.85351562500003,120.51269531249993,268.96191406250034,29.965591430664062,100.0,32.82,4.43,1.0999999999999999
83,1627,617.82995,82.03125,54.8828125,69.7265625,91.11328125,122.0703125,273.25097656250017,30.327701568603516,100.0,34.13,4.4799999999999995,1.13
84,2033,629.11452,83.0078125,55.56640625,70.41015625,92.08984375,123.73535156249993,276.66796875000017,30.699920654296875,100.0,35.53,4.569999999999999,1.15
85,1434,539.6994,83.984375,56.15234375,71.2890625,93.1640625,125.20019531249993,280.27636718750006,31.048965454101562,100.0,36.67,4.68,1.17
86,1700,636.50027,84.9609375,56.8359375,72.16796875,94.23828125,126.46972656249993,283.40527343750017,31.412792205810547,100.0,37.96,4.859999999999999,1.22
87,667,463.96935,85.9375,57.421875,72.94921875,95.3125,127.94433593749979,286.42871093750006,31.786632537841797,100.0,39.06,5.0,1.22
88,898,501.64606,86.9140625,58.10546875,73.73046875,96.49414062500003,129.50195312499986,289.7558593750002,32.14731216430664,100.0,40.150000000000006,5.13,1.26
89,730,455.39864,87.890625,58.69140625,74.609375,97.4609375,131.15722656249994,293.2734375000002,32.509613037109375,100.0,41.52,5.220000000000001,1.29
90,696,480.83269,88.8671875,59.375,75.390625,98.4375,132.32910156249994,297.36523437500006,32.87334442138672,100.0,42.8,5.33,1.32
91,713,513.73591,89.84375,60.05859375,76.171875,99.70703125,133.98925781249994,300.10644531250017,33.232688903808594,100.0,43.61,5.510000000000001,1.3299999999999998
92,790,510.73487,90.8203125,60.64453125,77.05078125,100.87890625,135.16601562499986,303.42480468750017,33.59537124633789,100.0,44.690000000000005,5.65,1.3599999999999999
93,1044,594.92965,91.796875,61.328125,77.83203125,102.05078125,136.52832031249994,306.83789062500006,33.963584899902344,100.0,45.68,5.81,1.4000000000000001
94,1049,614.30505,92.7734375,61.9140625,78.7109375,103.03710937500003,137.80761718749977,310.1601562500001,34.32579040527344,100.0,46.57,5.93,1.4500000000000002
95,1552,646.8439,93.75,62.59765625,79.4921875,104.01367187500003,138.96972656249994,312.99121093750006,34.690093994140625,100.0,47.67,6.09,1.48
96,1472,628.91948,94.7265625,63.18359375,80.37109375,105.17578125,140.72265625,316.01757812500006,35.0499153137207,100.0,48.77,6.1899999999999995,1.52
97,2981,796.23395,95.703125,63.96484375,81.15234375,106.25,141.99707031249994,319.3417968750001,35.420894622802734,100.0,49.84,6.34,1.5599999999999998
98,1208,624.78596,96.6796875,64.55078125,81.93359375,107.24609375000007,143.26660156249994,323.8291015625,35.793304443359375,100.0,50.849999999999994,6.45,1.59
99,1090,668.4312,97.65625,65.234375,82.8125,108.40820312500003,144.63378906249994,327.54101562500006,36.1602783203125,100.0,51.970000000000006,6.63,1.6400000000000001
100,851,583.62367,98.6328125,65.869140625,83.59375,109.58007812500003,146.2890625,330.66601562500006,36.527061462402344,100.0,53.0,6.74,1.7000000000000002
