Epoch,p95_us,avg_us,prominence,size_p95_kib,size_p99_kib,pct_gt_128k,pct_gt_256k
48,516,295.33509,111.0,71.00585937499986,157.8300781250004,1.58,0.63
59,808,384.82502,317.0,87.5,192.62304687500097,2.64,0.77
71,1133,490.38705,496.0,104.6875,232.44824218750057,3.4099999999999997,0.8500000000000001
84,2033,629.11452,1366.0,123.73535156249993,276.66796875000017,4.569999999999999,1.15
97,2981,796.23395,2130.0,141.99707031249994,319.3417968750001,6.34,1.5599999999999998
