Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,page_cache_hits,page_cache_faults,transaction_commits,transaction_rollbacks,nodes_created,nodes_deleted,relationships_created,relationships_deleted,properties_set,index_hits,index_misses,lock_acquisition_time,lock_wait_time,checkpoint_total_time,checkpoint_total_events,log_rotation_events,log_appended_bytes,log_rotation_total_time,transaction_started,transaction_peak_concurrent,transaction_active,transaction_terminated,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us)
6,run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18079,2765.639692460866,50000,347.2823,171,81407,586,969,50000
6,reference,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18156,2753.910552985239,50000,348.83324,175,52607,612,941,50000
6,clean-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17400,2873.5632183908046,50000,333.61142,157,46015,603,944,50000
6,avg-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18496,2703.287197231834,50000,355.34254,174,22351,599,961,50000
7,extend,5000,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,196317,254.69011853278116,50000,3910.47042,1451,35935,4655,5015,50000
7,run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17565,2846.5698832906346,50000,336.84844,173,54559,522,934,50000
7,reference,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18057,2769.00924849089,50000,346.9465,174,154111,587,909,50000
7,clean-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17722,2821.3519918745064,50000,340.31554,177,50527,570,906,50000
7,avg-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17765,2814.5229383619476,50000,340.85696,172,22719,544,954,50000
8,extend,5000,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,197240,253.49827621172176,50000,3928.78076,1420,38943,4655,5015,50000
8,run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18056,2769.162605228179,50000,346.14314,174,109375,628,962,50000
8,reference,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17411,2871.74774567802,50000,333.86248,173,102271,547,916,50000
8,clean-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17811,2807.2539441917916,50000,341.3921,178,56319,581,953,50000
8,avg-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17898,2793.6082243826127,50000,343.17578,175,21407,576,945,50000
9,extend,5000,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,198222,252.24243524936688,50000,3948.57794,1451,37279,4643,4967,50000
9,run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17567,2846.2458017874424,50000,336.74556,171,102527,567,925,50000
9,reference,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17490,2858.776443682104,50000,335.12622,167,97343,537,930,50000
9,clean-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17794,2809.935933460717,50000,341.75966,169,48255,611,960,50000
9,avg-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17826,2804.8917311791765,50000,341.93222,174,20863,619,987,50000
10,extend,5000,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,200542,249.32433106281977,50000,3995.42014,1462,38079,4675,5031,50000
10,run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17938,2787.3787490244176,50000,344.13914,175,167295,596,949,50000
10,reference,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17513,2855.021983669274,50000,335.53002,178,84159,532,909,50000
10,clean-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,16589,3014.0454518054134,50000,317.56554,152,42591,551,919,50000
10,avg-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17507,2856.0004569600733,50000,335.66602,174,22175,547,921,50000
11,extend,5000,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,201674,247.9248688477444,50000,4017.4695,1468,36991,4679,5031,50000
11,run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17841,2802.533490275209,50000,342.32834,175,124479,585,965,50000
11,reference,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17939,2787.223368080718,50000,344.06546,175,85887,577,985,50000
11,clean-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17640,2834.467120181406,50000,338.04624,178,38015,540,954,50000
11,avg-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18008,2776.543758329631,50000,345.5928,177,20703,615,966,50000
12,extend,5000,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,203620,245.5554464198016,50000,4056.56944,1477,37151,4703,5063,50000
12,run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17704,2824.220515137822,50000,339.675,172,99135,556,944,50000
12,reference,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,18037,2772.0796141265178,50000,346.6402,179,91327,599,940,50000
12,clean-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17717,2822.1482192244735,50000,339.64746,177,54911,514,952,50000
12,avg-run,5000,true,uniform,READ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,17778,2812.464844189448,50000,341.14502,174,21151,550,958,50000
13,extend,5000,true,uniform,EXTEND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,204053,245.03437832327876,50000,4065.0093,1487,36735,4695,5011,50000
