Epoch,Phase,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),WatcherSamples,WatcherCPU_min,WatcherCPU_q1,WatcherCPU_median,WatcherCPU_q3,WatcherCPU_max,WatcherMemoryKB_min,WatcherMemoryKB_q1,WatcherMemoryKB_median,WatcherMemoryKB_q3,WatcherMemoryKB_max
18,reference,READ,1624,5485806,2252736,1823917,10119,1,0,0,0,681,42746,401599559,560857928,6447830685,11816732183,1122358835,168804605,22928404001603,26917025606,3557350683,79513455,4391,22773.855613755408,100000,39.20568,22,12671,54,87,4,32.9,45.125,51.05,53.95,57.1,59976.0,60000.0,60008.0,60008.0,60008.0
19,reference,READ,3291,5786873,2379320,1925222,10119,1,0,0,0,681,42761,403580049,560873284,6448014087,11817312290,1122611264,168811377,22936603065979,26928323221,3558761172,79524436,4470,22371.364653243847,100000,39.98202,26,13583,54,93,4,33.3,45.375,51.4,53.975,55.7,83572.0,83578.0,83580.0,83580.0,83580.0
20,reference,READ,4972,6087926,2505904,2026527,10119,1,0,0,0,681,42777,405661683,560893905,6448237595,11817834927,1122857876,168812075,22945239889496,26940397245,3560296321,79553634,4275,23391.812865497075,100000,37.73409,25,14135,52,85,4,31.1,45.05,52.8,56.225,57.2,86024.0,86042.0,86048.0,86048.0,86048.0
21,reference,READ,6667,6389038,2633378,2127846,10119,1,0,0,0,681,42794,407883004,560921985,6448543135,11818426886,1123166662,168822350,22954326676796,26953050217,3561957573,79566190,4564,21910.604732690623,100000,40.70943,26,14423,54,91,4,31.5,45.525000000000006,51.5,53.35,55.0,76216.0,76216.0,76216.0,76216.0,76216.0
22,reference,READ,8348,6690164,2760852,2229165,10119,1,0,0,0,681,42812,410175259,560955572,6448799468,11819151033,1123481842,168830680,22963807014729,26966215764,3563801112,79579405,4541,22021.581149526537,100000,40.73501,26,13815,54,92,4,31.5,44.55,50.9,53.35,54.7,79696.0,79732.0,79744.0,79744.0,79744.0
23,reference,READ,10015,6991231,2887436,2330470,10119,1,0,0,0,681,42831,412588936,560981019,6449063282,11819744049,1123788182,168833595,22973925336797,26980086404,3565855605,79594173,4454,22451.7287831163,100000,39.4963,26,13447,55,96,4,30.1,43.675,50.55,53.65,55.9,97872.0,97914.0,97928.0,97928.0,97928.0
24,reference,READ,11697,7292356,3014910,2431789,10119,1,0,0,0,681,42850,414749482,561007696,6449544316,11820420550,1124104653,168837729,22984202405983,26994335640,3567606097,79607675,4351,22983.22224775913,100000,38.84141,25,13439,53,92,4,32.5,45.175,51.85,55.225,58.0,66792.0,66816.0,66824.0,66824.0,66824.0
25,reference,READ,13378,7593482,3142384,2533108,10119,1,0,0,0,681,42870,417068547,561060577,6450155895,11821299332,1124457275,168852188,22994991741299,27009257827,3569435979,79617293,4442,22512.3818099955,100000,39.32968,26,14759,54,91,4,31.5,44.55,50.85,53.575,55.9,69220.0,69244.0,69252.0,69252.0,69252.0
26,reference,READ,15073,7894667,3270748,2634441,10119,1,0,0,0,681,42891,419827132,561091967,6450744978,11822251442,1124846564,168859935,23006325268960,27024804150,3571710224,79627250,4244,23562.6767200754,100000,37.84015,26,14431,53,87,4,33.6,45.3,51.6,54.775,57.1,73964.0,73964.0,73964.0,73964.0,73964.0
27,reference,READ,16754,8195866,3399112,2735774,10119,1,0,0,0,681,42912,422217322,561137223,6451355708,11823216442,1125225063,168871512,23017735238970,27040551377,3573588816,79637677,4122,24260.0679281902,100000,36.1731,26,13487,49,85,3,32.6,41.400000000000006,50.2,53.55,56.9,90544.0,90560.0,90576.0,90576.0,90576.0
28,reference,READ,18463,8497037,3527476,2837107,10119,1,0,0,0,681,42934,424709512,561186059,6452174074,11824248528,1125617021,168887146,23029755186311,27057070043,3575548663,79649095,4101,24384.2965130456,100000,35.88049,26,12527,51,87,3,30.7,39.7,48.7,52.3,55.9,61924.0,61928.0,61932.0,61932.0,61932.0
29,reference,READ,20158,8798222,3655840,2938440,10119,1,0,0,0,681,42957,427060422,561230744,6453294917,11825439950,1126039049,168906388,23042242020712,27074088388,3577631283,79661866,4234,23618.327822390176,100000,37.40764,26,13183,53,92,4,30.4,44.65,52.3,55.825,57.7,69584.0,69614.0,69624.0,69624.0,69624.0
30,reference,READ,21867,9099466,3785094,3039787,10119,1,0,0,0,681,42981,429437571,561271221,6454519822,11826638265,1126479797,168928208,23055337287111,27092022175,3579790714,79674180,4339,23046.7849734962,100000,38.13079,26,12935,51,87,4,28.2,43.575,50.75,53.4,55.2,61760.0,61778.0,61784.0,61784.0,61784.0
31,reference,READ,23562,9400724,3914348,3141134,10119,1,0,0,0,681,43006,432270549,561325008,6455564854,11827821831,1126954194,168952402,23068638723424,27110088937,3582190944,79686435,4342,23030.86135421465,100000,38.73347,26,14111,53,94,4,32.2,45.325,52.3,55.475,57.2,74420.0,74450.0,74460.0,74460.0,74460.0
32,reference,READ,25257,9701982,4043602,3242481,10119,1,0,0,0,681,43032,435083051,561372009,6456964943,11829178131,1127382887,168974786,23082678249380,27128957825,3584860685,79699982,4661,21454.62347135808,100000,41.51698,26,13735,55,92,4,28.8,42.75,50.15,53.3,54.5,86536.0,86596.0,86616.0,86616.0,86616.0
33,reference,READ,26940,10003252,4172856,3343828,10119,1,0,0,0,681,43058,438097458,561410779,6458553304,11830404643,1127838662,168994676,23096827784537,27148084045,3587702412,79713887,4093,24431.95699975568,100000,36.1861,24,14175,49,85,3,33.6,42.3,51.0,54.25,57.5,89052.0,89052.0,89052.0,89052.0,89052.0
