Epoch,Phase,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),WatcherSamples,WatcherCPU_min,WatcherCPU_q1,WatcherCPU_median,WatcherCPU_q3,WatcherCPU_max,WatcherMemoryKB_min,WatcherMemoryKB_q1,WatcherMemoryKB_median,WatcherMemoryKB_q3,WatcherMemoryKB_max
18,avg-run,READ,79,8661678,2963263,2912241,246055,5,0,4,385024,681,42747,402089445,560858840,6447830687,11816786746,1122388735,168804620,22928836191539,26917540255,3557351785,79521947,12766,7833.307222309259,100000,122.56613,93,19631,159,250,12,30.1,70.575,77.95,80.175,81.3,190788.0,283412.0,283844.0,283908.0,283908.0
19,avg-run,READ,55,10217190,4224720,4173698,351738,5,0,4,385024,681,42762,404077539,560878486,6448014089,11817376854,1122641706,168811383,22937069824760,26929050896,3558762275,79549478,13535,7388.252678241596,100000,130.30268,98,16847,158,272,12,31.9,71.35,77.25,79.85,81.2,225472.0,365680.0,366336.0,366336.0,366336.0
20,avg-run,READ,55,10209415,4279938,4228919,357230,5,0,4,385024,681,42778,406152448,560904208,6448237597,11817900746,1122921803,168819453,22945725348348,26941108510,3560297425,79563972,14904,6709.608158883521,100000,143.95424,114,19327,180,285,14,31.1,75.65,81.75,84.2,85.4,219112.0,400932.0,402440.0,402584.0,402616.0
21,avg-run,READ,55,10354455,4394953,4343931,363784,5,0,4,385024,681,42795,408338769,560928826,6448543137,11818494234,1123229195,168829589,22954836046585,26953804880,3561958681,79578936,15146,6602.403274792025,100000,146.42802,118,16191,188,301,14,34.0,74.825,80.35,82.575,84.0,237968.0,425184.0,428308.0,428624.0,428640.0
22,avg-run,READ,55,11478153,4420795,4369773,370123,5,0,4,385024,681,42813,410563761,560966148,6448799469,11819219762,1123534773,168830701,22964337731792,26966984547,3563802219,79589545,15223,6569.007422978388,100000,147.55066,116,16047,187,289,14,35.4,75.45,81.0,82.875,84.2,241412.0,394988.0,396156.0,396156.0,396156.0
23,avg-run,READ,55,11547914,4536766,4485744,376587,12,0,4,385024,681,42833,412903866,560982857,6449129738,11819814112,1123842576,168833613,22974477604140,26980869571,3565856639,79607675,15145,6602.839220864972,100000,146.73093,113,17183,166,290,14,35.7,76.3,81.25,83.5,84.9,353240.0,981880.0,1018584.0,1022360.0,1022808.0
24,avg-run,READ,55,11534607,4598992,4547973,382745,5,0,4,385024,681,42852,415240389,561017858,6449612123,11820491993,1124180814,168844985,22984773237494,26995098191,3567607274,79617293,16362,6111.722283339445,100000,158.37287,129,18303,184,313,15,31.5,78.55,84.4,86.7,87.8,235500.0,557676.0,568876.0,569812.0,569904.0
25,avg-run,READ,55,11593961,4698157,4647138,389309,5,0,4,385024,681,42872,417541854,561069698,6450225136,11821372100,1124539681,168858668,22995583774638,27010033134,3569437031,79627250,16686,5993.048064245475,100000,161.71261,134,20511,193,321,15,34.4,79.19999999999999,84.7,86.8,87.9,237112.0,501560.0,508808.0,509466.0,509564.0
26,avg-run,READ,55,12100242,4794702,4743680,396394,5,0,4,385024,681,42893,420206706,561104855,6450818802,11822328792,1124931475,168866763,23006941790355,27025631336,3571711381,79637677,16254,6152.331733727083,100000,157.40384,124,19455,196,313,15,31.9,76.15,82.2,84.80000000000001,86.0,335116.0,1049580.0,1084620.0,1086732.0,1087244.0
27,avg-run,READ,55,12111940,4871974,4820078,402668,5,0,4,385024,681,42914,422710340,561146885,6451432020,11823296294,1125319580,168879009,23018372175459,27041391754,3573589977,79649095,17501,5713.959202331295,100000,169.90554,136,20063,201,311,16,33.3,79.275,84.75,87.2,95.8,307224.0,867241.0,890480.0,891723.0,1684684.0
28,avg-run,READ,55,12166439,4943327,4892305,409865,5,0,4,385024,681,42936,425201339,561195770,6452251951,11824329852,1125720201,168893738,23030414389584,27057927087,3575549812,79661866,17664,5661.231884057971,100000,171.56295,137,18831,212,320,16,33.6,78.3,83.7,86.0,86.9,313688.0,873544.0,896472.0,898264.0,898456.0
29,avg-run,READ,55,11917912,5031655,4980633,416522,5,0,4,385024,681,42959,427516787,561240216,6453386741,11825535243,1126139241,168913766,23042922344380,27074960174,3577632318,79674180,18151,5509.338328466752,100000,176.35754,135,17167,207,334,17,34.0,79.1,84.4,86.3,90.0,247412.0,677812.0,687732.0,688372.0,787392.0
30,avg-run,READ,55,11976828,5087801,5035905,422810,5,0,4,385024,681,42983,429931252,561280913,6454613032,11826734856,1126586331,168934913,23056038726678,27092915116,3579791752,79686435,18606,5374.610340750296,100000,180.97403,145,17999,215,352,17,32.9,79.2,84.6,87.3,91.3,275168.0,961520.0,1003360.0,1007156.0,1678656.0
31,avg-run,READ,55,12020823,5146757,5094861,429517,5,0,4,385024,681,43008,432680750,561327197,6455659533,11827919910,1127014035,168952441,23069361460998,27110995348,3582191982,79698654,20193,4952.21116228396,100000,197.11079,165,16495,236,347,19,37.6,82.0,88.1,89.30000000000001,92.9,288040.0,912902.0,946996.0,947422.0,1650484.0
32,avg-run,READ,55,12061443,5192365,5140469,436020,5,0,4,385024,681,43034,435317840,561381709,6457061137,11829277670,1127472987,168974820,23083422249632,27129877481,3584861761,79712415,20380,4906.771344455348,100000,199.0004,164,16247,231,334,19,39.7,82.9,88.3,89.4,92.8,296244.0,873322.0,904004.0,904194.0,1540516.0
33,avg-run,READ,55,12223248,5317035,5265136,442564,16,90,4,393216,681,43060,438485416,561422424,6458651057,11830505722,1127950851,169001227,23097596240199,27149064165,3587703472,79726323,20476,4883.766360617308,100000,199.77065,163,19615,231,368,19,36.1,82.05000000000001,86.7,89.19999999999999,94.9,317560.0,1198120.0,1259492.0,1266248.0,2429952.0
