Epoch,Phase,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),WatcherSamples,WatcherCPU_min,WatcherCPU_q1,WatcherCPU_median,WatcherCPU_q3,WatcherCPU_max,WatcherMemoryKB_min,WatcherMemoryKB_q1,WatcherMemoryKB_median,WatcherMemoryKB_q3,WatcherMemoryKB_max
17,extend,EXTEND,2,201721138,64113380,62876569,21558112,1700760,21426748,0,0,681,42731,399766134,560854007,6447640740,11816572884,1122087257,168799578,22920426466145,26905279563,3555450262,79471625,247834,403.4958883768974,100000,2469.17776,304,91199,9775,17087,236,27.4,43.1,44.2,45.3,57.5,146056.0,3314674.0,4121584.0,4943572.0,6640680.0
18,extend,EXTEND,9493,221001493,70931125,69621038,24083595,1800815,23946882,0,0,681,42746,401544989,560856027,6447782937,11816719246,1122342839,168801686,22928055467340,26915414787,3556595153,79506554,254057,393.6124570470406,100000,2531.85895,318,219903,10103,18015,242,22.8,43.6,45.3,46.4,57.2,157632.0,3091178.0,4193120.0,5907714.0,7747940.0
19,extend,EXTEND,583866,241343093,78152559,76769527,26795008,1900870,26652688,0,0,681,42761,403518474,560863083,6447936408,11817292663,1122595225,168804958,22936234030551,26926555448,3557917997,79521947,246922,404.986189970922,100000,2460.65605,304,106367,10519,18863,235,27.4,47.85,49.2,51.2,62.2,160052.0,3287534.0,4893640.0,6752814.0,8197988.0
20,extend,EXTEND,1193639,262545621,85739732,84283892,29651830,2000925,29503637,0,0,681,42777,405591227,560882716,6448121169,11817816026,1122857876,168812075,22944835626095,26938513371,3559337626,79549478,250523,399.1649469310203,100000,2496.57606,308,106879,10863,19599,238,2.2,48.45,50.45,52.5,62.1,62632.0,3659841.0,5282382.0,7500766.0,8301676.0
21,extend,EXTEND,1922806,284338682,93711390,92183103,32665799,2100980,32511577,0,0,681,42793,407757017,560909724,6448370062,11818395899,1123149957,168820098,22953845449187,26951002957,3560849746,79563972,276327,361.8900795072505,100000,2754.2723,302,44319,11607,20591,263,41.3,47.5,49.7,50.3,60.6,207580.0,3748340.0,5180500.0,7054184.0,8491096.0
22,extend,EXTEND,2962131,306926224,102007212,100405954,35803724,2201035,35643229,0,0,681,42811,410025006,560942771,6448618198,11819119016,1123465836,168829731,22963329326994,26964141261,3562571971,79578936,279685,357.5450953751542,100000,2787.98819,320,46431,12103,21423,266,27.4,49.2,51.4,51.9,63.7,178584.0,4150906.0,6733896.0,8092152.0,8573772.0
23,extend,EXTEND,3912681,331106281,110711647,109037437,39114955,2301101,38948063,0,0,681,42830,412373431,560968214,6448918748,11819718271,1123773687,168830950,22973445832548,26978218222,3564672748,79589545,280979,355.8984835165617,100000,2801.09857,318,31695,12575,22431,267,29.6,50.05,51.1,53.7,59.5,193432.0,4106448.0,5846056.0,7638242.0,8086428.0
24,extend,EXTEND,4766457,354641534,119694980,117949416,42530626,2401156,42357183,0,0,681,42850,414658321,560989558,6449273007,11820378348,1124104653,168837729,22983719275118,26992002322,3566463332,79607675,280781,356.14945455711035,100000,2798.76257,319,168703,12855,23263,267,39.5,51.7,53.8,55.0,63.6,213456.0,4193800.0,6934028.0,8082168.0,8601100.0
25,extend,EXTEND,6155409,379224304,129133541,127314580,46130770,2501222,45950781,0,0,681,42869,416963680,561037582,6449823121,11821255018,1124457275,168852188,22994460022286,27006753236,3568195260,79617293,292553,341.81840555386543,100000,2916.65073,307,166143,13527,24271,278,42.8,55.625,56.7,57.375,65.1,199720.0,4088027.0,6844764.0,7710127.0,8682940.0
26,extend,EXTEND,7841637,404451051,138978945,137087702,49891856,2601288,49705272,0,0,681,42890,419502471,561072018,6450338520,11822201084,1124824670,168859087,23005702644682,27022155629,3570026483,79627250,306373,326.39951953990726,100000,3055.00116,298,81215,13887,24927,291,34.7,53.1,55.3,55.6,62.5,188736.0,3988732.0,6845900.0,8019944.0,8766068.0
27,extend,EXTEND,9602914,430197773,148999567,147035240,53690134,2701354,53496835,0,0,681,42912,422120934,561112601,6450946944,11823165529,1125225063,168871512,23017211978998,27037913632,3572340222,79637677,310138,322.4371086419594,100000,3092.1783,313,158079,14031,25679,295,44.0,53.7,55.3,55.5,62.1,209712.0,4081764.0,6958424.0,7833658.0,8657384.0
28,extend,EXTEND,11428720,456793205,159470042,157432843,57699840,2801420,57499781,0,0,681,42934,424610098,561158214,6451677843,11824193675,1125617021,168887146,23029215618448,27054264249,3574229395,79649095,315933,316.52280705086207,100000,3150.15378,327,223999,14423,26575,300,34.0,53.8,55.9,57.3,64.3,203740.0,4113161.0,6856628.0,7842130.0,8591820.0
29,extend,EXTEND,13856349,485403516,170277097,168167098,61828520,2901486,61621761,0,0,681,42956,426944418,561201151,6452707237,11825388132,1126024822,168903740,23041674660552,27071308060,3576282078,79661866,333018,300.28406872901763,100000,3320.79436,321,259455,14999,27951,317,35.1,56.1,57.1,58.0,64.1,166700.0,4302752.0,7444404.0,8158716.0,8890784.0
30,extend,EXTEND,16235173,514537581,181593403,179409957,66190695,3001563,65977418,0,0,681,42981,429385864,561241381,6453898670,11826581212,1126479797,168928208,23054777647149,27089021495,3578349226,79674180,362312,276.0052109783833,100000,3614.00584,322,257919,15639,29023,345,30.7,54.8,56.6,57.1,65.3,203008.0,4302204.0,7676380.0,7785148.0,8820256.0
31,extend,EXTEND,18675861,543838734,193150190,190895025,70596098,3101629,70376169,0,0,681,43005,432093500,561294875,6454861149,11827756506,1126909381,168943524,23067997104633,27106950044,3580449492,79686435,338864,295.10364039850793,100000,3379.56254,313,160255,15727,29487,322,35.8,56.5,58.0,58.5,65.7,174384.0,4982109.0,7658408.0,8311488.0,8702600.0
32,extend,EXTEND,21490586,575423242,205138168,202809752,75215045,3201695,74988642,0,0,681,43031,434787759,561335555,6456045252,11829121370,1127347259,168966320,23082019314885,27125849427,3583001700,79698654,354182,282.3407174842313,100000,3532.2841,319,211711,16263,30751,337,31.8,58.0,60.0,60.7,65.2,204608.0,5086472.0,8017372.0,8605044.0,8841968.0
33,extend,EXTEND,23763780,604953049,217326738,214925178,79899718,3301761,79666871,0,0,681,43057,437715655,561382794,6457364564,11830338881,1127790797,168984944,23095970844478,27144338226,3585258170,79712415,338646,295.29361043685736,100000,3377.38404,313,257407,16175,31007,322,32.6,60.35,61.7,62.5,67.2,220128.0,6725637.0,8524894.0,8604615.0,8836712.0
34,extend,EXTEND,26830851,639087819,229893198,227417061,84735050,3401849,84495893,0,0,681,43084,440690371,561431326,6458874583,11831713867,1128303630,169011166,23110907431083,27164782162,3588635594,79726323,372760,268.26912758879706,100000,3718.37339,302,382975,17023,32063,354,44.0,56.0,59.4,59.6,64.8,234292.0,4299680.0,8051142.0,8603727.0,8829984.0
35,extend,EXTEND,29447770,672106857,242912517,240362868,89747529,3501937,89502349,0,0,681,43112,443590635,561480831,6460288543,11832997448,1128808917,169029437,23126165158019,27185118184,3591349145,79739331,385850,259.1680704937152,100000,3849.55647,307,500991,17695,33343,367,38.0,56.8,60.0,60.2,66.1,210668.0,4302446.0,8313340.0,8603800.0,8846412.0
36,extend,EXTEND,32210792,705963450,256302711,253679696,94913245,3602025,94662003,0,0,681,43141,446598566,561530267,6461807388,11834335409,1129327056,169048106,23141918653118,27206072242,3594128476,79752547,390090,256.3510984644569,100000,3891.94476,329,607743,18159,34335,371,34.7,59.3,60.5,60.9,65.0,196260.0,4661288.0,8450732.0,8602624.0,8840148.0
37,extend,EXTEND,35052176,740478155,269883302,267186180,100122757,3702124,99865770,0,0,681,43170,449899047,561579527,6463438407,11835727647,1129858070,169073792,23157889302651,27227213164,3597256035,79767388,389070,257.0231577865165,100000,3881.51416,325,244735,18431,35679,370,35.1,60.1,61.9,62.8,66.9,190844.0,6317771.0,8493596.0,8602706.0,8840760.0
38,extend,EXTEND,38205091,775271976,284020853,281250697,105563348,3802201,105300628,0,0,681,43200,452974249,561641497,6465112267,11837326746,1130399677,169093918,23174383904272,27249067203,3599738027,79782643,413505,241.83504431627188,100000,4126.05569,340,362751,19087,36831,393,42.3,59.5,61.2,62.1,69.0,260352.0,4303056.0,8403216.0,8601628.0,8854188.0
39,extend,EXTEND,41385373,810955167,298475850,295632800,111129376,3902278,110861039,0,0,681,43231,456096598,561698560,6467081569,11838816608,1130949463,169122865,23191235065251,27271559294,3601983237,79797560,428042,233.6219342961672,100000,4271.19266,344,501503,19471,37599,407,39.5,59.35,60.5,61.0,65.5,206088.0,5285518.0,8141304.0,8600760.0,8803332.0
40,extend,EXTEND,44669167,847401078,313183695,310266172,116796317,4002377,116522495,0,0,681,43263,459445598,561755986,6469021652,11840337109,1131516562,169156839,23208550569286,27294704031,3605077932,79812794,430232,232.43273396679,100000,4293.54196,336,794623,20095,39711,409,35.1,60.6,62.6,64.2,68.0,202396.0,6746076.0,8586260.0,8601024.0,8852664.0
41,extend,EXTEND,48345244,884189906,328347420,325356566,122674645,4102465,122395578,0,0,681,43295,462609039,561813539,6471237795,11842102170,1132099358,169189855,23226260057176,27318414162,3607324070,79828456,453254,220.62684499199125,100000,4523.20598,350,526847,20703,41119,431,33.6,59.8,61.7,62.9,67.1,171352.0,6362602.0,7604708.0,8599300.0,8856776.0
42,extend,EXTEND,52289477,921505645,343918907,340853960,128698912,4202553,128414645,0,0,681,43329,465913418,561875852,6473228414,11843773626,1132734121,169213938,23244670998516,27342750873,3610841139,79843559,456297,219.15550617251483,100000,4553.44221,339,325119,21087,43039,434,39.1,59.9,60.8,62.5,68.5,172844.0,4554113.0,7846078.0,8587442.0,8828312.0
43,extend,EXTEND,56467927,959804584,359717429,356578524,134842069,4302641,134552628,0,0,681,43363,469386328,561931084,6475117263,11845635598,1133336427,169235317,23263589632561,27367827561,3614524395,79859171,455331,219.620451934966,100000,4543.80795,341,723967,21343,43231,433,36.2,61.1,62.8,63.8,68.8,174112.0,4648944.0,8512436.0,8598580.0,8828372.0
44,extend,EXTEND,60271841,999263170,376006428,372792812,141175262,4402729,140880825,0,0,681,43399,473052103,562003533,6477363799,11847368936,1134001257,169256979,23282957743872,27393451973,3617452739,79873829,476286,209.9578824487808,100000,4753.18787,366,444927,22159,44671,453,38.8,60.2,61.7,62.4,69.0,219852.0,6114028.0,8519644.0,8598136.0,8829148.0
45,extend,EXTEND,64175208,1039606131,392663816,389375504,147622174,4502828,147322747,0,0,681,43436,476636354,562080808,6479805058,11849102456,1134668515,169288432,23302660697059,27419507326,3620507139,79889797,476938,209.67085868603465,100000,4759.57782,350,487423,22911,46495,454,3.6,62.6,64.0,66.2,70.3,223176.0,5281058.0,8583628.0,8598258.0,8824748.0
46,extend,EXTEND,68261936,1079819002,409662562,406298758,154268916,4602938,153964528,0,0,681,43473,479959794,562155335,6482761392,11850914688,1135281573,169353472,23322910607926,27445982124,3624067426,79905539,510535,195.87295680021936,100000,5096.03644,339,718847,24095,48607,486,37.6,61.4,64.3,66.5,72.5,189352.0,4967011.0,5232596.0,8448337.0,8807176.0
47,extend,EXTEND,73435723,1119708561,426892680,423452452,161005294,4703059,160695903,0,0,681,43511,483443117,562192779,6485590380,11852957368,1135965071,169405884,23343498568885,27473111744,3628051785,79923422,527120,189.7101229321597,100000,5261.51897,351,686591,24799,50303,501,40.0,60.5,62.8,66.2,69.8,186708.0,7026364.0,7205764.0,7330820.0,8845876.0
48,extend,EXTEND,78996836,1160707498,444535839,441021578,167893438,4803169,167579194,0,0,681,43550,486566528,562278268,6488674257,11855059824,1136648128,169464231,23364525140992,27500873052,3631922917,79938178,537525,186.0378587042463,100000,5365.46402,357,658943,25439,51327,511,38.0,60.1,62.1,64.4,71.1,227012.0,6173770.0,6519888.0,6717056.0,8640920.0
49,extend,EXTEND,84802525,1203172538,462651336,459062014,174956108,4903279,174636999,0,0,681,43590,489926018,562379921,6491692222,11857227588,1137390269,169522065,23386167897489,27529368775,3635873797,79952931,540928,184.86748698532887,100000,5400.06058,362,689663,25759,51999,514,42.8,61.5,64.1,65.9,70.9,230536.0,5292355.0,5495668.0,8354711.0,8805132.0
50,extend,EXTEND,90577771,1245881372,480871501,477208772,182075683,5003378,181751602,0,0,681,43631,493721196,562465764,6494006450,11859411779,1138147333,169562349,23408174871463,27558270117,3640060797,79968488,532862,187.66584969466768,100000,5318.99765,357,577535,25167,52639,507,40.2,61.4,63.8,65.4,71.8,190084.0,5870892.0,7967140.0,8594926.0,8758268.0
51,extend,EXTEND,95674538,1289820281,499680467,495942111,189478202,5103499,189149159,0,0,681,43673,497927475,562524413,6496776384,11861660987,1138983183,169608297,23430959215620,27587823518,3644402788,79984332,553179,180.77331207439184,100000,5522.01012,364,685055,25951,54015,526,47.7,62.0,63.8,65.4,70.3,232780.0,5842032.0,8041246.0,8594075.0,8845696.0
52,extend,EXTEND,100867810,1333175081,518764302,514950763,196953649,5203620,196619637,0,0,681,43716,501312460,562617018,6500376173,11863926415,1139795095,169685393,23453816486495,27617594052,3648348836,79999996,580447,172.28101790516618,100000,5794.74311,363,786943,27999,55167,552,42.3,61.1,63.7,67.1,74.5,204216.0,7088433.0,7227938.0,7403142.0,8688496.0
53,extend,EXTEND,107278882,1377496220,538061413,534170995,204518713,5303741,204179649,0,0,681,43758,504958442,562711358,6504030103,11866222501,1140691119,169737717,23477137307946,27648071311,3652930338,80014802,596373,167.68029404416365,100000,5954.38552,358,654335,27967,56863,567,43.4,59.8,62.4,64.1,71.2,193436.0,7374682.0,7501924.0,7678806.0,8851792.0
54,extend,EXTEND,113820082,1423254261,557670397,553704217,212254517,5403851,211910385,0,0,681,43802,508745658,562810411,6507281664,11868575107,1141542073,169786127,23501069950252,27679177314,3657565430,80031788,577635,173.1197036190674,100000,5766.64116,363,905215,28431,57407,549,36.2,61.4,63.7,65.9,73.6,180804.0,6499640.0,7697860.0,8509584.0,8733856.0
55,extend,EXTEND,119867684,1469127518,577805879,573762410,220168029,5503983,219818729,0,0,681,43847,512607472,562910661,6510411699,11870986565,1142394652,169837317,23525508331061,27710785161,3662147690,80070818,578481,172.86652457038346,100000,5775.24102,362,575487,28415,58719,550,44.5,63.8,66.1,69.7,76.7,203716.0,6965810.0,7473776.0,8555186.0,8850580.0
56,extend,EXTEND,126198011,1515193546,598152026,594032595,228165518,5604104,227811027,0,0,681,43893,516364468,563021528,6513910490,11873422736,1143286085,169903128,23550321641401,27742903059,3667031049,80085804,602871,165.872964531384,100000,6019.39885,345,742911,29583,59519,573,52.7,61.9,64.8,66.3,72.9,212192.0,7559500.0,7642704.0,8325864.0,8805704.0
57,extend,EXTEND,132990280,1563890038,618910451,614713602,236359148,5704214,235999241,0,0,681,43940,521292786,563062780,6516549047,11875922329,1144211990,169937225,23575918557023,27775926932,3672139715,80102104,581769,171.88953003683594,100000,5807.89557,387,588287,29471,61183,553,40.6,64.1,67.4,70.3,76.6,211244.0,7306356.0,8594712.0,8598872.0,8844140.0
58,extend,EXTEND,138541676,1612219854,639898397,635623109,244592120,5804346,244226831,0,0,681,43987,525780037,563181510,6520095060,11878262344,1145184580,169975929,23601639381672,27808853679,3677122490,80134697,599903,166.69361546783398,100000,5989.41129,388,554495,29775,61663,570,48.9,62.5,64.95,67.2,72.6,229160.0,6153488.0,8363460.0,8596895.0,8854660.0
59,extend,EXTEND,144687438,1661445132,661505806,657153508,253087167,5904467,252716473,0,0,681,44036,530516590,563260308,6523404045,11880851323,1146162749,170014725,23628207272255,27842778660,3682253889,80150617,623573,160.3661479890887,100000,6226.20992,384,548863,30671,62623,593,48.9,61.9,64.6,66.8,75.1,180896.0,6974748.0,8452456.0,8597564.0,8838232.0
60,extend,EXTEND,151051645,1711654650,683419903,678990856,261714050,6004588,261337925,0,0,681,44086,535364940,563355776,6526625099,11883529845,1147123257,170055284,23655263019373,27877495456,3687518964,80188698,617962,161.8222479699399,100000,6169.93844,383,573439,31519,64735,588,50.0,63.3,66.9,70.025,78.6,169228.0,6100179.0,8591654.0,8597821.0,8847536.0
61,extend,EXTEND,157238356,1762200472,705725004,701218612,270511734,6104720,270130080,0,0,681,44137,540162551,563426426,6530453294,11886239474,1148161496,170111029,23682805264769,27912694560,3692767260,80206041,640829,156.0478692443694,100000,6398.65707,360,685567,32399,65343,609,45.0,63.4,65.9,69.9,77.7,209432.0,6619200.0,7609092.0,8596272.0,8775572.0
62,extend,EXTEND,163931753,1812827068,728153779,723570077,279313590,6204852,278926417,0,0,681,44188,545008890,563509541,6534022107,11888955565,1149196854,170159961,23710484898461,27948110989,3698147983,80223999,633795,157.77972372770375,100000,6328.25954,373,523519,32143,66303,603,41.9,63.9,66.3,70.7,75.9,208328.0,6234020.0,7341916.0,8595980.0,8861540.0
63,extend,EXTEND,170800616,1864815293,751117974,746453931,288431608,6304995,288038980,0,0,681,44241,550072143,563585496,6537735477,11891758901,1150248816,170216676,23739113246061,27984671956,3703668431,80238378,664431,150.50471757037224,100000,6634.1913,392,637951,33375,67455,632,42.3,62.9,65.3,69.2,78.1,204084.0,7491776.0,8060722.0,8597359.0,8809764.0
64,extend,EXTEND,177744882,1916540456,774109059,769364767,297536818,6405127,297138567,0,0,681,44294,554866546,563658731,6541782216,11894552406,1151330897,170282713,23767798711283,28021205086,3709203275,80276102,673881,148.39415267680792,100000,6728.82131,393,664063,33311,68543,641,47.8,62.7,64.5,68.6,75.6,213132.0,7156860.0,7251900.0,8594416.0,8861088.0
65,extend,EXTEND,185084848,1969868447,797903991,793079369,307001003,6505270,306597225,0,0,681,44349,559681876,563729153,6545855590,11897442716,1152417556,170360333,23797486617873,28058940178,3714829507,80294078,696202,143.63647332239782,100000,6951.95951,381,869887,34751,69823,662,43.9,63.8,65.95,69.275,77.5,209404.0,5448065.0,5634790.0,8595459.0,8840364.0
66,extend,EXTEND,192840065,2022567496,821722154,816815553,316402001,6605424,315992752,0,0,681,44402,564349271,563799512,6550090788,11900321594,1153477271,170435791,23827101962332,28096711449,3720469961,80309608,698190,143.22748821953908,100000,6971.96555,401,858111,34303,70463,664,52.1,62.9,65.8,68.2,77.1,187388.0,7366345.0,7450342.0,8589650.0,8826200.0
67,extend,EXTEND,200815623,2076243032,845742396,840755604,325875259,6705556,325460520,0,0,681,44457,569150442,563911413,6554145499,11903237953,1154582392,170498777,23857061475389,28134755556,3726201930,80323222,689746,144.98090601467786,100000,6887.73513,405,764415,35007,71551,656,50.5,64.4,66.45,69.6,77.7,186188.0,7149743.0,7223916.0,8594132.0,8812160.0
68,extend,EXTEND,208692680,2131183992,870425677,865356986,335676716,6805710,335256568,0,0,681,44514,574209017,563972068,6558112230,11906238156,1155699151,170561578,23888007956713,28173911051,3732126603,80338280,711862,140.4766654211069,100000,7109.06066,400,821759,35839,72703,677,41.9,63.0,64.9,69.7,80.1,191428.0,7649040.0,7911056.0,8595548.0,8844008.0
69,extend,EXTEND,216552387,2185941167,894917962,889768222,345379995,6905842,344954397,0,0,681,44570,579422159,564028855,6562238226,11909222322,1156859565,170618925,23918889186703,28213036166,3738237577,80352816,701920,142.46637793480738,100000,7009.24605,394,770559,35039,73727,667,43.0,64.0,65.5,70.6,83.8,212208.0,7930140.0,7995652.0,8596704.0,8853220.0
70,extend,EXTEND,224402946,2243573456,920521668,915290080,355517466,7005996,355086406,0,0,681,44630,585194588,564095214,6565973504,11912284579,1158052466,170660737,23951048345049,28253640044,3744350957,80369500,730532,136.88654295773492,100000,7295.01273,401,591871,37151,75007,695,38.4,63.2,66.0,69.8,82.8,189880.0,7114424.0,8592924.0,8599438.0,8821520.0
71,extend,EXTEND,231634360,2299846825,946097495,940783183,365638269,7106150,365201952,0,0,681,44689,590271160,564169622,6570824678,11915390002,1159239555,170739100,23983126321423,28293716622,3750285788,80391323,735673,135.92995801123598,100000,7346.56405,392,875519,37567,75967,700,42.3,63.475,65.8,69.5,78.8,198424.0,6761620.0,6855008.0,8593259.0,8846192.0
72,extend,EXTEND,240234441,2357296439,971973318,966576202,375950584,7206304,375508949,0,0,681,44749,595578582,564231503,6575215743,11918577410,1160427401,170802120,24015946222885,28335045414,3756668880,80408464,749693,133.38793346076326,100000,7487.36467,378,709631,38655,76991,713,48.9,63.6,65.5,70.5,78.6,218736.0,6586112.0,6704932.0,8597560.0,8833168.0
