Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
0,load,10000,true,uniform,INSERT,0.1,6.8,1,40793,13063,2091,10119,8,0,0,0,0,613,23536,32439971,314696534,3901258271,7397836933,636379150,91710946,12478651875925,14631748828,1907390551,78480804,1,0,0,0,0,12185,820.6811653672548,10000,1184.275,466,24415,1576,1687,10000
1,extend,10000,true,zipfian,EXTEND,0.1,6.8,2,1411284,302029,270951,98447,100030,81785,0,0,0,613,23536,32439971,314696534,3901258271,7397852853,636379150,91710946,12478908938203,14632429766,1907390555,78480804,0,0,0,0,1,126776,788.7928314507478,100000,1260.19611,365,17823,1658,2071,100000
1,run,10000,true,uniform,READ,0.1,6.8,2,1971972,501635,450111,98559,100041,81887,0,0,0,613,23536,32439971,314696534,3901258271,7397852853,636379150,91710946,12478911243377,14632464607,1907390555,78480804,1,0,0,0,0,4637,21565.667457407806,100000,42.54177,24,14991,60,121,100000
1,reference,10000,true,uniform,READ,0.1,6.8,1,344294,125308,102579,10181,12,62,0,0,0,613,23536,32439971,314696534,3901258271,7397852853,636379150,91710946,12478911243522,14632464608,1907390555,78480804,1,0,0,0,0,3511,28481.913984619765,100000,31.31968,22,10911,43,74,100000
1,clean-run,10000,true,uniform,READ,0.1,6.8,509,535624,179535,168566,16476,1,0,0,4,385024,613,23537,32458363,314696534,3901276008,7397856947,636379417,91710960,12478939294463,14632484675,1907391542,78480804,1,0,0,0,0,4517,22138.58755811379,100000,41.24828,24,10687,58,113,100000
1,avg-run,10000,true,uniform,READ,0.1,6.8,511,1327984,455041,404019,36476,5,0,0,4,385024,613,23537,32458363,314696534,3901276008,7397859895,636379417,91710960,12478964171992,14632534802,1907391544,78480804,1,0,0,0,0,4578,21843.5998252512,100000,42.16843,26,20095,55,86,100000
2,extend,10000,true,zipfian,EXTEND,0.1,6.8,2,4443298,1172180,1064417,350375,200063,317003,0,0,0,613,23538,32469784,314696534,3901302524,7397882035,636379417,91710960,12479601931400,14633831858,1907429949,78480804,0,0,0,0,1,129068,774.7853844485078,100000,1283.24678,380,14023,2061,3119,100000
2,run,10000,true,uniform,READ,0.1,6.8,2,5820951,1569328,1441119,350521,200074,317145,0,0,0,613,23538,32469960,314696534,3901302524,7397882035,636379417,91710960,12479603423644,14633852138,1907429950,78480804,1,0,0,0,0,6000,16666.666666666668,100000,56.19246,25,214143,73,142,100000
2,reference,10000,true,uniform,READ,0.1,6.8,1,646807,249222,203842,10181,12,62,0,0,0,613,23538,32470003,314696534,3901302524,7397882035,636379417,91710960,12479603423644,14633852138,1907429950,78480804,1,0,0,0,0,3959,25258.90376357666,100000,35.72667,22,10791,48,75,100000
2,clean-run,10000,true,uniform,READ,0.1,6.8,534,1035189,331614,321522,32304,1,0,0,4,385024,613,23539,32505809,314696534,3901302525,7397887497,636413726,91711385,12479643865963,14633900989,1907430937,78481061,1,0,0,0,0,5253,19036.740909956214,100000,48.78003,25,13727,66,137,100000
2,avg-run,10000,true,uniform,READ,0.1,6.8,536,3169339,1005841,954819,82477,5,0,0,4,385024,613,23539,32505809,314696534,3901302525,7397891967,636413726,91711385,12479683503652,14634011838,1907430940,78481061,1,0,0,0,0,5420,18450.18450184502,100000,50.5355,32,22303,66,96,100000
3,extend,10000,true,zipfian,EXTEND,7.1,9.8,2,9195653,2578851,2396296,754153,300096,705852,0,0,0,613,23540,32559844,314696534,3901331686,7397914048,636477969,91711516,12480641513269,14635750959,1907495642,78481061,0,0,0,0,1,138281,723.1651492251285,100000,1374.9201,378,32959,2555,4171,100000
