Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
4,avg-run,10000,true,uniform,READ,0.2,8,503,5369644,1678752,1627733,138032,5,0,0,4,385024,735,22562,1885336661,32024328,1059335481,905169444,615524228,14477581,11965286245104,14205938111,1814363928,37032547,1,0,0,0,0,7057,14170.327334561429,100000,66.08358,42,12895,86,205,100000
5,extend,10000,true,zipfian,EXTEND,7.2,12.6,2,23866959,6903364,6567167,2001672,500144,1932211,0,0,0,735,22565,1885505327,32024328,1059372898,905193402,615616274,14477609,11967064944735,14208762573,1814522247,37032547,0,0,0,0,1,168132,594.7707753431828,100000,1672.64377,380,9343,3885,6731,100000
5,run,10000,true,uniform,READ,0.2,8,2,27273383,7776941,7419421,2002167,500166,1932690,0,0,0,735,22565,1885507000,32024328,1059372959,905193462,615616274,14477609,11967114150516,14209030949,1814575934,37032547,1,0,0,0,0,10924,9154.155986818016,100000,104.34304,36,14095,364,539,100000
5,reference,10000,true,uniform,READ,0.2,8,1,1553055,621384,507176,10119,1,0,0,0,0,735,22565,1885507050,32024328,1059372959,905193462,615616274,14477609,11967114150516,14209030949,1814575934,37032547,1,0,0,0,0,4565,21905.80503833516,100000,40.806,24,16415,53,89,100000
5,clean-run,10000,true,uniform,READ,0.2,8,471,2330835,736125,725156,67755,8,0,0,4,385024,735,22566,1885594457,32024328,1059372960,905203280,615662218,14477684,11967192010795,14209159695,1814576923,37038588,1,0,0,0,0,8222,12162.49087813184,100000,77.45906,35,16511,118,447,100000
5,avg-run,10000,true,uniform,READ,0.2,8,473,5874214,1834741,1783719,147755,12,0,0,4,385024,735,22566,1885594457,32024328,1059372960,905211887,615662218,14477684,11967265768114,14209330246,1814576992,37038588,1,0,0,0,0,7712,12966.804979253113,100000,72.61354,45,13583,101,352,100000
6,extend,10000,true,zipfian,EXTEND,8.4,13,2,33456211,9762715,9348432,2842415,600188,2765293,0,0,0,735,22570,1885860187,32024328,1059406422,905229588,615778648,14477749,11969498417920,14212685430,1814805833,37038588,0,0,0,0,1,178993,558.681065740001,100000,1780.58447,393,11799,4431,7863,100000
6,run,10000,true,uniform,READ,0.2,8,2,37156743,10718826,10283220,2842961,600210,2765828,0,0,0,735,22570,1885865723,32024328,1059406491,905229656,615778648,14477749,11969562687942,14212979847,1814879848,37038645,1,0,0,0,0,11960,8361.204013377926,100000,114.46354,41,16319,415,554,100000
6,reference,10000,true,uniform,READ,0.2,8,1,1855643,746188,608453,10119,1,0,0,0,0,735,22570,1885865772,32024328,1059406491,905229656,615778648,14477749,11969562687942,14212979847,1814879848,37038645,1,0,0,0,0,4554,21958.717610891523,100000,40.63051,25,11679,55,109,100000
6,clean-run,10000,true,uniform,READ,0.2,8,471,2564408,810235,799266,75384,1,0,0,4,385024,735,22571,1885969795,32024328,1059406492,905240897,615817567,14477830,11969652193185,14213125327,1814880837,37041467,1,0,0,0,0,8864,11281.58844765343,100000,83.79157,38,13887,146,476,100000
6,avg-run,10000,true,uniform,READ,0.2,8,473,6557538,2044205,1993183,165384,5,0,0,4,385024,735,22571,1885969795,32024328,1059406492,905251197,615817567,14477830,11969737402632,14213315937,1814880915,37041467,1,0,0,0,0,8342,11987.532965715656,100000,78.62013,48,14215,120,450,100000
7,extend,10000,true,zipfian,EXTEND,6,14,2,44041994,12970191,12478876,3810042,700232,3726400,0,0,0,735,22576,1886290612,32024328,1059442961,905268755,615955086,14477904,11972321478685,14217102516,1815126695,37041467,0,0,0,0,1,184561,541.826279658216,100000,1836.52308,383,14223,4999,8567,100000
7,run,10000,true,uniform,READ,0.3,8,2,48105052,14004075,13491437,3810642,700254,3726990,0,0,0,735,22576,1886307289,32024328,1059443037,905268864,615955086,14477904,11972437953667,14217466885,1815279669,37045015,1,0,0,0,0,13185,7584.376185058779,100000,126.60829,43,17279,436,577,100000
7,reference,10000,true,uniform,READ,0.3,8,1,2158231,870992,709730,10119,1,0,0,0,0,735,22576,1886307337,32024328,1059443037,905268864,615955086,14477904,11972437953667,14217466885,1815279669,37045015,1,0,0,0,0,4364,22914.757103574702,100000,38.89243,24,12623,51,81,100000
7,clean-run,10000,true,uniform,READ,0.3,8.3,440,2749638,873988,863019,81922,1,0,0,4,385024,735,22577,1886414873,32024328,1059443038,905281484,615983583,14477984,11972538926200,14217626880,1815280658,37046216,1,0,0,0,0,10927,9151.642719868216,100000,104.15221,40,16055,355,532,100000
7,avg-run,10000,true,uniform,READ,0.3,8.3,442,6776335,2121146,2070124,171922,5,0,0,4,385024,735,22577,1886414873,32024328,1059443038,905293174,615983583,14477984,11972634147907,14217817517,1815280744,37046216,1,0,0,0,0,8243,12131.505519835011,100000,77.74656,54,15759,95,345,100000
