Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,transaction_commits,transaction_rollbacks,nodes_created,nodes_deleted,relationships_created,relationships_deleted,properties_set,index_hits,index_misses,lock_acquisition_time,lock_wait_time,checkpoint_total_time,checkpoint_total_events,log_rotation_events,log_rotation_total_time,transaction_started,transaction_peak_concurrent,transaction_active,transaction_terminated,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),RETURN=ERROR,Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,Return=NOT_FOUND
0,load,2500,true,uniform,INSERT,0,0,1000,0,0,0,NULL,3500800,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,843,0.0,1,0,NaN,9223372036854775807,0,0,0,0,0
1,extend,2500,true,uniform,EXTEND,0,0,1000,0,0,0,NULL,3500801,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,513,48732.943469785576,0,0,NaN,9223372036854775807,0,0,0,0,0
1,run,2500,true,uniform,READ,0,0,1000,0,0,0,NULL,3519631,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14810,1688.048615800135,0,5017,833.0767390871039,350,24783,1959,3761,5017,19983
1,reference,2500,true,uniform,READ,0,0,1000,0,0,0,NULL,145441,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14724,1697.908177125781,0,5028,682.6616945107398,186,157439,1783,3709,5028,19972
