run,metric,first10,last10,change_pct
4,tup_updated_per_op,1.0004155555555554,1.00209,0.16737489087867985
4,tup_inserted_per_op,8.361057777777779,136.22244700000002,1529.248961322278
4,internal_inserts_per_logical_update,8.357477697745965,135.9381328364611,1526.5449667083647
4,wal_bytes_per_op,24247.505482222223,446362.462742,1740.859312597182
4,buffers_alloc_per_op,0.3935466666666667,41.734774,10504.784015449248
4,blks_read_per_op,0.0,119.44222099999999,
5,tup_updated_per_op,1.0004033333333333,1.002046,0.16420043915621463
5,tup_inserted_per_op,8.326014444444446,135.65433000000002,1529.2829048659132
5,internal_inserts_per_logical_update,8.322568647552204,135.3772453131607,1526.6281606818254
5,wal_bytes_per_op,24287.42995888889,444591.20893799997,1730.540364668289
5,buffers_alloc_per_op,0.39503222222222223,41.579832999999994,10425.681364951943
5,blks_read_per_op,0.0,114.888762,
6,tup_updated_per_op,1.000391111111111,1.002156,0.17641988911005768
6,tup_inserted_per_op,8.318783333333336,136.1693,1536.8896092577636
6,internal_inserts_per_logical_update,8.315356908357408,135.87599098912438,1534.036788638155
6,wal_bytes_per_op,24188.749833333335,445916.57641000004,1743.487486879145
6,buffers_alloc_per_op,0.3912888888888889,41.334842,10463.765845070422
6,blks_read_per_op,0.0,117.20844000000002,
