Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,run,source_file,blks_read_delta,blks_read_per_op,blks_hit_delta,blks_hit_per_op,tup_returned_delta,tup_returned_per_op,tup_fetched_delta,tup_fetched_per_op,tup_inserted_delta,tup_inserted_per_op,tup_updated_delta,tup_updated_per_op,tup_deleted_delta,tup_deleted_per_op,deadlocks_delta,deadlocks_per_op,temp_files_delta,temp_files_per_op,temp_bytes_delta,temp_bytes_per_op,checkpoints_timed_delta,checkpoints_timed_per_op,checkpoints_req_delta,checkpoints_req_per_op,buffers_checkpoint_delta,buffers_checkpoint_per_op,buffers_clean_delta,buffers_clean_per_op,buffers_backend_delta,buffers_backend_per_op,buffers_alloc_delta,buffers_alloc_per_op,checkpoint_write_time_delta,checkpoint_write_time_per_op,checkpoint_sync_time_delta,checkpoint_sync_time_per_op,wal_bytes_delta,wal_bytes_per_op,wal_records_delta,wal_records_per_op,wal_fpi_delta,wal_fpi_per_op,wal_buffers_full_delta,wal_buffers_full_per_op,cache_hit_ratio,interval_cache_hit_ratio,internal_inserts_per_logical_update,latency_change_pct
11,avg-run,10000,True,uniform,READ,0.7,14.6,247,7742085,2485498,2434476,202355,5,0,0,4,385024,681,42662,391400275,560854007,6447187376,11816138832,1120691540,168795848,22883206125228,26854239224,3549245594,79411961,1,0,0,0,0,9791,10213.46134204882,100000,92.99731,70,16815,123,205,100000,4,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure.csv,-64.0,-0.00064,105368.0,1.05368,54541.0,0.54541,54541.0,0.54541,4565.0,0.04565,-7.0,-7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9e-05,1006940.0,10.0694,0.0,0.0,74855.0,0.74855,81319.0,0.81319,199934.0,1.99934,512.0,0.00512,4812776564.0,48127.76564,6880573.0,68.80573,834466.0,8.34466,7519.0,0.07519,0.9999680974672747,1.0006077641874953,-652.1428571428571,-0.3180589027980796
12,avg-run,10000,True,uniform,READ,0.8,15.5,184,7829059,2510240,2459218,206840,5,0,0,4,385024,681,42672,392625017,560854007,6447236311,11816191777,1120902195,168796037,22888547388137,26861707657,3550251539,79416183,1,0,0,0,0,10179,9824.147755182235,100000,96.8033,74,16495,125,184,100000,4,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure.csv,-63.0,-0.00063,86974.0,0.86974,24742.0,0.24742,24742.0,0.24742,4485.0,0.04485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0001,1224742.0,12.24742,0.0,0.0,48935.0,0.48935,52945.0,0.52945,210655.0,2.10655,189.0,0.00189,5341262909.0,53412.62909,7468433.0,74.68433,1005945.0,10.05945,4222.0,0.04222,0.9999764983664449,1.0007248794744048,,4.092580742389207
13,avg-run,10000,True,uniform,READ,0.9,21.0,119,7808860,2561900,2510881,211050,5,0,0,4,385024,681,42683,393845788,560854007,6447379464,11816341873,1121128969,168797783,22894208413172,26869590992,3551373967,79432667,1,0,0,0,0,12711,7867.20163637794,100000,122.2225,95,16047,168,253,100000,4,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure.csv,-65.0,-0.00065,-20199.0,-0.20199,51660.0,0.5166,51663.0,0.51663,4210.0,0.0421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.00011,1220771.0,12.20771,0.0,0.0,143153.0,1.43153,150096.0,1.50096,226774.0,2.26774,1746.0,0.01746,5661025035.0,56610.25035,7883335.0,78.83335,1122428.0,11.22428,16484.0,0.16484,0.9999847611320251,0.9967923410975128,,26.25860895238077
14,avg-run,10000,True,uniform,READ,1.0,24.3,119,7996904,2622579,2571557,215994,5,0,0,4,385024,681,42694,395298669,560854007,6447480497,11816447593,1121352669,168799255,22900269274283,26878106624,3552386831,79439359,1,0,0,0,0,10925,9153.318077803204,100000,104.04435,77,19071,140,198,100000,4,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure.csv,0.0,0.0,188044.0,1.88044,60679.0,0.60679,60676.0,0.60676,4944.0,0.04944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.00011,1452881.0,14.52881,0.0,0.0,101033.0,1.01033,105720.0,1.0572,223700.0,2.237,1472.0,0.01472,6060861111.0,60608.61111,8515632.0,85.15632,1012864.0,10.12864,6692.0,0.06692,0.9999851194625801,1.0,,-14.872998015913607
15,avg-run,10000,True,uniform,READ,1.0,25.5,55,8073396,2677606,2626584,220717,5,0,0,4,385024,681,42706,396880545,560854007,6447544706,11816520324,1121611918,168799396,22906783390989,26887212493,3553528264,79459270,1,0,0,0,0,11705,8543.357539513028,100000,111.9849,86,15783,140,208,100000,4,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure.csv,-64.0,-0.00064,76492.0,0.76492,55027.0,0.55027,55027.0,0.55027,4723.0,0.04723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.00012,1581876.0,15.81876,0.0,0.0,64209.0,0.64209,72731.0,0.72731,259249.0,2.59249,141.0,0.00141,6514116706.0,65141.16706,9105869.0,91.05869,1141433.0,11.41433,19911.0,0.19911,0.9999931875476794,1.0008373894384257,,7.631889670126246
16,avg-run,10000,True,uniform,READ,1.1,25.7,55,8133095,2722144,2671122,225514,5,0,0,4,385024,681,42719,398491794,560854007,6447591343,11816571019,1121871108,168799489,22913760447492,26896876059,3554661654,79471625,1,0,0,0,0,11923,8387.15088484442,100000,114.26917,85,14423,138,225,100000,4,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure.csv,0.0,0.0,59699.0,0.59699,44538.0,0.44538,44538.0,0.44538,4797.0,0.04797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.00013,1611249.0,16.11249,0.0,0.0,46637.0,0.46637,50695.0,0.50695,259190.0,2.5919,93.0,0.00093,6977056503.0,69770.56503,9663566.0,96.63566,1133390.0,11.3339,12355.0,0.12355,0.9999932375524858,1.0,,2.039801794706264
17,avg-run,10000,True,uniform,READ,1.1,25.8,55,8193602,2774142,2723120,230703,5,0,0,4,385024,681,42733,400188195,560854007,6447640843,11816624547,1122130723,168799596,22921135015772,26906942302,3556028233,79506554,1,0,0,0,0,12197,8198.737394441256,100000,117.02665,92,16263,134,216,100000,4,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure.csv,0.0,0.0,60507.0,0.60507,51998.0,0.51998,51998.0,0.51998,5189.0,0.05189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.00014,1696401.0,16.96401,0.0,0.0,49500.0,0.495,53528.0,0.53528,259615.0,2.59615,107.0,0.00107,7374568280.0,73745.6828,10066243.0,100.66243,1366579.0,13.66579,34929.0,0.34929,0.9999932874905552,1.0,,2.4131443328064828
18,avg-run,10000,True,uniform,READ,1.2,28.2,79,8661678,2963263,2912241,246055,5,0,0,4,385024,681,42747,402089445,560858840,6447830687,11816786746,1122388735,168804620,22928836191539,26917540255,3557351785,79521947,1,0,0,0,0,12766,7833.307222309259,100000,122.56613,93,19631,159,250,100000,4,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure.csv,24.0,0.00024,468076.0,4.68076,189121.0,1.89121,189121.0,1.89121,15352.0,0.15352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.00014,1901250.0,19.0125,4833.0,0.04833,189844.0,1.89844,162199.0,1.62199,258012.0,2.58012,5024.0,0.05024,7701175767.0,77011.75767,10597953.0,105.97953,1323552.0,13.23552,15393.0,0.15393,0.9999908794485922,0.9999487289040804,,4.733520099908861
19,avg-run,10000,True,uniform,READ,1.3,30.9,55,10217190,4224720,4173698,351738,5,0,0,4,385024,681,42762,404077539,560878486,6448014089,11817376854,1122641706,168811383,22937069824760,26929050896,3558762275,79549478,1,0,0,0,0,13535,7388.252678241596,100000,130.30268,98,16847,158,272,100000,4,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure.csv,-24.0,-0.00024,1555512.0,15.55512,1261457.0,12.61457,1261457.0,12.61457,105683.0,1.05683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.00015,1988094.0,19.88094,19646.0,0.19646,183402.0,1.83402,590108.0,5.90108,252971.0,2.52971,6763.0,0.06763,8233633221.0,82336.33221,11510641.0,115.10641,1410490.0,14.1049,27531.0,0.27531,0.9999946169441958,1.0000154292414984,,6.31214349347573
20,avg-run,10000,True,uniform,READ,1.3,33.7,55,10209415,4279938,4228919,357230,5,0,0,4,385024,681,42778,406152448,560904208,6448237597,11817900746,1122921803,168819453,22945725348348,26941108510,3560297425,79563972,1,0,0,0,0,14904,6709.608158883521,100000,143.95424,114,19327,180,285,100000,4,postgresql_arrayjson_vacuum_notfull_bigcache_run4_zipfian_heavy_pure.csv,0.0,0.0,-7775.0,-0.07775,55218.0,0.55218,55221.0,0.55221,5492.0,0.05492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.00016,2074909.0,20.74909,25722.0,0.25722,223508.0,2.23508,523892.0,5.23892,280097.0,2.80097,8070.0,0.0807,8655523588.0,86555.23588,12057614.0,120.57614,1535150.0,15.3515,14494.0,0.14494,0.9999946128447412,1.0,,10.476806770206103
