phase,metric,rho_latency,rho_throughput
run,cache_hit_ratio,-0.8485380041531776,0.8477138946269525
run,blks_read_per_op,0.7824934542312109,-0.7808050663697357
run,blks_hit_per_op,0.775464007945209,-0.7733660944762708
run,tup_fetched_per_op,0.7854019682449601,-0.7831428447064337
run,tup_returned_per_op,0.7855116018108886,-0.7832460294054328
run,tup_inserted_per_op,0.7825579445641099,-0.7802826938310529
run,wal_bytes_per_op,0.7842991835523855,-0.7819820168426941
run,wal_records_per_op,0.7840863654538185,-0.7818014436194457
run,wal_fpi_per_op,0.7795397969844321,-0.7772709904290172
run,buffers_alloc_per_op,0.7858965863609716,-0.7833956204473709
run,buffers_backend_per_op,0.7424191613677109,-0.7420301911989873
run,buffers_clean_per_op,0.35905050729836574,-0.3630785204580118
run,checkpoint_write_time_per_op,0.7349963240510248,-0.7348266094001139
run,checkpoint_sync_time_per_op,0.5544814332331583,-0.5553142538383058
clean-run,cache_hit_ratio,0.7336678231933034,-0.7238825822625238
clean-run,blks_hit_per_op,-0.006758586887825515,0.009657442921945267
clean-run,tup_fetched_per_op,0.081045001354297,-0.07744979016434168
clean-run,tup_returned_per_op,0.07990997149527287,-0.0763147584753518
clean-run,tup_inserted_per_op,-0.2675594451645174,0.26615395781592727
clean-run,wal_bytes_per_op,0.6904335040177478,-0.6801935358019441
clean-run,wal_records_per_op,0.6914846964440031,-0.6813543636656837
clean-run,wal_fpi_per_op,0.684906682488295,-0.6747731145826484
clean-run,buffers_alloc_per_op,0.6882795268989179,-0.6781201682564313
clean-run,buffers_backend_per_op,0.7086455740284532,-0.7009820281284151
clean-run,buffers_clean_per_op,0.3784292734519096,-0.38075153930661004
clean-run,checkpoint_write_time_per_op,0.7899678838142163,-0.7816498910927907
clean-run,checkpoint_sync_time_per_op,0.5842824160658318,-0.5797077615860574
avg-run,cache_hit_ratio,0.8661632121345012,-0.8622744450606855
avg-run,blks_read_per_op,-0.007182775669563873,0.007182775669563873
avg-run,blks_hit_per_op,0.04059021552669255,-0.04017102836284841
avg-run,tup_fetched_per_op,0.05583573022403942,-0.05688047361700482
avg-run,tup_returned_per_op,0.05583573022403942,-0.05688047361700482
avg-run,tup_inserted_per_op,-0.25002781209390545,0.2500826300258304
avg-run,wal_bytes_per_op,0.7966748784357225,-0.7914511614708956
avg-run,wal_records_per_op,0.7968941455675794,-0.791702673769202
avg-run,wal_fpi_per_op,0.7936567308560447,-0.7885297493905663
avg-run,buffers_alloc_per_op,0.7923153319317434,-0.7870142265674376
avg-run,buffers_backend_per_op,0.787420515664702,-0.7832479911261302
avg-run,buffers_clean_per_op,0.31413241155150845,-0.31497078587919675
avg-run,checkpoint_write_time_per_op,0.8760689272678025,-0.8725800002579613
avg-run,checkpoint_sync_time_per_op,0.6401503914563207,-0.6376352684732559
