phase,metric,pre_50_59,break_60_69,late_90_99,change_50_59_to_60_69_pct,change_60_69_to_90_99_pct
run,AverageLatency(us),357.822322,422.44086833333336,687.2618583333333,18.05883600893221,62.68829790185899
run,Throughput(ops/sec),2820.122593347311,2397.9046453175674,1487.727522504234,-14.971616802253873,-37.95718585351812
run,wal_bytes_per_op,241915.72288166665,289969.852703,441158.85835000005,19.863996125972804,52.139560108634655
run,wal_records_per_op,313.7799823333333,371.0092193333333,537.92159,18.238651355141112,44.988739354399776
run,buffers_alloc_per_op,23.460032666666667,28.310239,41.178447,20.674337509447625,45.454254201103694
run,checkpoint_write_time_per_op,8.987231000000001,11.038260333333334,16.54304133333333,22.821593584646173,49.87000517986211
run,blks_read_per_op,57.700138,75.02462133333331,116.880248,30.025029287336036,55.78918749979786
run,tup_fetched_per_op,198.39586866666664,233.30026866666665,337.3328783333333,17.593309898324726,44.59172304482244
run,tup_returned_per_op,199.16351099999997,234.10379866666668,338.24333133333334,17.54351863513126,44.48434124511913
run,cache_hit_ratio,0.926374120057738,0.9144389561365882,0.8907584115313251,-1.2883740664523247,-2.5896255235353327
clean-run,AverageLatency(us),316.6123523333333,361.84049366666665,499.18596733333334,14.285021099150486,37.95746359808794
clean-run,Throughput(ops/sec),3177.0115001035824,2780.7143416291615,2012.422167096511,-12.473897512221788,-27.629309599724095
clean-run,wal_bytes_per_op,242025.147409,290080.969752,441270.14657833334,19.855714522834322,52.11964678537515
clean-run,wal_records_per_op,313.85983366666665,371.11973000000006,538.032793,18.24377960836685,44.97552932580542
clean-run,buffers_alloc_per_op,23.474190000000004,28.32384966666667,41.191935666666666,20.659539974187258,45.43198100342971
clean-run,checkpoint_write_time_per_op,9.018371333333334,11.005577333333335,16.61324733333333,22.035087340604065,50.95298347516641
clean-run,blks_read_per_op,0.0,0.0,0.0,,
clean-run,tup_fetched_per_op,0.5418426666666666,0.5012059999999999,0.6094496666666667,-7.499717015025276,21.596642232269115
clean-run,tup_returned_per_op,0.5418683333333333,0.5011793333333333,0.6094496666666667,-7.509019718812382,21.603112126198344
clean-run,cache_hit_ratio,0.999991215322367,0.9999916122753559,0.9999926122354905,3.96956476134136e-05,9.999685219863608e-05
avg-run,AverageLatency(us),320.34068533333334,378.598463,521.4463936666666,18.186193741218347,37.730721232924445
avg-run,Throughput(ops/sec),3113.3659674866544,2645.4710525840896,1917.4390550138014,-15.028587059435395,-27.519938154649182
avg-run,wal_bytes_per_op,242138.487877,290182.13735499996,441387.8565516667,19.841393204043168,52.107176745922956
avg-run,wal_records_per_op,314.06199266666664,371.1405213333333,538.3086766666667,18.17428724247052,45.041741799784305
avg-run,buffers_alloc_per_op,23.50304733333333,28.323851333333334,41.217214,20.511399784158503,45.52121996027046
avg-run,checkpoint_write_time_per_op,9.018713333333332,11.006508333333334,16.609472,22.040782609788412,50.9059140008828
avg-run,blks_read_per_op,0.0,0.0,0.0,,
avg-run,tup_fetched_per_op,1.844606,0.6114343333333333,1.9153176666666665,-66.85284915405603,213.2499374421783
avg-run,tup_returned_per_op,1.8446316666666664,0.6119923333333334,1.91561,-66.82306043031174,213.0120911100738
avg-run,cache_hit_ratio,0.9999960514568343,0.9999960558063612,0.9999966681917115,4.349544058257493e-07,6.123877656083465e-05
