run,phase,metric,rho_latency,rho_p95,rho_p99,rho_throughput
4,avg-run,cpu_mean,0.9754095409540953,0.9759156530180565,0.9746797846879712,-0.9753255325532553
5,avg-run,cpu_mean,0.9712811281128112,0.970095023166368,0.9701286544791587,-0.9712811281128112
6,avg-run,cpu_mean,0.9349623011212231,0.8799203094021901,0.8490469235503509,-0.9352863344966622
4,avg-run,mem_mib_mean,0.9168676867686768,0.9171014778029671,0.916760428908673,-0.9166396639663965
5,avg-run,mem_mib_mean,0.9147434743474346,0.9154757587744599,0.9182348423684656,-0.9147434743474346
6,avg-run,mem_mib_mean,0.9206240624062405,0.870964451729897,0.8388550515342333,-0.9200840084008399
4,clean-run,cpu_mean,0.9656645664566456,0.965226105393308,0.9589253997138183,-0.9655654532460297
5,clean-run,cpu_mean,0.9718331833183317,0.9707107196705022,0.9658414816769594,-0.9714851485148513
6,clean-run,cpu_mean,0.8954935493549354,0.8894642884932529,0.891129806602508,-0.8912931293129311
4,clean-run,mem_mib_mean,0.921020102010201,0.9226273343278812,0.9200650473515555,-0.9208908517618758
5,clean-run,mem_mib_mean,0.9142634263426342,0.9118921319844459,0.91062979487297,-0.9144554455445544
6,clean-run,mem_mib_mean,0.925148514851485,0.9221620487393601,0.9204790937247791,-0.9247284728472847
4,extend,cpu_mean,0.8012001200120011,0.8045604560456044,0.805076507650765,-0.8012001200120011
5,extend,cpu_mean,0.731005100510051,0.7317055608026171,0.7314371437143714,-0.731005100510051
6,extend,cpu_mean,0.795079507950795,0.7975961524072874,0.7994983483334763,-0.7950555055505549
4,extend,mem_mib_mean,0.7420702070207019,0.7507110711071106,0.7519111911191119,-0.7420702070207019
5,extend,mem_mib_mean,0.7017701770177017,0.7069529370240512,0.7084668466846683,-0.7017701770177017
6,extend,mem_mib_mean,0.7867986798679867,0.7974521375737589,0.801502554766748,-0.7865706570657065
4,reference,cpu_mean,-0.5627642246552688,0.21728866494015528,-0.2533261886443289,0.5981535269912036
5,reference,cpu_mean,-0.39456896970255145,-0.21236867057494052,-0.3167567696640632,0.4008107626568901
6,reference,cpu_mean,-0.8321636577947192,-0.3508429618127253,-0.7981484042709446,0.8431194291082416
4,reference,mem_mib_mean,-0.1816267013490936,0.1908809449935766,0.1208049398090384,0.18729315757612677
5,reference,mem_mib_mean,0.04808214562900029,0.26560493605729274,0.3061346666825756,-0.06221268711486688
6,reference,mem_mib_mean,-0.1284444979617434,0.08209242350902422,-0.08506532291164819,0.12732374205764244
4,run,cpu_mean,-0.35726372637263726,-0.39251360644934963,-0.40216021602160207,0.35726372637263726
5,run,cpu_mean,-0.4803480348034803,-0.5041359260026471,-0.5175024077834095,0.4803480348034803
6,run,cpu_mean,-0.22118211821182115,-0.2910265949995962,-0.2888629524809522,0.22047404740474044
4,run,mem_mib_mean,0.818085808580858,0.7913338814056745,0.7925712571257124,-0.818085808580858
5,run,mem_mib_mean,0.8453765376537652,0.8254750239311799,0.8247538982083108,-0.8453765376537652
6,run,mem_mib_mean,0.8349114911491149,0.7990074888962914,0.807367691668738,-0.8346474647464746
