run,phase,driver,driver_label,latency_spearman_rho,throughput_spearman_rho
4,clean-run,buffers_checkpoint_per_op,Checkpoint buffers/op,0.9815460729746444,-0.981512002206307
4,clean-run,buffers_clean_per_op,Cleaner buffers/op,0.8748656010275399,-0.8747877406284068
4,clean-run,cache_hit_ratio,Cache-hit ratio,0.9991839183918392,-0.999132910694298
4,clean-run,checkpoint_sync_time_per_op,Checkpoint sync time/op,0.9562275819418676,-0.9561810642626548
4,clean-run,checkpoint_write_time_per_op,Checkpoint write time/op,0.9972047000618429,-0.9972387051337258
4,clean-run,internal_inserts_per_logical_update,Internal inserts/logical update,-0.029927760577915376,0.029927760577915376
4,clean-run,tup_fetched_per_op,Tuples fetched/op,-0.09903525046382189,0.09770592982708994
4,clean-run,tup_inserted_per_op,Internal tuple inserts/op,-0.3274664654760548,0.32757261199240084
4,clean-run,tup_returned_per_op,Tuples returned/op,-0.09849103277674706,0.09716171045720678
4,clean-run,tup_updated_per_op,Logical tuple updates/op,-0.005050932402190083,0.0050509480204826915
4,clean-run,wal_buffers_full_per_op,WAL buffers full/op,0.6062090290661719,-0.6066499896441793
4,clean-run,wal_bytes_per_op,WAL bytes/op,0.9991094619666048,-0.9990630768850386
4,clean-run,wal_fpi_per_op,WAL FPIs/op,0.9962770562770563,-0.9961193448388524
4,clean-run,wal_records_per_op,WAL records/op,0.9991218305504019,-0.9990816298181028
5,clean-run,blks_hit_per_op,Block hits/op,-0.43398886827458255,0.43410018552875695
5,clean-run,blks_read_per_op,Block reads/op,0.3091179671546466,-0.3091179671546466
5,clean-run,buffers_alloc_per_op,Buffer allocs/op,0.9982683982683983,-0.9982931354359926
5,clean-run,buffers_backend_per_op,Backend buffers/op,0.991713048855906,-0.9916759431045146
5,clean-run,buffers_checkpoint_per_op,Checkpoint buffers/op,0.9816079158936302,-0.9816326530612245
5,clean-run,buffers_clean_per_op,Cleaner buffers/op,0.8531421582285489,-0.8530678178862544
5,clean-run,cache_hit_ratio,Cache-hit ratio,0.9979117911791179,-0.9979117911791179
5,clean-run,checkpoint_sync_time_per_op,Checkpoint sync time/op,0.9589360478603157,-0.9587628866162725
5,clean-run,checkpoint_write_time_per_op,Checkpoint write time/op,0.9982807668521955,-0.998330241187384
5,clean-run,internal_inserts_per_logical_update,Internal inserts/logical update,-0.04009034443817053,0.04009034443817053
5,clean-run,tup_fetched_per_op,Tuples fetched/op,-0.053518862090290664,0.05398886827458256
5,clean-run,tup_inserted_per_op,Internal tuple inserts/op,-0.27920927399414247,0.27939480332478445
5,clean-run,tup_returned_per_op,Tuples returned/op,-0.053518862090290664,0.05398886827458256
5,clean-run,tup_updated_per_op,Logical tuple updates/op,-0.008513660523456616,0.008420103814407642
5,clean-run,wal_buffers_full_per_op,WAL buffers full/op,0.6982683982683983,-0.6985157699443414
5,clean-run,wal_bytes_per_op,WAL bytes/op,0.9990723562152134,-0.9990847247990106
5,clean-run,wal_fpi_per_op,WAL FPIs/op,0.994743351886209,-0.994743351886209
5,clean-run,wal_records_per_op,WAL records/op,0.9990228818800247,-0.9990476190476191
6,clean-run,blks_hit_per_op,Block hits/op,-0.4929251700680272,0.49457019171304883
6,clean-run,blks_read_per_op,Block reads/op,0.2703033059938801,-0.2703033059938801
6,clean-run,buffers_alloc_per_op,Buffer allocs/op,0.9953617810760668,-0.9951515151515151
6,clean-run,buffers_backend_per_op,Backend buffers/op,0.983426097711812,-0.9834013605442177
6,clean-run,buffers_checkpoint_per_op,Checkpoint buffers/op,0.983426097711812,-0.9831168831168832
6,clean-run,buffers_clean_per_op,Cleaner buffers/op,0.8818747005253671,-0.881403878357502
