run,phase,AverageLatency(us)_first10,AverageLatency(us)_last10,AverageLatency(us)_change_pct,Throughput(ops/sec)_first10,Throughput(ops/sec)_last10,Throughput(ops/sec)_change_pct,wal_bytes_per_op_first10,wal_bytes_per_op_last10,wal_bytes_per_op_change_pct,wal_records_per_op_first10,wal_records_per_op_last10,wal_records_per_op_change_pct,buffers_alloc_per_op_first10,buffers_alloc_per_op_last10,buffers_alloc_per_op_change_pct,buffers_clean_per_op_first10,buffers_clean_per_op_last10,buffers_clean_per_op_change_pct,blks_read_per_op_first10,blks_read_per_op_last10,blks_read_per_op_change_pct,blks_hit_per_op_first10,blks_hit_per_op_last10,blks_hit_per_op_change_pct,cache_hit_ratio_first10,cache_hit_ratio_last10,cache_hit_ratio_change_pct,checkpoint_write_time_per_op_first10,checkpoint_write_time_per_op_last10,checkpoint_write_time_per_op_change_pct
4,avg-run,72.408267,515.376588,611.7648430945047,13493.41822145326,1920.7289033426762,-85.76543858776348,24622.65285777778,446619.423855,1713.8558279430981,39.40492111111111,544.0041410000001,1280.5487377225222,0.42087555555555556,41.832403,9839.375772199754,0.0,1.1101469999999998,,-0.00015333333333333334,0.0,-100.0,7.007311111111111,0.6120919999999999,-91.26495184394712,0.9998931783686611,0.9999966782050713,0.01035108936127127,1.3336711111111113,16.716501,1153.4200419227127
5,avg-run,66.756185,466.87896900000004,599.3793444008222,14779.76363705524,2123.063280951047,-85.63533671385525,24657.145344444445,444987.04489099997,1704.6981460133256,39.26464444444444,541.4943059999999,1279.0887798975498,0.4223388888888889,41.667640000000006,9765.925467962803,0.0,1.004337,,-0.00021888888888888888,0.0,-100.0,7.008642222222222,0.605485,-91.36088017048158,0.9998890722560825,0.9999966595342187,0.010759921387415439,1.3190833333333332,16.112495000000003,1121.4918188135703
6,avg-run,76.20738600000001,593.6376110000001,678.9764774243798,13115.225306125629,1665.512313822853,-87.3009248796896,24567.68687666667,446233.79016800004,1716.3443404670452,39.25875333333333,544.4665229999998,1286.866562921933,0.4186366666666667,41.388981,9786.611540635873,0.0,1.3067400000000002,,-0.00013777777777777776,0.0,-100.0,6.997170000000001,0.698893,-90.01177618951662,0.9998938775302386,0.999996704766796,0.010283814999589858,1.344246666666667,17.564534000000002,1206.6451593705517
4,clean-run,75.158184,477.60963599999997,535.4725601140123,13069.314459688117,2074.073317009284,-84.13020573185612,24510.041112222225,446500.83889199997,1721.705793342578,39.23052555555555,543.719511,1285.9603033612746,0.4076466666666667,41.807124,10155.725710173843,0.0,1.1101469999999998,,-0.00015333333333333334,0.0,-100.0,2.9098277777777777,0.16831900000000002,-94.21549958092213,0.999712302247301,0.9999925770385787,0.028035544891036324,1.3336711111111113,16.707292000000002,1152.7295418493982
5,clean-run,66.95789,439.924488,557.0166533025458,14833.904876105045,2251.3467064294264,-84.8229665402805,24544.002486666668,444869.8672689999,1712.5400187303267,39.08621222222222,541.22834,1284.7039895369753,0.40911,41.642363,10078.76927965584,0.0,1.004337,,-0.00021888888888888888,0.0,-100.0,2.882992222222222,0.199782,-93.07032469737267,0.9997046862609122,0.9999925499480093,0.02879487223108601,1.3190833333333332,16.101121999999997,1120.6296291616652
6,clean-run,83.324312,594.1022449999999,612.9998805150649,12302.278233503715,1662.6743108052021,-86.48482598713207,24454.670871111113,446117.56070499995,1724.2631972283434,39.08090555555555,544.221386,1292.5506030722877,0.40537777777777784,41.363703,10103.742106128713,0.0,1.3067400000000002,,-0.00013777777777777776,0.0,-100.0,2.8727622222222227,0.33490299999999995,-88.3421260064839,0.999719366725623,0.9999927808584124,0.027349088343142647,1.344246666666667,17.545988,1205.2655018672165
4,extend,1655.253075,10533.234568,536.3519105983233,616.8064447613308,95.06086626469767,-84.58821773474159,24247.505482222223,446362.462742,1740.859312597182,38.46160666666666,542.926569,1311.6065761510051,0.3935466666666667,41.734774,10504.784015449248,0.0,1.097686,,0.0,119.44222099999999,,90.17914222222223,727.1962080000001,706.3906908850615,0.999999751592887,0.8905564250490476,-10.944335373034686,1.2790422222222224,16.619784000000003,1199.3929137948708
5,extend,1636.350076,10103.179318,517.4216303822263,623.0005971314725,99.1225665704796,-84.08949092073476,24287.42995888889,444591.20893799997,1730.540364668289,38.296215555555555,539.7185649999999,1309.3261100879301,0.39503222222222223,41.579832999999994,10425.681364951943,0.0,1.066076,,0.0,114.888762,,89.88125222222223,725.3835839999999,707.0465932167511,0.9999997515486209,0.8939729299198984,-10.602684797123906,1.2680066666666667,15.963012,1158.9059994426948
6,extend,1687.9990860000003,10652.810824999999,531.0910304011858,604.4185107511059,93.92711181686748,-84.45992137134499,24188.749833333335,445916.57641000004,1743.487486879145,38.32664111111111,542.9511620000001,1316.641652541254,0.3912888888888889,41.334842,10463.765845070422,0.0,1.391125,,0.0,117.20844000000002,,89.7653111111111,735.423642,719.2737627675526,0.9999997508463728,0.889752035162639,-11.024774315235886,1.2875966666666665,17.426207999999995,1253.3902697273213
4,reference,39.09055200000001,41.704561999999996,6.687063411128058,22779.34741299593,21497.287142811445,-5.6281694419966115,24390.931566666666,446389.73751000006,1730.1463242185011,39.031337777777786,543.612544,1292.759190307594,0.39364333333333335,41.79363500000001,10517.132683562957,0.0,1.109209,,0.0,0.018111000000000002,,3.0256366666666668,3.029158,0.11638321851819011,0.9999990939402192,0.9952883622575653,-0.4710735950862244,1.2790422222222224,16.774302999999996,1211.4737503235924
