Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,cache_profile,run,source_file,blks_read_delta,blks_read_per_op,blks_hit_delta,blks_hit_per_op,tup_returned_delta,tup_returned_per_op,tup_fetched_delta,tup_fetched_per_op,tup_inserted_delta,tup_inserted_per_op,tup_updated_delta,tup_updated_per_op,buffers_alloc_delta,buffers_alloc_per_op,buffers_clean_delta,buffers_clean_per_op,buffers_backend_delta,buffers_backend_per_op,checkpoint_write_time_delta,checkpoint_write_time_per_op,checkpoint_sync_time_delta,checkpoint_sync_time_per_op,wal_bytes_delta,wal_bytes_per_op,wal_records_delta,wal_records_per_op,wal_fpi_delta,wal_fpi_per_op,wal_buffers_full_delta,wal_buffers_full_per_op,delta_cache_hit_ratio,cumulative_cache_hit_ratio,CPU,Memory
11,avg-run,10000,True,uniform,READ,33287,7705815,2470144,2419122,202412,5,0,0,4,385024,469,34597,372826697,444463988,5137476109,10084012261,890182140,137754762,18623981979353,21657814309,2878921957,59462520,1,0,0,0,0,10297,9711.566475672524,100000,98.00536,71,16655,133,200,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,30780.0,0.3078,77850.0,0.7785,52077.0,0.52077,52077.0,0.52077,4622.0,0.04622,0.0,0.0,2090270.0,20.9027,131171.0,1.31171,1568245.0,15.68245,248689.0,2.48689,29102.0,0.29102,4752572948.0,47525.72948,6825130.0,68.2513,800609.0,8.00609,13565.0,0.13565,0.7166528583264291,0.9956988549834335,,
12,avg-run,10000,True,uniform,READ,56661,7774387,2530825,2479803,206933,5,0,0,4,385024,469,34607,372836243,444601716,5139185592,10086272599,890429796,137805193,18629170654572,21665186769,2879881512,59479445,1,0,0,0,0,10283,9724.788485850431,100000,97.79335,73,19263,114,185,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,23374.0,0.23374,68572.0,0.68572,60681.0,0.60681,60681.0,0.60681,4521.0,0.04521,0.0,0.0,2260338.0,22.60338,137728.0,1.37728,1709483.0,17.09483,247656.0,2.47656,50431.0,0.50431,5188675219.0,51886.75219,7372460.0,73.7246,959555.0,9.59555,16925.0,0.16925,0.7457855697909642,0.9927645699528339,,
13,avg-run,10000,True,uniform,READ,127138,7667093,2514395,2463376,211088,5,0,0,4,385024,469,34618,372845531,444743647,5140999610,10088680608,890679346,137865747,18634725506720,21673054988,2880882289,59495407,1,0,0,0,0,12561,7961.149590000796,100000,120.72204,92,13751,153,235,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,70477.0,0.70477,-107294.0,-1.07294,-16430.0,-0.1643,-16427.0,-0.16427,4155.0,0.04155,0.0,0.0,2408009.0,24.08009,141931.0,1.41931,1814018.0,18.14018,249550.0,2.4955,60554.0,0.60554,5554852148.0,55548.52148,7868219.0,78.68219,1000777.0,10.00777,15962.0,0.15962,2.9142515685688677,0.9836881919460688,,
14,avg-run,10000,True,uniform,READ,170061,7820140,2608093,2557071,216083,5,0,0,4,385024,469,34630,372860185,444892008,5142976271,10091173191,890940935,137924656,18640873960603,21681552284,2882059962,59510903,1,0,0,0,0,11187,8938.946992044337,100000,106.90675,77,23727,136,222,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,42923.0,0.42923,153047.0,1.53047,93698.0,0.93698,93695.0,0.93695,4995.0,0.04995,0.0,0.0,2492583.0,24.92583,148361.0,1.48361,1976661.0,19.76661,261589.0,2.61589,58909.0,0.58909,6148453883.0,61484.53883,8497296.0,84.97296,1177673.0,11.77673,15496.0,0.15496,0.7809715772822371,0.9787163051342513,,
15,avg-run,10000,True,uniform,READ,303001,7771063,2683809,2632787,220793,5,0,0,4,385024,469,34642,372870691,445046931,5145080417,10093871635,891243329,137976858,18647353068012,21690586815,2883107736,59528498,1,0,0,0,0,11689,8555.051758063137,100000,112.18654,83,15375,132,227,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,132940.0,1.3294,-49077.0,-0.49077,75716.0,0.75716,75716.0,0.75716,4710.0,0.0471,0.0,0.0,2698444.0,26.98444,154923.0,1.54923,2104146.0,21.04146,302394.0,3.02394,52202.0,0.52202,6479107409.0,64791.07409,9034531.0,90.34531,1047774.0,10.47774,17595.0,0.17595,-0.5852044405757009,0.9624723063874648,,
16,avg-run,10000,True,uniform,READ,332109,7808238,2743303,2692281,225630,5,0,0,4,385024,469,34655,372883570,445203418,5147343310,10096680559,891552315,138030058,18654269993114,21700195594,2884258246,59546641,1,0,0,0,0,11921,8388.558006878618,100000,114.2252,88,17663,136,203,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,29108.0,0.29108,37175.0,0.37175,59494.0,0.59494,59494.0,0.59494,4837.0,0.04837,0.0,0.0,2808924.0,28.08924,156487.0,1.56487,2262893.0,22.62893,308986.0,3.08986,53200.0,0.532,6916925102.0,69169.25102,9608779.0,96.08779,1150510.0,11.5051,18143.0,0.18143,0.5608527073306881,0.9592021077234177,,
17,avg-run,10000,True,uniform,READ,349285,7846416,2780851,2729829,230695,5,0,0,4,385024,469,34669,372898526,445369384,5149876736,10099581204,891887159,138080459,18661689097773,21710494582,2885516752,59565893,1,0,0,0,0,12443,8036.647110825364,100000,119.74717,92,16023,137,241,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,17176.0,0.17176,38178.0,0.38178,37548.0,0.37548,37548.0,0.37548,5065.0,0.05065,0.0,0.0,2900645.0,29.00645,165966.0,1.65966,2533426.0,25.33426,334844.0,3.34844,50401.0,0.50401,7419104659.0,74191.04659,10298988.0,102.98988,1258506.0,12.58506,19252.0,0.19252,0.6897062542905662,0.9573819249872586,,
18,avg-run,10000,True,uniform,READ,355512,8306162,2963952,2912930,245980,5,0,0,4,385024,469,34683,372914433,445534175,5152346420,10102548573,892218321,138132618,18669351028922,21721122026,2886750791,59587085,1,0,0,0,0,12431,8044.405116241654,100000,119.66561,94,15743,139,207,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,6227.0,0.06227,459746.0,4.59746,183101.0,1.83101,183101.0,1.83101,15285.0,0.15285,0.0,0.0,2967369.0,29.67369,164791.0,1.64791,2469684.0,24.69684,331162.0,3.31162,52159.0,0.52159,7661931149.0,76619.31149,10627444.0,106.27444,1234039.0,12.34039,21192.0,0.21192,0.9866365647795043,0.9589557399643533,,
19,avg-run,10000,True,uniform,READ,502373,9708908,4216503,4165481,351538,5,0,0,4,385024,469,34698,372931759,445709212,5155186913,10105738234,892568656,138198313,18677412804817,21732573864,2888041769,59613216,1,0,0,0,0,13363,7483.349547257352,100000,128.9602,98,17375,147,232,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,146861.0,1.46861,1402746.0,14.02746,1252551.0,12.52551,1252551.0,12.52551,105558.0,1.05558,0.0,0.0,3189661.0,31.89661,175037.0,1.75037,2840493.0,28.40493,350335.0,3.50335,65695.0,0.65695,8061775895.0,80617.75895,11451838.0,114.51838,1290978.0,12.90978,26131.0,0.26131,0.905226938184972,0.9508021569477914,,
20,avg-run,10000,True,uniform,READ,523012,9702118,4344990,4293971,357193,5,0,0,4,385024,469,34714,372948675,445889230,5157939982,10109036452,892923386,138276208,18686068079069,21744714513,2889577953,59636421,1,0,0,0,0,14913,6705.55890833501,100000,144.06745,117,14775,167,265,100000,small_128MB,1,postgresql_arrayjson_vacuum_notfull_run1_zipfian_heavy_pure.csv,20639.0,0.20639,-6790.0,-0.0679,128487.0,1.28487,128490.0,1.2849,5655.0,0.05655,0.0,0.0,3298218.0,32.98218,180018.0,1.80018,2753069.0,27.53069,354730.0,3.5473,77895.0,0.77895,8655274252.0,86552.74252,12140649.0,121.40649,1536184.0,15.36184,23205.0,0.23205,-0.49028810744458085,0.9488503324652107,,
