scenario,phase,runs,AverageLatency(us)_first10_mean,AverageLatency(us)_last10_mean,AverageLatency(us)_change_pct_mean,Throughput(ops/sec)_first10_mean,Throughput(ops/sec)_last10_mean,Throughput(ops/sec)_change_pct_mean,wal_bytes_per_op_first10_mean,wal_bytes_per_op_last10_mean,wal_bytes_per_op_change_pct_mean,wal_records_per_op_first10_mean,wal_records_per_op_last10_mean,wal_records_per_op_change_pct_mean,buffers_alloc_per_op_first10_mean,buffers_alloc_per_op_last10_mean,buffers_alloc_per_op_change_pct_mean,buffers_clean_per_op_first10_mean,buffers_clean_per_op_last10_mean,buffers_clean_per_op_change_pct_mean,blks_read_per_op_first10_mean,blks_read_per_op_last10_mean,blks_read_per_op_change_pct_mean,blks_hit_per_op_first10_mean,blks_hit_per_op_last10_mean,blks_hit_per_op_change_pct_mean,cache_hit_ratio_first10_mean,cache_hit_ratio_last10_mean,cache_hit_ratio_change_pct_mean,checkpoint_write_time_per_op_first10_mean,checkpoint_write_time_per_op_last10_mean,checkpoint_write_time_per_op_change_pct_mean
vacuum_notfull_uniform_heavy_pure,avg-run,3,72.20398666666667,533.3939246666667,639.7091772583462,13908.10775642636,1865.2668926442404,-86.59683046783617,4090.2530133333335,60128.783860333344,1370.0948989908754,10.138553703703705,52.34904766666667,416.3422202233085,1.3834307407407407,48.77801333333333,2726.8728005706103,0.24803407407407405,0.95777,286.30922608173296,0.001495925925925926,0.33720833333333333,13827.978496710779,7.009552592592594,0.26628133333333337,-96.18946661782765,0.9997915351757705,0.8674356391732815,-13.239045434708743,0.029633333333333334,3.2966993333333328,11122.139669773036
vacuum_notfull_uniform_heavy_pure,clean-run,3,83.02788199999999,569.0970176666666,587.5728132939907,12727.699905075264,1766.161342601173,-86.1501511692717,3977.3446055555555,60012.797839,1408.9151823276816,9.961019999999998,52.104061333333334,423.08416240212017,1.3700137037037037,48.55078266666667,2750.780360722813,0.24803407407407407,0.959329,286.9557893902835,0.0014274074074074074,0.08195933333333333,3434.877698502442,2.8711955555555555,0.15119033333333334,-94.70592344741806,0.9995108643761713,0.8691662552594209,-13.042389550571697,0.029633333333333334,3.2998196666666666,11130.12219524935
vacuum_notfull_uniform_heavy_pure,extend,3,1317.2473083333332,1956.4119943333333,48.647721706291826,754.9338600847785,511.58260298067154,-32.174236807297625,3820.449208518518,59780.15487033333,1464.7966611356512,9.751251851851853,51.915324999999996,432.40507686761356,1.0914155555555556,48.31131500000001,3420.9685367292873,0.24532148148148147,0.9532803333333334,288.7599793520775,0.9606314814814816,30.443317000000004,3081.2368522301203,50.625815555555555,96.813551,90.47280199316178,0.9945339026511076,0.8226702600673031,-17.328426913548977,0.0013685185185185183,3.301307333333334,268015.2449787606
vacuum_notfull_uniform_heavy_pure,reference,3,36.522443333333335,36.53093500000001,0.024872385565644084,24447.100073280304,24482.519676804226,0.1451907516104689,3860.1884614814808,59901.56522066667,1451.834296166788,9.787820370370369,51.99460766666667,431.22112288316947,1.3306337037037037,48.43945133333333,2836.192595668735,0.2470314814814815,0.952886,285.9067132886761,0.01066148148148148,0.012990666666666666,21.846731049815883,3.0144414814814815,3.015716,0.04214975912639011,0.9980312195280151,0.9959819701667817,-0.20553190068183236,0.0013685185185185183,3.275452,265287.67673050734
vacuum_notfull_uniform_heavy_pure,run,3,84.53925,634.5320683333333,657.9563711674572,12496.209006809497,1567.4873259791996,-87.42029037247056,3860.188597407408,59901.56522066667,1451.8342413648681,9.787821481481481,51.99460766666667,431.22106257714046,1.3280225925925926,48.439806999999995,2841.5133808894116,0.24703074074074075,0.952886,285.90787179738913,1.217228888888889,30.617801333333333,2422.1853112457557,54.116602222222234,96.89872333333334,78.27197276546052,0.9935578824875849,0.8215570277849716,-17.367894701998807,0.0013685185185185183,3.275452,265287.67673050734
vacuum_notfull_zipfian_heavy_pure,avg-run,3,72.35823033333332,529.2577093333333,631.7569144504421,13866.200389346777,1883.1718307428534,-86.42542654777645,24553.49913666667,446568.8031683333,1718.7585373608151,39.25652111111111,545.3199503333334,1289.1524733867357,7.465756296296296,96.38747433333333,3990.2671090627427,0.5984907407407407,4.545527666666667,604.6880899610214,0.0014555555555555556,0.37076766666666666,16212.780800465785,7.004353703703703,0.29535133333333335,-95.78341282828507,0.9998452803629707,0.8656124206830283,-13.425670680993077,1.4629940740740741,16.074055333333334,999.945315813272
vacuum_notfull_zipfian_heavy_pure,clean-run,3,75.94282433333332,775.8952366666667,948.8492093422528,13440.832498825512,1360.7572998562878,-89.72426978060984,24440.548288148148,446455.930367,1726.7019989766652,39.078933703703704,545.1290203333333,1294.9766406387046,7.4524159259259255,96.16496733333334,4097.032327064967,0.5984892592592592,4.546365333333333,604.822841106786,0.0013892592592592594,0.179522,8157.13753387534,2.8851951851851845,0.2310536666666667,-91.99185452810217,0.9996179542335475,0.8631217660316418,-13.65547579567496,1.4629940740740741,16.064088333333334,999.2146196309055
vacuum_notfull_zipfian_heavy_pure,extend,3,1785.886939,11694.312156,554.3307549841453,578.9158664729177,85.85945671832194,-85.17823009877047,24192.758530370367,446236.8956066666,1744.520613090065,38.254197777777776,543.746905,1321.5520391645266,6.63103925925926,95.91972266666666,4308.90787890228,0.5954888888888888,4.545434333333334,605.9759961563065,9.426114814814815,168.66166866666666,1264.0920559110655,81.23161962962963,680.4435513333333,740.0237506031008,0.9395196145962436,0.8169709650903978,-13.115113657946095,1.4026807407407407,15.909995666666665,1035.608289058514
vacuum_notfull_zipfian_heavy_pure,reference,3,37.17484966666666,44.198022333333334,18.871515136281634,24073.225865344662,20423.821298104114,-15.126928757090345,24321.80121037037,446338.8591276666,1735.1392521093148,38.88240851851851,544.9247673333334,1301.5024595643877,7.371228518518518,96.04469033333332,4227.315718414102,0.5978477777777779,4.535761999999999,603.4975335210997,0.012150370370370372,0.023599,44.530342185934344,3.01383037037037,3.0271329999999996,0.44186592606972513,0.9964947745635033,0.9936184334787249,-0.2883166102298884,1.4026807407407407,16.059297666666666,1046.179651303439
vacuum_notfull_zipfian_heavy_pure,run,3,96.70589399999999,1081.623252333333,1062.1012032667988,11267.03887596187,1003.0396051002175,-90.8543342352542,24321.801324814816,446338.8591276666,1735.139243470109,38.88240925925926,544.9247673333334,1301.5024327103135,7.368514444444446,96.04655833333334,4227.615899967034,0.5980296296296296,4.535761999999999,603.2797460644656,10.628031851851853,170.00957133333335,1117.4968357033913,84.58054148148149,681.7196513333332,708.6482686712208,0.9335769822695844,0.8154297471848446,-12.715261688717641,1.4026807407407407,16.059297666666666,1046.179651303439
