run,phase,metric,first10_mean,last10_mean,change_pct
4,reference,write_mib_sum,0.0,0.0,
5,reference,write_mib_sum,0.0,0.0,
6,reference,write_mib_sum,0.0,0.0,
4,run,95thPercentileLatency(us),118.2,1752.4,1382.5719120135363
5,run,95thPercentileLatency(us),103.0,1561.9,1416.4077669902915
6,run,95thPercentileLatency(us),306.2,1386.6,352.8412802090137
4,run,99thPercentileLatency(us),251.5,5884.4,2239.7216699801193
5,run,99thPercentileLatency(us),222.1,5492.9,2373.165240882485
6,run,99thPercentileLatency(us),499.1,4999.8,901.7631737126827
4,run,AverageLatency(us),83.06912400000002,709.9614570000001,754.6634691850128
5,run,AverageLatency(us),75.072027,642.088487,755.2965900334619
6,run,AverageLatency(us),105.28098299999999,756.81953,618.8568233638168
4,run,Throughput(ops/sec),12017.644943337602,1427.808648984586,-88.11906446132657
5,run,Throughput(ops/sec),13422.614880578089,1586.1687176526352,-88.18286353467721
6,run,Throughput(ops/sec),10355.7387736552,1323.983419618249,-87.21497858765579
4,run,cpu_mean,62.808643939393946,52.352802261188955,-16.647138072737512
5,run,cpu_mean,63.92886507936508,50.644933701657756,-20.779238550873487
6,run,cpu_mean,55.08133033633034,56.40128018678574,2.396365233729284
4,run,mem_mib_mean,711.8916586202425,3186.7244791012286,347.641778143264
5,run,mem_mib_mean,720.456943204365,3205.9490518437983,344.98829278884443
6,run,mem_mib_mean,703.8222084263394,3252.0017145018273,362.0487497507228
4,run,read_mib_sum,0.0,0.0,
5,run,read_mib_sum,0.0,0.0,
6,run,read_mib_sum,0.0,0.0,
4,run,write_mib_sum,0.0,0.0,
5,run,write_mib_sum,0.0,0.0,
6,run,write_mib_sum,0.0,0.0,
