cache_profile,run,phase,window,n,p95_us_mean,p99_us_mean,avg_us_mean,throughput_mean,blks_read_per_op_mean,blks_hit_per_op_mean,delta_cache_hit_ratio_mean,cum_cache_hit_ratio_mean,wal_bytes_per_op_mean,buffers_alloc_per_op_mean,checkpoint_write_time_per_op_mean,tup_inserted_per_op_mean,tup_updated_per_op_mean,tup_fetched_per_op_mean,tup_returned_per_op_mean,first_epoch_p95_gt_1000us,first_epoch_p95_gt_2000us
big_4GB,3,avg-run,early_1_10,10,156.2,343.2,80.514706,12837.226553035254,-0.00017888888888888889,7.0044377777777775,1.000096277265608,0.9998910519479969,24548.813144444444,0.41518777777777777,1.4302122222222222,0.1790688888888889,0.0,2.1897522222222228,2.1897522222222228,,
big_4GB,3,avg-run,mid_45_55,11,503.45454545454544,593.4545454545455,354.5534418181818,2774.7048171651477,0.0,0.41259818181818186,1.0,0.9999959913604273,220409.6237072727,21.61485181818182,8.088946363636364,0.04977363636363637,0.0,0.5176409090909092,0.5184354545454546,,
big_4GB,3,avg-run,late_91_100,10,719.6,824.8,592.0326339999999,1669.7119504831553,0.0,0.515559,1.0,0.9999966900237715,445972.32204299996,41.594952,17.515348,0.15311199999999997,0.0,1.727513,1.727513,,
big_4GB,3,avg-run,all_1_100,100,501.31,609.47,346.4351552,4086.284932515837,-4.212121212121212e-05,1.5787294949494945,1.0000088688103397,0.9999845105980673,230937.63878323228,20.90735515151515,8.926734545454545,0.1172420202020202,2.222222222222222e-06,1.4004303030303031,1.4006952525252527,,
big_4GB,3,clean-run,early_1_10,10,217.6,432.8,87.33469899999999,12164.776801357913,-0.00017888888888888889,2.879778888888888,1.0001251795983876,0.9997114811932862,24435.73367777778,0.40196000000000004,1.4302122222222222,0.09018,0.0,0.9416588888888889,0.9416588888888887,,
big_4GB,3,clean-run,mid_45_55,11,672.1818181818181,1011.7272727272727,375.05295181818184,2633.6637838517813,0.0,0.1674972727272727,1.0,0.9999910298408318,220308.90679272727,21.607274545454548,8.06670181818182,0.04976181818181818,0.0,0.41793363636363634,0.41793090909090913,,
big_4GB,3,clean-run,late_91_100,10,895.3,1615.6,603.8552310000001,1640.768631367538,0.0,0.23172100000000007,1.0,0.9999927684343539,445858.498231,41.569675000000004,17.500149000000004,0.053112000000000006,0.0,0.42125900000000005,0.42125900000000005,,
big_4GB,3,clean-run,all_1_100,100,640.8,1026.71,367.8432877,3804.4521183697298,-4.212121212121212e-05,0.7014335353535355,0.9999142404986783,0.9999607672442646,230828.8977571717,20.89229313131313,8.915661212121213,0.05764575757575757,0.0,0.5699817171717171,0.570069494949495,,
big_4GB,3,extend,early_1_10,10,4286.7,6964.0,1727.0768469999998,591.1466404791774,0.0,90.7800788888889,1.0,0.9999997491594346,24252.071997777777,0.38792888888888893,1.370771111111111,8.345593333333333,1.0004155555555556,26.563215555555555,27.328087777777778,1.0,2.0
big_4GB,3,extend,mid_45_55,11,25037.545454545456,51664.454545454544,5419.310298181819,184.52036139942717,51.52420363636364,426.0950818181818,0.8921570063585151,0.936240958169373,219979.71535272727,21.55912181818182,7.952475454545455,71.25749818181818,1.0011000000000003,181.63293363636365,182.38966181818182,1.0,2.0
big_4GB,3,extend,late_91_100,10,53154.2,105375.0,10774.117973,92.87687750889883,120.25898900000001,726.0584889999999,0.8578163177900182,0.8910253515862024,445622.047897,41.515397,17.358289,135.991801,1.002145,339.48901800000004,340.417843,1.0,2.0
big_4GB,3,extend,all_1_100,100,26975.93,53027.66,5783.163058400001,240.31250889079107,53.66710484848485,426.9536763636364,0.9125077351040404,0.9433746066235612,230540.8936744445,20.855001414141416,8.829845858585857,72.78968252525254,1.0012033333333332,184.85885959595956,185.6571765656566,1.0,2.0
