Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK
10,run,10000,true,uniform,READ,1898477,67028552,17054670,16367441,628824,1000194,537079,0,0,0,169,788,2335805,10744050,82862920,443890701,21662091,1396689,307654987272,312058328,37617656,3805120,1,0,0,0,0,8346,11981.787682722263,99971,78.65492992967961,43,14375,102,185,99971,29
10,reference,10000,true,uniform,READ,14376,3050446,1229117,1013259,10181,12,62,0,0,0,169,788,2335805,10745079,82870016,443892592,21662091,1396689,307654987272,312058328,37617656,3805120,1,0,0,0,0,4074,24545.900834560627,100000,36.21411,18,13535,50,91,100000
10,clean-run,10000,true,uniform,READ,1453,3133832,915598,905509,90486,1,0,0,4,385024,169,789,2346208,10745957,82886040,443941524,21662339,1396740,307787362878,312287232,37618830,3818219,1,0,0,0,0,6547,15274.171376202841,99963,60.7868911497254,38,14479,85,152,99963,37
10,avg-run,10000,true,uniform,READ,1551,6665698,1948155,1907133,190499,5,0,0,4,385024,169,789,2346208,10745957,82901948,443956508,21662339,1396740,307913524324,312504328,37618834,3818219,1,0,0,0,0,6682,14965.579167913798,100000,61.99502,40,14151,76,113,100000
11,extend,10000,true,uniform,EXTEND,2387016,72563112,18382654,17639536,715834,1100204,621107,0,0,0,169,790,2347140,10815229,83047323,444328021,21662339,1396740,308335200995,313258829,37664286,3818219,0,0,0,0,1,143269,697.9877014567003,99977,1424.8892145193395,389,33791,2035,2247,99977,23
11,run,10000,true,uniform,READ,2708761,75859706,19348449,18593768,715834,1100204,621107,0,0,0,169,790,2347140,10816559,83057321,444643563,21662339,1396740,308335498465,313261413,37664341,3818219,1,0,0,0,0,8577,11659.088259298123,99968,80.97896326824583,43,13487,103,200,99968,32
11,reference,10000,true,uniform,READ,16174,3351221,1353057,1114531,10181,12,62,0,0,0,169,790,2347140,10818161,83063352,444661848,21662339,1396740,308335498465,313261413,37664341,3818219,1,0,0,0,0,4213,23736.055067647758,100000,37.6746,22,12559,50,88,100000
11,clean-run,10000,true,uniform,READ,6325,3281897,960945,949979,93762,1,0,0,4,385024,169,791,2354590,10822857,83103664,444720409,21699407,1397246,308569324331,313516573,37684361,3819257,1,0,0,0,0,7037,14210.601108426887,99972,65.59458648421558,42,13303,85,148,99972,28
11,avg-run,10000,true,uniform,READ,17961,6793701,1994708,1953686,193762,5,0,0,4,385024,169,791,2354590,10826668,83125060,444749220,21699407,1397246,308705067864,313726928,37684363,3819257,1,0,0,0,0,6686,14956.625785222854,100000,62.07799,41,14431,78,124,100000
12,extend,10000,true,uniform,EXTEND,3259367,81297863,20692920,19893401,807525,1200214,708720,0,0,0,169,792,2355384,10899268,83293825,445189404,21699407,1397246,309091949915,314469887,37721406,3819257,0,0,0,0,1,147920,676.0411032990805,99977,1471.7646658731508,403,27519,2046,2273,99977,23
