Key,Run1
user7235266233871621904,2400
user2051012806702735952,1700
user648613908031635269,2000
user7817899264014751554,1900
user4409483866403788022,2000
user1116266861092715646,1800
user180742639752713009,2000
user5118272549280380333,1800
user5007637008923300176,2200
user8421080233847829954,1900
user5570965350477218654,2500
user7923848622352564030,1900
user5686287072853566492,2100
user8507383258302132693,1600
user1337537941806875960,1900
user3127092872128302858,1400
user1353058054183258464,2000
user2996251037375572516,2000
user764837236214422120,1900
user8502137115770724564,1800
user2176826814141900048,1800
user3459217808417385212,1900
user8868868537807558711,1900
user5917490478118402616,2500
user6184078644860972864,2100
user3936243125517000951,2000
user5219194080304626563,1800
user421878369568224943,1900
user6168558532484590360,1800
user7576763534199239620,1800
user5103312397416138277,2000
user3343336125528896926,1800
user1579233632134528342,2100
user1357744236202526145,1600
user2991564855356304835,2300
user1005631320735635489,2000
user8517097267634966620,2200
user4871890676933460270,2800
user5233812586874570054,2200
user5912804296099134935,2400
user4765941318595647794,2500
user3599991967720791364,1800
user2287803999793278770,2100
user6395075755730158803,2200
user869884988745795583,1900
user6173586359798156606,1800
user1578673671622387894,1600
user8396187757432912088,2700
user4389837532520278285,2200
user296624322641201295,2300
user7219746121495239400,2000
user5455083667588730368,2000
user4414170048423055703,1600
user4530051731311543989,1900
user3454531626398117531,1900
user9114690449642338326,1800
user8743832806098376946,1600
user7466127993842159463,1800
user4886509183503403761,2600
user7803280757444808063,2500
user1000385178204227360,2300
user3931898588792031835,1700
user4409702181621629905,2000
user2041640442664200590,2300
user6978610391679727466,2100
user5364654421627300396,2500
user1925758759775712304,2000
user5933010590494785120,2000
user5002390866391892047,1800
user2876024817762115114,1400
user6973924209660459785,2200
user4409142221109489457,2000
user4525023903997977743,2100
user1015345330068469416,1700
user3353268450079572736,2100
user754563266369447745,1700
user3715313690097139202,2200
user1236616410782629730,2300
user8536961916736318240,2500
user991012814165691998,1700
user633995401461691778,1900
user6988542716230403276,2300
user5103872357928278725,2200
user1463133634028198173,2200
user181302600264853457,1600
user6400663543555865497,2600
user8516755622340668055,1700
user417192187548957262,2000
user70667059907773300,1800
user4515091579447301933,2000
user5324583478130298591,1900
user5566279168457950973,1800
user3710627508077871521,2100
user6062950819441076449,2100
user2861064665897873058,2700
user427124512099633072,2300
user6993788858761811405,2600
user291378180109793166,1800
user6761807177766992950,2300
user1840015695833550013,1800
user8049444314573886243,1700
user8878800862358234521,1700
user190115003791248371,1800
user406918217703982887,1900
user2172140632122632367,2100
user5942382954533320482,1800
user4776433603658464052,1700
user407478178216123335,2200
user8869086853025400594,1700
user5831747414176240325,1800
user4630973262335790219,1500
user6737474661864215532,2400
user9100290258290236718,1800
user60393090062798925,2200
user5797482573722787097,2200
user7345901774228702061,2200
user7099738217099623881,1700
user3233260545683957217,1700
user2629861260633036934,2200
user8059376639124562053,2100
user6053018494890400639,1900
user3815675260609244984,2000
user5218634119792486115,1900
user894777465160713449,1700
user7581791361512805866,2200
user890091283141445768,2000
user75353241927040981,1400
user1352498093671118016,2300
user4736362660161462247,1700
user4302974547553835098,2200
user9115468725372320657,2100
user3464463950948793341,1800
user7682152932024911648,2100
user5475289961984380553,2500
user1246548735333305540,2200
user8999928687778130936,1900
user658327917364469196,2200
user5822033404843406398,2600
user6299400367237320702,2200
user884285180097897191,2100
user5947069136552588163,2300
user3931556943497733270,1900
user8874114680338966840,1800
user7577105179493538185,1900
user1361870457709653378,2300
user1482998283129549793,1800
user8276179853037296569,1700
user7123510772490260851,1800
user5802168755742054778,2300
user171028630419879082,2100
user6877907175873323119,1700
user3820703087922811230,1600
user5464797676921564295,2100
user4278642031651057680,2000
user2423550331783118676,2000
user4539424095350079351,1600
user5108558539947546406,2000
user8637665132542722587,2000
user4761255136576380113,1800
user1473284273796715866,1700
user9004614869797398617,1900
user2982192491317769473,1800
user7460663536092909451,2100
user70107099395632852,2100
user9100071943072394835,1900
user4746854945224278505,2000
user8637323487248424022,1900
user3117720508089767496,2200
user663574059895877325,2500
user2422990371270978228,1900
user7325695479833051876,2200
user3820921403140653113,1900
user7697673044401294152,1600
user7354714177755096975,1900
user4047438626386221556,1600
user5213947937773218434,2600
user6154499986426787317,2600
user879598998078629510,2100
user7229678446045915210,1600
user6506271256599379408,1900
user1125980870425549573,1800
user6163872350465322679,2100
user7350587956247969742,2500
user1799944752336548208,2300
user663014099383736877,2000
user8752645209624771860,1800
user4303534508065975546,2200
user3097514213694117311,2200
user4881823001484136080,2000
user2876243132979956997,2000
user9125182734705154584,2100
user2654753737047954800,1900
user4655305778238567637,1900
user4042192483854813427,1500
user4997922999590466249,1800
user5937696772514052801,2200
user880377273808611841,1900
user8029797980690376506,2200
user8174698361500909891,1600
user874912816059361829,2000
user4640905586886466029,2000
user6521231408463621464,2100
user8521783449654234301,2400
user2509293395725280967,2100
user6068196961972484578,1600
user3469150132968061022,2200
user6178832502329564735,2100
user6063510779953216897,2300
user7330941622364460005,2500
user1574547450115260661,2400
user7828173233859725929,2300
user1473065958578873983,1800
user8753546815431210873,1800
user6279754033353810965,2100
user5927982763181218874,2500
user1950091275678489722,2000
user4630413301823649771,2500
user6530603772502156826,2100
user4891195365522671442,1600
user643367765500227140,1500
user5329829620661706720,1800
user5581239320322193029,2100
user2774761641443570319,2000
user1458105806714631927,1800
user2172482277416930932,1800
user4168006491293977523,1700
user2533625911628058385,2200
user5474730001472240105,2000
user7118824590470993170,2000
user7446263344740807843,1900
user5214507898285358882,2300
user744630941818771935,2300
user1000726823498525925,1700
user296842637859043178,1900
user2417744228739570099,1700
user6993570543543969522,2600
user2061286776547710327,2400
user3921624618947057460,1600
user3232700585171816769,2300
user6410035907594400859,1500
user518113718573203492,1900
user166342448400611401,1600
user7687959035068460225,2000
user301870465172609424,2000
user7948741098767481896,2200
user1467819816047465854,1800
user8048884354061745795,1700
user2634547442652304615,2100
user2191786966006142104,2200
user2644821412497278990,2100
user8145119703066724344,1800
user5329269660149566272,2300
user8994122584734582359,1700
user2745182983009384772,2200
user1106334536542039836,2300
user2282216211967572076,2300
user4635659444355057900,1800
user4419416190954463832,1900
user4982744532508382310,2200
user3011211189239814572,3000
user5575651532496486335,2000
user7711731590459097195,2400
user8160298170148808283,1800
user3001497179906980645,1700
user6873002678636213555,2600
user2865750847917140739,1800
user1116048545874873763,1900
user7234706273359481456,1900
user6747406986414891342,2200
user5811541119780590140,2100
user2740496800990117091,2100
user749317123838039616,1900
user2393971673348933129,2100
user8622704980678480531,2000
user8748518988117644627,1900
user5243526596207403981,1700
user2519225720275956777,2400
user4650619596219299956,2200
user2986878673337037154,1600
user4177720500626811450,1900
user8984408575401748432,1600
user2056600594528442646,2400
user4505159254896626123,2400
user4876795174170569834,1500
user8632418990011314458,2200
user6646485455390645112,2000
user1352156448376819451,1900
user7360520280798645552,1700
user4972812207957706500,1500
user6636553130839969302,2100
user990234538435709667,2300
user8753205170136912308,2100
user1819809401437899828,1700
user1588947641467362269,1900
user7566831209648563810,2200
user537760052456713229,1800
user1699583181824442426,1400
user6878248821167621684,2400
user185988782284121138,1800
user2292490181812546451,2200
user3362982459412406663,1800
user1578455356404546011,2300
user527827727906037419,1900
user2156962165040548428,2200
user8405901766765746015,2400
user7224773948808805646,2000
user8618018798659212850,1900
user990452853653551550,2100
user1005413005517793606,2300
user3328717618958953435,1600
user7089245932036807623,1800
user7104424399118891562,2100
user8415834091316421825,1900
user7832859415878993610,1900
user4520119406760868179,1800
user6535289954521424507,2300
user3102200395713384992,1900
user2167454450103364686,2100
user311242829211144786,1900
user4978058350489114629,2200
user6280313993865951413,1600
user2282776172479712524,2200
user7923630307134722147,2100
user5364094461115159948,2000
user7104206083901049679,1500
user1468598091777448185,2100
user4640687271668624146,1900
user4403896078578081328,2400
user1462791988733899608,1600
user4163320309274709842,1900
user4756568954557112432,1500
user3584471855344408860,2600
user7813213081995483873,1600
user7934122592197538405,2000
user5122958731299648014,2700
user6656417779941320922,1900
user8511851125103558491,1600
user8999368727265990488,1900
user6882935003186889365,2400
user5450397485569462687,1800
user5711179549268484358,1700
user1941278872152094808,1700
user5715865731287752039,1900
user1372362742772469636,2300
user1362430418221793826,2200
user9105318085603802964,2600
user6887621185206157046,2000
user3821263048434951678,1700
user3227454442640408640,2000
user306556647191877105,2600
user4404797684384520341,1900
user3931338628279891387,2000
user7586477543532073547,1800
user6767053320298401079,1500
user8512069440321400374,2300
user4057370950936897366,2500
user4525365549292276308,1600
user3117160547577627048,1700
user7942934995723933319,2100
user6169460138291029373,2400
user6405568040792975061,2100
user532732225143146983,1800
user3700353538232897146,2100
user2307108688382489942,2200
user9220858123197992685,2100
user6048332312871132958,2200
user417410502766799145,1600
user7943494956236073767,1800
user3233042230466115334,2300
user3218082078601873278,2200
user3011771149751955020,1900
user5691533215384974621,2500
user9119936592173746455,2200
user528046043123879302,1700
user3719999872116406883,1700
user2870437029936408420,1900
user3816016905903543549,2100
user3700135223015055263,2500
user7471155821155725709,1800
user7224992264026647529,2100
user5580679359810052581,2700
user4298848326046707865,2200
user7239392455378749137,2400
user6511517399130787537,2000
user4294162144027440184,2300
user5696219397404242302,2500
user4997704684372624366,2000
user3710067547565731073,1800
user9221418083710133133,2200
user6188764826880240545,1800
user1251794877864713669,1700
user6983296573698995147,2500
user4182406682646079131,2000
user1347251951139709887,2400
user3826167545672061242,2000
user6872661033341914990,1900
user9119376631661606007,2500
user6279535718135969082,1900
user2272843847929036714,1900
user773649639740817034,2400
user513427536553935811,1700
user8155052027617400154,1600
user8170230494699484093,1900
user4192898967708895389,1900
user7812994766777641990,3000
user6968678067129051656,2100
user7109452226432457808,1600
user6516203581150055218,2200
user6626839121507135375,2200
user6873220993854055438,2200
user638681583480959459,2000
user6525917590482889145,2100
user1835329513814282332,2300
user1704269363843710107,1900
user2880929314999224678,2100
user2171580671610491919,2300
user3237728412485383015,1700
user6647045415902785560,1800
user8854468346455457103,2000
user648395592813793386,1900
user4298288365534567417,2800
user3932116904009873718,2400
user7697331399106995587,2200
user4876576858952727951,2200
user6867756536104805426,2200
user8758232997450478554,1700
user865198806726527902,2000
user8989436402715314678,1800
user759249448388715426,1700
user6988884361524701841,2000
user2649507594516546671,2200
user5802728716254195226,2500
user8391501575413644407,2500
user4288574356201733490,1800
user5349475954545216457,2100
user4751541127243546186,2000
user3806302896570709622,1900
user7591723686063481676,1900
user1709515506375118236,2600
user2046326624683468271,2400
user3579785673325141179,2000
user6274507890822402836,1900
user8632637305229156341,2300
user5561033025926542844,2300
user8864400671006132913,2000
user8989654717933156561,1900
user2644261451985138542,2000
user6762585453496975281,2000
user2528939729608790704,2600
user3936803086029141399,2200
user4042752444366953875,2000
user8034484162709644187,1700
user1955337418209897851,2100
user8305758511471482116,1500
user3714753729584998754,2200
user2639575269965870861,2200
user5812101080292730588,1700
user8853908385943316655,2000
user5821815089625564515,2100
user6294714185218053021,1700
user3821481363652793561,2300
user1950651236190630170,2200
user778895782272225163,2300
user4625727119804382090,2700
user2297736324343954580,1900
user5228908089637460490,2500
user5696779357916382750,2100
user6651731597922053241,1800
user2061505091765552210,1800
user8285893862370130496,1900
user6385703391691623441,1900
user6284781860667377211,1900
user6520889763169322899,2400
user185428821771980690,2700
user4283669858964623926,2200
user3333403800978221116,2400
user7094492074568215752,2200
user8396529402727210653,2300
user8637883447760564470,2600
user7919162440333296349,1900
user7455977354073641770,1700
user1689309211979468051,2100
user3565167166755197688,1700
user6285000175885219094,2400
user176616418245585776,2200
user884845140610037639,2400
user6641457628077078866,2200
user3956449419912651136,2100
user995698996184959679,3100
user3464245635730951458,2300
user6772299462829809208,2200
user7576203573687099172,2400
user4515651539959442381,2100
user6289686357904486775,1800
user190674964303388819,2700
user1231588583469063484,2100
user1935472769108546231,1800
user5113244721966814087,1700
user6405349725575133178,1800
user6757680956259865717,1400
user1940718911639954360,2300
user3358296277393138982,2100
user5580337714515754016,2100
user3458657847905244764,1800
user1824837228751466074,2000
user763935630407983107,2000
user7798594575425540382,2300
user2780007783974978448,2500
user9110004267623070645,2300
user3121846729596894729,2100
user6622152939487867694,1700
user2644479767202980425,1800
user5470603779965112872,1700
user1568741347071712084,2300
user4413610087910915255,1800
user1588605996173063704,1900
user7461441811822891782,1700
user5465015992139406178,2100
user1487684465148817474,2300
user8270373749993747992,2200
user6284440215373078646,2000
user3338649943509629245,2200
user8064062821143829734,2100
user402791996196855654,2800
user4635099483842917452,1900
user2523911902295224458,2300
user6742720804395623661,1800
user175714812439146763,2700
user2534185872140198833,2100
user2890643324332058605,1900
user8758451312668320437,2600
user8733340521035560688,2400
