database,run,scenario,requestdist_file,intensity,variant,Phase,Operation,rows,total_operations,mean_throughput_ops_sec,mean_latency_us,p95_latency_us,p99_latency_us
postgresql,1,uniform_light,uniform,light,base,load,INSERT,1,1000.0,535.3319057815846,1358.048,1718.0,1841.0
postgresql,1,uniform_light,uniform,light,base,run,READ,100,10000000.0,7883.991297708237,149.6395618,184.89,280.59
postgresql,1,uniform_light_mixed,uniform,light,mixed,extend,EXTEND,100,1000000.0,639.3392133683242,1544.23479,1952.39,2519.83
postgresql,1,uniform_light_mixed,uniform,light,mixed,load,INSERT,1,1000.0,582.0721769499418,1411.642,1681.0,1810.0
postgresql,1,uniform_light_mixed,uniform,light,mixed,run,READ,100,4999757.0,1349.4808722950538,248.25902958883802,449.33359721282454,542.1760143542976
postgresql,1,uniform_light_mixed,uniform,light,mixed,run,UPDATE,100,5000243.0,1349.617144265969,1248.920582059712,1453.494647160148,2539.38751296687
postgresql,1,zipfian_heavy,zipfian,heavy,base,extend,EXTEND,100,10000000.0,178.24691689787215,7813.1830818,33376.76,58767.7
postgresql,1,zipfian_heavy,zipfian,heavy,base,load,INSERT,1,10000.0,748.9514679448772,1278.3682,1628.0,1735.0
postgresql,1,zipfian_heavy,zipfian,heavy,base,run,READ,100,10000000.0,4492.4140447745185,603.378663,2014.51,4629.81
postgresql,1,zipfian_heavy_mixed,zipfian,heavy,mixed,extend,EXTEND,100,10000000.0,468.8421910628627,2174.4489727,4039.86,10498.34
postgresql,1,zipfian_heavy_mixed,zipfian,heavy,mixed,load,INSERT,1,10000.0,790.0142202559646,1225.7917,1588.0,1700.0
postgresql,1,zipfian_heavy_mixed,zipfian,heavy,mixed,run,READ,100,5002101.0,1004.2466294611329,309.08993340998114,609.6498901161732,731.5017255749134
postgresql,1,zipfian_heavy_mixed,zipfian,heavy,mixed,run,UPDATE,100,4997899.0,1004.3005496593005,1725.472724438809,2437.814302169772,9532.822070233913
postgresql,1,zipfian_light,zipfian,light,base,extend,EXTEND,100,1000000.0,517.0203499411289,1976.16986,4643.95,7630.7
postgresql,1,zipfian_light,zipfian,light,base,load,INSERT,1,1000.0,621.8905472636816,1321.552,1630.0,1759.0
postgresql,1,zipfian_light,zipfian,light,base,run,READ,100,10000000.0,9256.917503257482,124.3650448,176.69,444.87
postgresql,1,zipfian_light_mixed,zipfian,light,mixed,extend,EXTEND,100,1000000.0,638.9524522166689,1548.339917,1970.14,2554.9
postgresql,1,zipfian_light_mixed,zipfian,light,mixed,load,INSERT,1,1000.0,575.0431282346176,1414.811,1734.0,1832.0
postgresql,1,zipfian_light_mixed,zipfian,light,mixed,run,READ,100,4999794.0,1321.1553614773275,251.91793541893927,469.65208866605303,563.5862733544622
postgresql,1,zipfian_light_mixed,zipfian,light,mixed,run,UPDATE,100,5000206.0,1321.2671825370921,1287.0144468047915,1524.0595749455122,2526.714614157897
postgresql,2,uniform_heavy,uniform,heavy,base,extend,EXTEND,100,10000000.0,685.0219407163082,1466.9699312,1872.1,2220.55
postgresql,2,uniform_heavy,uniform,heavy,base,load,INSERT,1,10000.0,750.1312729727703,1263.1196,1513.0,1593.0
postgresql,2,uniform_heavy,uniform,heavy,base,run,READ,100,10000000.0,7860.771101741599,151.9495686,179.5,255.78
postgresql,2,uniform_heavy_mixed,uniform,heavy,mixed,extend,EXTEND,89,8900000.0,589.9390022941167,1738.2879214606742,2179.5393258426966,8202.865168539325
postgresql,2,uniform_heavy_mixed,uniform,heavy,mixed,load,INSERT,1,10000.0,750.0750075007501,1261.914,1633.0,1753.0
postgresql,2,uniform_heavy_mixed,uniform,heavy,mixed,run,READ,89,4450771.0,1158.87356652117,262.46709345414536,466.6756173256274,576.4729128953163
postgresql,2,uniform_heavy_mixed,uniform,heavy,mixed,run,UPDATE,89,4449229.0,1158.7512678202281,1513.9784122147905,1889.069887614236,8698.280578724987
postgresql,2,uniform_light,uniform,light,base,extend,EXTEND,100,1000000.0,633.7242372332183,1546.581149,1937.12,2557.56
postgresql,2,uniform_light,uniform,light,base,load,INSERT,1,1000.0,579.7101449275362,1432.218,1724.0,1912.0
postgresql,2,uniform_light,uniform,light,base,run,READ,100,10000000.0,7145.430924130469,185.4484015,346.76,427.21
postgresql,2,zipfian_heavy_mixed,zipfian,heavy,mixed,extend,EXTEND,83,8300000.0,505.6108852823259,2018.0822437349398,3754.6867469879517,9551.77108433735
postgresql,2,zipfian_heavy_mixed,zipfian,heavy,mixed,load,INSERT,1,10000.0,774.4133818632386,1233.0375,1591.0,1683.0
postgresql,2,zipfian_heavy_mixed,zipfian,heavy,mixed,run,READ,83,4150767.0,1087.0541219268296,274.6760926354093,579.5157323935553,706.5022859630521
postgresql,2,zipfian_heavy_mixed,zipfian,heavy,mixed,run,UPDATE,83,4149233.0,1087.0224966621477,1605.1098841641335,2148.1833584664923,8544.22832436742
postgresql,3,uniform_heavy_mixed,uniform,heavy,mixed,extend,EXTEND,100,10000000.0,561.2076107687216,1830.0629045,2364.47,8978.86
postgresql,3,uniform_heavy_mixed,uniform,heavy,mixed,load,INSERT,1,10000.0,760.9770945894528,1257.0742,1598.0,1713.0
postgresql,3,uniform_heavy_mixed,uniform,heavy,mixed,run,READ,100,4998509.0,1121.984341034225,277.63350411092586,471.334143041455,576.2537962820513
postgresql,3,uniform_heavy_mixed,uniform,heavy,mixed,run,UPDATE,100,5001491.0,1121.6773343640136,1556.618306820906,2058.0536801925664,8781.495033980867
postgresql,3,uniform_heavy_vacuum,uniform,heavy,vacuum,extend,EXTEND,100,10000000.0,658.3124451966537,1524.9070474,1972.7,2338.71
postgresql,3,uniform_heavy_vacuum,uniform,heavy,vacuum,load,INSERT,1,10000.0,712.3521869212138,1347.8811,1649.0,1748.0
postgresql,3,uniform_heavy_vacuum,uniform,heavy,vacuum,run,READ,100,10000000.0,7667.77227031142,156.3326907,186.85,260.4
postgresql,3,zipfian_heavy,zipfian,heavy,base,extend,EXTEND,100,10000000.0,185.36488999283804,7668.0740049,32456.18,54132.38
postgresql,3,zipfian_heavy,zipfian,heavy,base,load,INSERT,1,10000.0,788.8301648655045,1226.9352,1571.0,1686.0
postgresql,3,zipfian_heavy,zipfian,heavy,base,run,READ,100,10000000.0,4560.242343029254,723.3434746,2338.63,5085.04
