run_id,Epoch,AverageLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Throughput(ops/sec),blks_read_per_op_delta,blks_hit_per_op_delta,tup_returned_per_op_delta,tup_fetched_per_op_delta,tup_inserted_per_op_delta,tup_updated_per_op_delta,tup_deleted_per_op_delta,temp_bytes_per_op_delta,buffers_alloc_per_op_delta,wal_bytes_per_op_delta,wal_records_per_op_delta,wal_fpi_per_op_delta,reference_p95_us,avg-run_p95_us,clean-run_p95_us,main_minus_clean_p95_us,main_minus_avg_p95_us,main_minus_reference_p95_us,value_size_p50,value_size_p90,value_size_p95,value_size_p99,value_size_max,frac_gt_2kb,frac_gt_8kb,frac_gt_32kb,est_toast_chunks_p95,est_toast_chunks_p99,est_toast_chunks_max
3,28,261.9787,557,780,3733.432891543775,10.51621,66.47596,21.93466,21.71267,0.00863,0.00022,0.00874,0.0,0.51524,6166.59966,25.44724,16.259,55,402,558,-1,155,502,,,,,,,,,,,
3,29,294.51543,594,797,3325.905477766322,8.01475,76.62376,23.03271,22.81072,0.0061,0.00022,0.00637,0.0,0.48923,4509.78613,26.17623,9.60191,53,497,586,8,97,541,,,,,,,,,,,
3,30,262.93173,543,776,3718.301479883989,8.16009,77.16076,24.33985,24.1091,0.00458,0.00022,0.00474,0.0,0.5108,5068.79967,26.31398,10.10782,50,541,574,-31,2,493,,,,,,,,,,,
3,31,294.8933,606,807,3319.722471201408,9.39045,79.33473,24.27432,24.04357,0.00335,0.00022,0.00351,0.0,0.50216,5560.22858,27.50708,11.73239,54,400,591,15,206,552,,,,,,,,,,,
3,32,306.02742,619,820,3200.0,9.85777,79.74686,24.4184,24.18765,0.00239,0.00022,0.00248,0.0,0.52721,5952.50086,28.72909,15.23899,52,408,580,39,211,567,,,,,,,,,,,
3,33,280.68254,575,814,3482.5004353125546,11.89788,79.76758,25.85564,25.62489,0.00183,0.00022,0.0019,0.0,0.52117,6370.46456,29.36444,17.44602,50,417,585,-10,158,525,,,,,,,,,,,
3,34,307.17383,610,845,3196.317841846193,16.70726,91.8107,27.33316,27.10241,0.00139,0.00022,0.00147,0.0,0.7486,7990.18651,35.484,22.97908,53,418,571,39,192,557,,,,,,,,,,,
3,35,345.39989,644,881,2840.5056099985795,12.22971,80.78605,27.72587,27.49874,0.001,0.00022,0.00102,0.0,0.60357,5375.84328,32.0345,11.28896,49,414,597,47,230,595,,,,,,,,,,,
3,36,350.22968,645,883,2807.569206580942,16.01573,81.12984,28.17994,27.94919,0.00076,0.00022,0.00079,0.0,0.65053,6437.12426,32.67046,15.2473,53,418,622,23,227,592,,,,,,,,,,,
3,37,333.9155,636,942,2940.657531023937,13.5484,80.35509,28.43261,28.20186,0.00024,0.00011,0.00026,0.0,0.92224,6811.23472,32.72423,21.25111,54,404,601,35,232,582,,,,,,,,,,,
3,38,334.81247,640,910,2937.8929431811503,17.57085,82.61455,28.70167,28.47092,0.00032,0.00022,0.00032,0.0,0.94898,7108.11091,34.22438,20.29311,49,417,589,51,223,591,,,,,,,,,,,
3,39,358.14678,660,923,2744.8397013614403,16.59624,84.08328,29.85295,29.61344,0.00022,0.00022,0.00023,0.0,0.79364,6729.71517,35.7789,14.55976,50,469,619,41,191,610,,,,,,,,,,,
3,40,359.57682,661,950,2737.026494416466,17.16939,86.13257,29.90797,29.6702,0.00012,0.00022,0.00014,0.0,0.80825,7520.53993,37.96571,18.88017,55,459,632,29,202,606,,,,,,,,,,,
3,41,340.89811,634,912,2884.4212408780177,16.74371,84.5391,31.5832,31.34598,0.0001,0.00022,0.0001,0.0,0.79891,7076.23642,38.4745,19.772,51,464,644,-10,170,583,,,,,,,,,,,
3,42,357.14326,657,957,2751.10732069658,23.98234,87.58992,31.11311,30.8736,4e-05,0.00022,4e-05,0.0,0.90889,8676.34029,41.57852,24.99009,53,477,642,15,180,604,,,,,,,,,,,
3,43,340.66643,653,1061,2885.1702250432777,25.68649,88.14331,31.26543,31.0299,4e-05,0.00022,4e-05,0.0,0.99202,8345.78945,43.25023,22.43174,53,471,613,40,182,600,,,,,,,,,,,
3,44,356.55439,658,940,2757.859900717044,24.56221,86.98851,32.65941,32.42012,5e-05,0.00022,5e-05,0.0,0.85836,8174.55732,42.5069,21.74938,53,475,610,48,183,605,,,,,,,,,,,
3,45,353.07756,640,1012,2784.66208125644,21.69568,89.60196,33.75991,33.51296,4e-05,0.00022,4e-05,0.0,0.90173,8674.58577,43.72653,24.96971,54,481,643,-3,159,586,,,,,,,,,,,
3,46,329.71084,644,1331,2980.7147754031416,30.5464,88.97106,33.21206,32.97185,6e-05,0.00033,6e-05,0.0,1.08792,9277.42985,46.71021,28.80406,47,508,664,-20,136,597,,,,,,,,,,,
3,47,424.41015,715,2649,2320.939516316205,31.08729,90.46414,33.8427,33.609,4e-05,0.00022,4e-05,0.0,1.19582,9367.70154,48.21711,27.90405,55,496,673,42,219,660,,,,,,,,,,,
3,48,411.04485,754,1606,2397.9090233316547,32.10505,91.64054,34.96071,34.71244,4e-05,0.00022,4e-05,0.0,1.34895,9605.0372,49.23203,30.31726,48,490,641,113,264,706,,,,,,,,,,,
3,49,419.09203,727,1908,2351.5026101678973,33.19421,92.60387,35.92037,35.6811,4e-05,0.00022,4e-05,0.0,1.33622,10285.25888,50.19863,32.69344,47,498,676,51,229,680,,,,,,,,,,,
3,50,373.18941,669,1072,2637.965600928564,28.20811,93.31622,36.24641,35.99814,4e-05,0.00022,4e-05,0.0,1.10536,9631.26134,49.89857,28.27082,55,500,670,-1,169,614,,,,,,,,,,,
3,51,403.84146,687,1112,2439.6194193705783,32.0755,93.47954,36.9887,36.74755,4e-05,0.00022,4e-05,0.0,1.17336,10188.63697,51.59613,32.99796,53,498,684,3,189,634,,,,,,,,,,,
3,52,403.84212,701,1102,2437.003460544914,29.47826,94.00105,36.05144,35.80096,4e-05,0.00022,4e-05,0.0,1.13597,9755.7477,50.91848,28.74319,51,498,669,32,203,650,,,,,,,,,,,
3,53,433.76395,716,1174,2272.57232461423,30.65883,93.67528,37.20149,36.94768,4e-05,0.00022,4e-05,0.0,1.16794,10534.43016,52.36203,34.37176,53,519,679,37,197,663,,,,,,,,,,,
3,54,369.71683,674,1072,2662.903096956302,27.24863,94.51896,37.44121,37.19368,4e-05,0.00022,4e-05,0.0,1.10214,10080.63088,51.32146,31.59697,53,522,712,-38,152,621,,,,,,,,,,,
3,55,442.32223,750,1654,2228.511577117643,30.16481,95.74225,38.36308,38.09958,6e-05,0.00033,6e-05,0.0,1.23041,10612.24357,54.08474,33.81062,57,528,683,67,222,693,,,,,,,,,,,
3,56,422.87208,703,1138,2331.2740412635503,30.25636,96.85209,40.27361,40.01492,6e-05,0.00033,6e-05,0.0,1.13941,10861.80701,54.26184,35.53267,44,516,702,1,187,659,,,,,,,,,,,
3,57,420.96359,717,1247,2338.306131038676,34.75833,94.35352,39.64992,39.39336,4e-05,0.00022,4e-05,0.0,1.15737,11042.62404,56.24067,36.78107,55,522,725,-8,195,662,,,,,,,,,,,
3,58,435.56789,753,1666,2262.136361579876,34.81921,94.89124,40.37072,40.11538,6e-05,0.00033,6e-05,0.0,1.26829,10782.85881,56.45537,34.43433,55,530,672,81,223,698,,,,,,,,,,,
3,59,565.87434,1073,3723,1747.396379394702,48.89295,107.34815,41.41789,41.14343,6e-05,0.00033,6e-05,0.0,1.75578,12019.20192,63.22565,40.30372,54,533,690,383,540,1019,,,,,,,,,,,
3,60,514.90402,975,3399,1919.201612129354,38.71261,95.82567,42.12169,41.85653,6e-05,0.00033,6e-05,0.0,1.54453,11223.5548,59.79578,37.00669,46,538,706,269,437,929,,,,,,,,,,,
