run_id,Epoch,watcher_samples,watcher_cpu_mean_pct,watcher_cpu_max_pct,watcher_mem_mean_mib,watcher_mem_max_mib,watcher_delta_read_sum,watcher_delta_read_max,watcher_delta_write_sum,watcher_delta_write_max,95thPercentileLatency(us),Throughput(ops/sec)
4,1,6,50.5,59.1,144.709375,145.5625,0.0,0.0,0.0,0.0,70,18145.52712756305
4,2,6,55.5,65.4,321.35546875,327.234375,0.0,0.0,0.0,0.0,85,16217.96951021732
4,3,7,56.96666666666667,66.9,468.1608072916667,480.1484375,0.0,0.0,0.0,0.0,96,13861.93512614361
4,4,8,62.199999999999996,69.8,546.8018973214286,557.28515625,0.0,0.0,0.0,0.0,109,12140.342357654486
4,5,9,63.5,72.8,627.33447265625,639.625,0.0,0.0,0.0,0.0,114,11564.704521799467
4,6,9,66.5625,75.3,737.83984375,755.55078125,0.0,0.0,0.0,0.0,122,10932.546190007652
4,7,10,66.6,76.2,868.6514756944445,898.328125,0.0,0.0,0.0,0.0,128,10246.951531919254
4,8,11,67.19000000000001,76.9,979.2859375,1018.375,0.0,0.0,0.0,0.0,144,9417.969485778864
4,9,11,69.44,78.5,1136.151953125,1182.98828125,0.0,0.0,0.0,0.0,151,9118.26388255676
4,10,12,69.62727272727273,78.6,1288.6253551136363,1345.64453125,0.0,0.0,0.0,0.0,163,8530.239699735563
4,11,12,71.68181818181819,80.5,1395.4517045454545,1461.32421875,0.0,0.0,0.0,0.0,161,8260.366760284156
4,12,13,73.10000000000001,81.9,1525.4830729166667,1609.015625,0.0,0.0,0.0,0.0,176,7875.255945818239
4,13,13,73.78333333333333,83.1,1778.5009765625,1891.19140625,0.0,0.0,0.0,0.0,182,7676.364473785215
4,14,14,73.87692307692308,83.0,1956.5078125,2095.87890625,0.0,0.0,0.0,0.0,189,7143.877696813831
4,15,15,74.38571428571429,82.9,2075.2809709821427,2218.76171875,0.0,0.0,0.0,0.0,198,6775.985905949316
4,16,14,75.86923076923077,84.7,2113.410456730769,2252.01953125,0.0,0.0,0.0,0.0,195,6870.96330905593
4,17,15,75.45714285714287,84.2,2139.9483816964284,2288.43359375,0.0,0.0,0.0,0.0,213,6588.483331137172
4,18,15,76.23571428571428,84.3,2113.9924665178573,2252.40234375,0.0,0.0,0.0,0.0,224,6444.129398118314
