run_id,phase,early_p95_mean_us,late_p95_mean_us,late_over_early_p95_ratio,max_p95_us,peak_epoch
3,avg-run,291.8,696.3333333333334,2.3863376742060773,738,100
4,avg-run,121.4,529.7142857142857,4.363379618733819,573,99
5,avg-run,110.4,542.1428571428571,4.910714285714286,604,100
6,avg-run,286.4,700.5714285714286,2.4461292897047087,737,99
3,clean-run,330.3,862.047619047619,2.609892882372446,948,100
4,clean-run,139.7,643.5238095238095,4.6064696458397245,705,98
5,clean-run,124.05,594.9047619047619,4.795685303545038,652,99
6,clean-run,320.55,841.2857142857143,2.6245069857610805,929,100
3,extend,6735.65,49533.47619047619,7.353926672329499,57599,100
4,extend,6781.35,50252.71428571428,7.410429233959946,56831,100
5,extend,6288.95,46482.80952380953,7.391187642421951,54655,100
6,extend,6559.3,49923.57142857143,7.611112684062541,56575,96
3,reference,50.35,51.904761904761905,1.0308790845037121,57,55
4,reference,52.45,51.80952380952381,0.9877888238231421,55,2
5,reference,46.05,47.476190476190474,1.030970477224549,51,64
6,reference,53.0,55.714285714285715,1.051212938005391,59,61
3,run,418.75,1391.3333333333333,3.322587064676617,2719,98
4,run,159.3,1440.8095238095239,9.044629779093055,3361,95
5,run,142.2,1381.095238095238,9.712343446520663,2903,99
6,run,394.05,1391.142857142857,3.530371417695361,2113,97
