run,Phase,Epoch,wal_bytes_per_op
4,run,17,73533.18625
4,run,18,76785.25051
4,run,19,81990.64376
4,run,20,86368.23517
4,run,21,90867.873
4,run,22,94803.37933
4,run,23,101183.22068
4,run,24,102770.69186
4,run,25,107893.35316
4,run,26,113335.27611
4,run,27,114099.7001
4,run,28,120199.47341
4,run,29,124868.34451
4,run,30,130952.66399
4,run,31,133014.36313
4,run,32,140395.25956
4,run,33,141495.35157
4,run,34,147116.64381
4,run,35,152840.14075
4,run,36,158121.1439
4,run,37,158709.76271
4,run,38,164816.05056
4,run,39,169993.92073
4,run,40,170835.74102
4,run,41,180192.1075
4,run,42,184294.56031
4,run,43,188172.7059
4,run,44,193958.54944
4,run,45,197962.03064
4,run,46,203698.02468
4,run,47,205640.53461
4,run,48,210691.33504
4,run,49,216195.23429
4,run,50,220220.10437
4,run,51,227822.85645
4,run,52,229578.57558
4,run,53,233357.32899
4,run,54,239039.3283
4,run,55,244854.02109
4,run,56,248398.22581
4,run,57,255561.62018
4,run,58,257314.4154
4,run,59,266014.46561
4,run,60,270580.90691
4,run,61,275863.51473
4,run,62,276815.59323
4,run,63,286459.7497
4,run,64,287177.43507
4,run,65,296944.57987
4,run,66,296359.29631
4,run,67,299777.21954
4,run,68,309596.4156
4,run,69,308470.88318
4,run,70,321743.35659
4,run,71,321600.08005
4,run,72,328096.54265
4,run,73,331204.73134
4,run,74,335024.73243
4,run,75,343406.6727
4,run,76,351293.1254
4,run,77,353300.92151
4,run,78,359584.60441
4,run,79,361605.96422
4,run,80,370283.6039
4,run,81,375918.34818
4,run,82,374588.57513
4,run,83,386014.04123
4,run,84,391207.90629
4,run,85,398972.4698
4,run,86,401689.37939
4,run,87,399410.74663
4,run,88,409074.09004
4,run,89,413907.94646
4,run,90,422830.96114
4,run,91,424761.91536
4,run,92,426821.4961
4,run,93,433792.00354
4,run,94,446720.73041
4,run,95,437227.94704
4,run,96,447095.3344
4,run,97,456250.12558
4,run,98,460573.01621
4,run,99,465902.501
4,run,100,464752.30546
5,avg-run,1,
5,avg-run,2,7193.3166
5,avg-run,3,10759.98338
5,avg-run,4,15164.31743
5,avg-run,5,19638.81426
5,avg-run,6,24397.51358
5,avg-run,7,29067.86624
5,avg-run,8,34408.56604
5,avg-run,9,37999.54728
5,avg-run,10,43284.38329
5,avg-run,11,48712.04582
5,avg-run,12,51864.28186
5,avg-run,13,56912.59782
5,avg-run,14,61998.30117
5,avg-run,15,66089.26252
5,avg-run,16,70468.43271
5,avg-run,17,73971.64991
5,avg-run,18,78905.27134
5,avg-run,19,82890.47401
5,avg-run,20,87256.72972
5,avg-run,21,91011.53213
5,avg-run,22,96304.8762
5,avg-run,23,99848.13707
5,avg-run,24,102679.91626
5,avg-run,25,106732.68317
5,avg-run,26,113046.37753
5,avg-run,27,115517.50996
5,avg-run,28,120714.25718
5,avg-run,29,124182.23635
5,avg-run,30,130918.29394
5,avg-run,31,135382.81946
5,avg-run,32,136606.95546
5,avg-run,33,143329.65698
5,avg-run,34,147954.61721
5,avg-run,35,152624.27399
5,avg-run,36,156752.39464
5,avg-run,37,159314.21179
5,avg-run,38,164563.28756
5,avg-run,39,170543.80232
5,avg-run,40,173656.26221
5,avg-run,41,176907.03029
5,avg-run,42,182570.95351
5,avg-run,43,186868.4703
5,avg-run,44,195583.25299
5,avg-run,45,198282.48921
5,avg-run,46,202260.81709
5,avg-run,47,204834.09969
5,avg-run,48,214657.98771
5,avg-run,49,216685.61555
5,avg-run,50,217877.68976
5,avg-run,51,222943.35829
5,avg-run,52,230634.05635
5,avg-run,53,234652.01313
5,avg-run,54,238477.20679
5,avg-run,55,244367.24337
5,avg-run,56,253792.40891
5,avg-run,57,255389.52511
5,avg-run,58,256511.73066
5,avg-run,59,263349.24896
5,avg-run,60,270468.59657
5,avg-run,61,272550.24303
5,avg-run,62,275004.89968
5,avg-run,63,283950.01099
5,avg-run,64,286640.45752
5,avg-run,65,288956.51064
5,avg-run,66,296637.89084
5,avg-run,67,302406.38245
5,avg-run,68,306908.7201
5,avg-run,69,316482.08178
5,avg-run,70,317598.30682
5,avg-run,71,318946.48795
5,avg-run,72,327028.65791
5,avg-run,73,335793.04449
5,avg-run,74,338012.93503
5,avg-run,75,343761.65879
5,avg-run,76,340820.50465
5,avg-run,77,355021.56093
5,avg-run,78,359294.80139
5,avg-run,79,361496.16437
5,avg-run,80,368260.69027
5,avg-run,81,375019.38688
5,avg-run,82,377084.91312
5,avg-run,83,385023.99142
5,avg-run,84,388922.8945
5,avg-run,85,396180.67179
5,avg-run,86,396291.68298
5,avg-run,87,404833.80777
5,avg-run,88,413072.38088
5,avg-run,89,410978.95547
5,avg-run,90,424722.45629
5,avg-run,91,418941.77866
5,avg-run,92,425871.14872
5,avg-run,93,435052.60651
5,avg-run,94,434916.64812
5,avg-run,95,442499.87028
5,avg-run,96,452282.41445
5,avg-run,97,454612.1908
5,avg-run,98,460280.02323
5,avg-run,99,459955.84002
5,avg-run,100,465457.92812
5,clean-run,1,
5,clean-run,2,7045.715
5,clean-run,3,10626.85414
5,clean-run,4,15047.12154
5,clean-run,5,19548.49225
5,clean-run,6,24282.42887
5,clean-run,7,28967.87187
5,clean-run,8,34308.63581
5,clean-run,9,37884.39798
5,clean-run,10,43184.50492
5,clean-run,11,48612.6715
5,clean-run,12,51764.2811
5,clean-run,13,56811.98128
5,clean-run,14,61898.33596
5,clean-run,15,65989.18084
5,clean-run,16,70369.0964
5,clean-run,17,73871.64991
5,clean-run,18,78790.76548
5,clean-run,19,82657.37841
5,clean-run,20,87156.72988
5,clean-run,21,90911.53217
5,clean-run,22,96204.17906
5,clean-run,23,99744.51178
5,clean-run,24,102580.88786
5,clean-run,25,106632.74028
5,clean-run,26,112946.69939
5,clean-run,27,115417.74998
5,clean-run,28,120614.49343
5,clean-run,29,124082.41839
5,clean-run,30,130818.52802
5,clean-run,31,135252.84277
5,clean-run,32,136507.03323
5,clean-run,33,143229.95015
5,clean-run,34,147853.03633
5,clean-run,35,152526.06676
5,clean-run,36,156652.55511
5,clean-run,37,159214.37222
5,clean-run,38,164463.02178
5,clean-run,39,170300.989
5,clean-run,40,173556.74404
5,clean-run,41,176806.93889
5,clean-run,42,182471.19738
5,clean-run,43,186768.51111
5,clean-run,44,195483.44506
5,clean-run,45,198182.45487
5,clean-run,46,202161.34172
5,clean-run,47,204733.89477
5,clean-run,48,214555.34618
5,clean-run,49,216581.74462
5,clean-run,50,217784.72204
5,clean-run,51,222844.1578
5,clean-run,52,230535.91792
5,clean-run,53,234546.0413
5,clean-run,54,238382.25533
5,clean-run,55,244269.69494
5,clean-run,56,253685.00135
5,clean-run,57,255300.54606
5,clean-run,58,256402.76262
5,clean-run,59,263112.68558
5,clean-run,60,270377.69734
5,clean-run,61,272444.90285
5,clean-run,62,274901.79699
5,clean-run,63,283859.68592
5,clean-run,64,286538.0296
5,clean-run,65,288841.52033
5,clean-run,66,296545.84758
5,clean-run,67,302315.04344
5,clean-run,68,306817.9806
5,clean-run,69,316384.97443
5,clean-run,70,317490.94747
5,clean-run,71,318836.53626
5,clean-run,72,326949.17518
5,clean-run,73,335650.39781
5,clean-run,74,337951.95221
5,clean-run,75,343664.11726
5,clean-run,76,340709.98827
5,clean-run,77,354887.41246
5,clean-run,78,359194.80773
5,clean-run,79,361260.80456
5,clean-run,80,368160.8401
5,clean-run,81,374918.55996
5,clean-run,82,376986.06286
5,clean-run,83,384921.46482
5,clean-run,84,388823.50439
5,clean-run,85,396080.35848
5,clean-run,86,396189.80546
5,clean-run,87,404734.00653
5,clean-run,88,412969.65136
5,clean-run,89,410874.492
5,clean-run,90,424619.80533
5,clean-run,91,418829.95658
5,clean-run,92,425779.07536
5,clean-run,93,434959.80856
5,clean-run,94,434796.3396
5,clean-run,95,442394.75719
5,clean-run,96,452175.95806
5,clean-run,97,454504.34044
5,clean-run,98,460204.58557
5,clean-run,99,459704.70168
5,clean-run,100,465349.14965
5,run,1,
5,run,2,6921.80267
5,run,3,10501.6899
5,run,4,14925.96701
5,run,5,19420.18674
5,run,6,24177.99939
5,run,7,28841.46311
5,run,8,34195.07422
5,run,9,37771.81953
5,run,10,43072.39552
5,run,11,48500.96875
5,run,12,51652.51153
5,run,13,56701.43346
5,run,14,61787.01594
5,run,15,65877.79824
5,run,16,70256.75972
5,run,17,73783.33883
5,run,18,78655.32189
5,run,19,82569.93657
5,run,20,87018.9405
5,run,21,90825.49936
5,run,22,96063.73898
5,run,23,99659.69904
5,run,24,102437.71151
5,run,25,106549.71163
5,run,26,112834.10722
5,run,27,115271.64944
5,run,28,120534.12788
5,run,29,123969.5987
5,run,30,130675.73403
5,run,31,135170.09947
5,run,32,136393.92652
5,run,33,143117.33073
5,run,34,147710.86542
5,run,35,152444.01775
5,run,36,156540.47842
5,run,37,159102.46558
5,run,38,164318.57949
5,run,39,170188.49549
5,run,40,173478.90069
5,run,41,176660.57729
5,run,42,182395.4773
5,run,43,186620.71498
5,run,44,195409.47969
5,run,45,198071.66517
5,run,46,202050.52645
5,run,47,204622.43805
5,run,48,214437.53652
5,run,49,216433.31994
5,run,50,217712.30066
5,run,51,222738.27863
5,run,52,230419.04533
5,run,53,234439.36404
5,run,54,238273.61554
5,run,55,244158.81808
5,run,56,253570.89715
5,run,57,255192.72187
5,run,58,256290.59914
5,run,59,263001.55195
5,run,60,270265.54397
5,run,61,272335.92985
5,run,62,274790.90731
5,run,63,283744.96597
5,run,64,286424.80394
5,run,65,288734.99037
5,run,66,296432.87684
5,run,67,302201.16458
5,run,68,306708.25072
5,run,69,316275.42584
5,run,70,317380.9931
5,run,71,318723.83654
5,run,72,326835.23731
5,run,73,335543.4029
5,run,74,337840.08871
5,run,75,343546.07066
5,run,76,340606.18014
5,run,77,354772.39154
5,run,78,359081.97349
5,run,79,361157.6123
5,run,80,368048.21396
5,run,81,374809.8624
5,run,82,376871.19028
5,run,83,384809.01692
5,run,84,388712.56585
5,run,85,395970.56368
5,run,86,396080.44936
5,run,87,404620.1838
5,run,88,412861.80689
5,run,89,410760.25538
5,run,90,424512.69571
5,run,91,418715.38463
5,run,92,425666.03015
5,run,93,434846.76617
5,run,94,434690.66382
5,run,95,442282.41355
5,run,96,452069.33377
5,run,97,454385.60588
5,run,98,460097.7073
5,run,99,459592.09022
5,run,100,465235.70846
6,avg-run,1,
6,avg-run,2,7094.01057
6,avg-run,3,10988.39274
6,avg-run,4,14993.51276
6,avg-run,5,19795.2301
6,avg-run,6,24716.34518
6,avg-run,7,28967.45275
6,avg-run,8,33048.84842
6,avg-run,9,38572.54641
6,avg-run,10,42932.84296
6,avg-run,11,47412.15784
6,avg-run,12,52507.00132
6,avg-run,13,57090.92665
6,avg-run,14,60111.79026
6,avg-run,15,65062.36425
6,avg-run,16,69350.57103
6,avg-run,17,73335.90645
6,avg-run,18,77403.26898
6,avg-run,19,80297.57807
6,avg-run,20,85991.08672
6,avg-run,21,89496.95744
6,avg-run,22,93796.93902
6,avg-run,23,100519.16336
6,avg-run,24,104745.64396
6,avg-run,25,107842.91084
6,avg-run,26,113131.33503
6,avg-run,27,116465.42834
6,avg-run,28,119426.23834
6,avg-run,29,125725.82472
6,avg-run,30,129407.27259
6,avg-run,31,134680.87801
6,avg-run,32,138436.64941
6,avg-run,33,141694.63028
6,avg-run,34,147947.82404
6,avg-run,35,152752.75376
6,avg-run,36,158679.85098
6,avg-run,37,159339.70766
6,avg-run,38,165186.16261
6,avg-run,39,174004.92852
6,avg-run,40,170848.93432
6,avg-run,41,176077.41238
6,avg-run,42,182006.28058
6,avg-run,43,187109.75412
6,avg-run,44,193641.43948
6,avg-run,45,197461.65819
6,avg-run,46,202013.28229
6,avg-run,47,204894.53355
6,avg-run,48,211769.25749
6,avg-run,49,216659.79813
6,avg-run,50,221933.61732
6,avg-run,51,225437.92411
6,avg-run,52,229719.30357
6,avg-run,53,237387.95408
6,avg-run,54,240696.08926
6,avg-run,55,245598.68056
6,avg-run,56,249555.75807
6,avg-run,57,253834.20642
6,avg-run,58,257417.0915
6,avg-run,59,260175.23971
6,avg-run,60,267540.68707
6,avg-run,61,270657.5053
6,avg-run,62,273740.69555
6,avg-run,63,279870.85707
6,avg-run,64,290471.59708
6,avg-run,65,291100.36473
6,avg-run,66,297558.4966
6,avg-run,67,301525.78348
6,avg-run,68,307858.52573
6,avg-run,69,314957.38149
6,avg-run,70,317189.19669
6,avg-run,71,323621.3059
6,avg-run,72,325059.06525
6,avg-run,73,332818.78963
6,avg-run,74,335885.85517
6,avg-run,75,342989.08714
6,avg-run,76,346681.92543
6,avg-run,77,353843.30245
6,avg-run,78,356483.49698
6,avg-run,79,366204.51405
6,avg-run,80,363630.11215
6,avg-run,81,369271.52562
6,avg-run,82,373125.14996
6,avg-run,83,380367.39752
6,avg-run,84,383283.52795
6,avg-run,85,392039.20799
6,avg-run,86,398444.59176
6,avg-run,87,401672.81191
6,avg-run,88,406359.54873
6,avg-run,89,413093.19486
6,avg-run,90,413262.54401
6,avg-run,91,420104.43248
6,avg-run,92,431751.84274
6,avg-run,93,429482.00895
6,avg-run,94,443083.22838
6,avg-run,95,441932.2604
6,avg-run,96,447638.75868
6,avg-run,97,453073.88102
6,avg-run,98,461620.94889
6,avg-run,99,466263.4311
6,avg-run,100,467387.10904
6,clean-run,1,
6,clean-run,2,6950.23905
6,clean-run,3,10858.84591
6,clean-run,4,14878.49978
6,clean-run,5,19695.27982
6,clean-run,6,24601.8239
6,clean-run,7,28867.33015
6,clean-run,8,32948.99143
6,clean-run,9,38458.1846
6,clean-run,10,42832.8432
6,clean-run,11,47312.15764
6,clean-run,12,52407.00132
6,clean-run,13,56990.27074
6,clean-run,14,60012.44617
6,clean-run,15,64962.36425
6,clean-run,16,69250.57123
6,clean-run,17,73235.90625
6,clean-run,18,77288.76342
6,clean-run,19,80064.48233
6,clean-run,20,85891.08618
6,clean-run,21,89396.95828
6,clean-run,22,93696.93713
6,clean-run,23,100414.77824
6,clean-run,24,104617.05407
6,clean-run,25,107743.03906
6,clean-run,26,113029.9492
6,clean-run,27,116364.8803
6,clean-run,28,119326.82182
6,clean-run,29,125620.64804
6,clean-run,30,129309.49972
6,clean-run,31,134586.01011
6,clean-run,32,138336.87114
6,clean-run,33,141594.70596
6,clean-run,34,147848.02183
6,clean-run,35,152652.82828
6,clean-run,36,158581.38593
6,clean-run,37,159237.83919
6,clean-run,38,165086.91462
6,clean-run,39,173761.98943
6,clean-run,40,170751.57982
6,clean-run,41,175981.50504
6,clean-run,42,181906.95356
6,clean-run,43,187008.24351
6,clean-run,44,193544.12439
6,clean-run,45,197353.71016
6,clean-run,46,201915.76933
6,clean-run,47,204809.38471
6,clean-run,48,211675.20273
6,clean-run,49,216547.81127
6,clean-run,50,221846.14594
6,clean-run,51,225323.05944
6,clean-run,52,229603.94182
6,clean-run,53,237304.68314
6,clean-run,54,240577.70145
6,clean-run,55,245498.72556
6,clean-run,56,249455.89557
6,clean-run,57,253734.31971
6,clean-run,58,257317.26492
6,clean-run,59,259956.89736
6,clean-run,60,267410.95594
6,clean-run,61,270557.56131
6,clean-run,62,273640.71964
6,clean-run,63,279768.3163
6,clean-run,64,290368.36649
6,clean-run,65,291006.52994
6,clean-run,66,297458.44952
6,clean-run,67,301426.01581
6,clean-run,68,307752.13321
6,clean-run,69,314857.79647
6,clean-run,70,317077.09468
6,clean-run,71,323539.6211
6,clean-run,72,324956.35557
6,clean-run,73,332700.41375
6,clean-run,74,335797.21573
6,clean-run,75,342832.89746
6,clean-run,76,346604.81908
6,clean-run,77,353776.74725
6,clean-run,78,356373.318
6,clean-run,79,365973.59816
6,clean-run,80,363476.9032
6,clean-run,81,369207.4366
6,clean-run,82,373028.86244
6,clean-run,83,380223.75868
6,clean-run,84,383232.07367
6,clean-run,85,391958.70968
6,clean-run,86,398346.15162
6,clean-run,87,401570.55843
6,clean-run,88,406209.55034
6,clean-run,89,413050.18964
6,clean-run,90,413158.9424
6,clean-run,91,420009.35644
6,clean-run,92,431559.49027
6,clean-run,93,429389.88547
6,clean-run,94,443051.45406
6,clean-run,95,441844.75246
6,clean-run,96,447544.2109
6,clean-run,97,452956.15148
6,clean-run,98,461521.0138
6,clean-run,99,466015.56864
6,clean-run,100,467283.72353
6,run,1,
6,run,2,6826.48834
6,run,3,10733.68945
6,run,4,14757.60885
6,run,5,19567.07718
6,run,6,24485.37426
6,run,7,28752.65725
6,run,8,32835.4914
6,run,9,38345.56644
6,run,10,42720.42562
6,run,11,47200.65415
6,run,12,52295.63101
6,run,13,56879.4619
6,run,14,59900.45422
6,run,15,64850.73418
6,run,16,69139.46428
6,run,17,73123.82011
6,run,18,77201.02679
6,run,19,79927.62458
6,run,20,85778.23983
6,run,21,89284.1578
6,run,22,93582.95932
6,run,23,100301.64021
6,run,24,104502.59633
6,run,25,107629.34688
6,run,26,112915.92485
6,run,27,116251.0843
6,run,28,119212.99524
6,run,29,125508.85731
6,run,30,129198.58474
6,run,31,134503.49168
6,run,32,138224.41163
6,run,33,141482.17142
6,run,34,147735.33594
6,run,35,152540.85583
6,run,36,158469.32721
6,run,37,159093.71041
6,run,38,165007.26761
6,run,39,173650.27181
6,run,40,170640.10913
6,run,41,175870.27823
6,run,42,181795.69236
6,run,43,186897.28138
6,run,44,193395.45757
6,run,45,197242.29707
6,run,46,201804.2965
6,run,47,204737.50469
6,run,48,211564.29971
