Epoch,Phase,Recordcount,Readallfields,Requestdist,Operation,CPU,Memory,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,deadlocks,temp_files,temp_bytes,checkpoints_timed,checkpoints_req,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,checkpoint_write_time,checkpoint_sync_time,wal_bytes,wal_records,wal_fpi,wal_buffers_full,Readprop,Updateprop,Scanprop,Insertprop,Extendprop,Runtime(ms),Throughput(ops/sec),Operations,AverageLatency(us),MinLatency(us),MaxLatency(us),95thPercentileLatency(us),99thPercentileLatency(us),Return=OK,WatcherSamples,WatcherCPU_min,WatcherCPU_q1,WatcherCPU_median,WatcherCPU_q3,WatcherCPU_max,WatcherMemoryKB_min,WatcherMemoryKB_q1,WatcherMemoryKB_median,WatcherMemoryKB_q3,WatcherMemoryKB_max
0,load,10000,True,zipfian,INSERT,0.2,7.6,1,37313,12537,1566,10046,1,0,0,0,0,735,22554,1884999063,32024328,1059246725,905058365,615310900,14477292,11961662004819,14198725389,1814134764,37030434,0,0,0,0,1,13602,735.1860020585208,10000,1314.4484,866,17119,1639,1758,10000,13,6.5,8.8,9.0,9.1,9.2,32432.0,40112.0,46000.0,52144.0,58544.0
1,extend,10000,True,zipfian,EXTEND,0.2,7.6,2,1408017,303575,272718,100146,100012,83442,0,0,0,735,22554,1884999063,32024328,1059246725,905073819,615310900,14477292,11961922801928,14199403314,1814134775,37030434,0,0,0,0,1,130035,769.0237243818972,100000,1291.75045,363,8815,1693,2101,100000,125,7.6,10.7,11.2,11.5,63.8,45872.0,87856.0,114096.0,162736.0,314172.0
1,run,10000,True,uniform,READ,0.2,7.6,2,1971519,503690,452387,100258,100023,83534,0,0,0,735,22554,1884999063,32024328,1059246725,905073846,615310900,14477292,11961925664134,14199447124,1814134775,37030434,1,0,0,0,0,5291,18900.0189000189,100000,47.99502,26,16135,65,206,100000,5,30.1,50.0,53.1,56.3,57.4,155104.0,158100.0,158152.0,158352.0,158480.0
1,reference,10000,True,uniform,READ,0.2,7.6,1,342922,124838,102110,10119,1,0,0,0,0,735,22554,1884999063,32024328,1059246725,905073846,615310900,14477292,11961925664134,14199447124,1814134775,37030434,1,0,0,0,0,4496,22241.99288256228,100000,40.49608,24,12095,54,141,100000,4,31.8,42.975,48.75,51.349999999999994,53.0,44592.0,44592.0,44592.0,44592.0,44592.0
1,clean-run,10000,True,uniform,READ,0.2,8.0,437,538697,182705,171736,16552,1,0,0,4,385024,735,22555,1885016998,32024328,1059264008,905077900,615311058,14477298,11961953724339,14199467341,1814135762,37030434,1,0,0,0,0,4952,20193.861066235862,100000,44.96727,26,13151,61,174,100000,4,49.0,52.3,54.9,61.475,76.7,59360.0,59513.0,59574.0,78577.0,135556.0
1,avg-run,10000,True,uniform,READ,0.2,8.0,439,1331211,458363,407341,36552,5,0,0,4,385024,735,22555,1885016998,32024328,1059264008,905080821,615311058,14477298,11961978653497,14199517634,1814135813,37030434,1,0,0,0,0,5280,18939.39393939394,100000,48.13352,28,11951,62,115,100000,5,31.1,47.9,52.8,55.5,56.8,58416.0,58416.0,58416.0,58416.0,58416.0
2,extend,10000,True,zipfian,EXTEND,0.2,8.0,2,4419341,1173725,1067289,353359,200045,320035,0,0,0,735,22556,1885027339,32024328,1059289105,905101610,615311058,14477298,11962605304845,14200801021,1814179265,37030434,0,0,0,0,1,133902,746.814834729877,100000,1330.15199,374,11423,2147,3221,100000,128,8.7,11.9,12.850000000000001,13.6,38.9,71472.0,194716.0,271068.0,281312.0,708740.0
2,run,10000,True,uniform,READ,0.2,8.0,2,5827428,1572360,1445478,353503,200056,320177,0,0,0,735,22556,1885027653,32024328,1059289105,905101610,615311058,14477298,11962608312968,14200846328,1814179268,37030434,1,0,0,0,0,6294,15888.14744200826,100000,58.37808,27,13231,84,355,100000,6,30.4,52.825,57.7,60.85,62.8,288840.0,310576.0,311930.0,312105.0,312524.0
2,reference,10000,True,uniform,READ,0.2,8.0,1,645437,248752,203373,10119,1,0,0,0,0,735,22556,1885027700,32024328,1059289105,905101610,615311058,14477298,11962608312968,14200846328,1814179268,37030434,1,0,0,0,0,4268,23430.17806935333,100000,38.07179,25,11175,52,88,100000,4,31.8,43.875,50.849999999999994,54.175,55.3,44336.0,44336.0,44336.0,44336.0,44336.0
2,clean-run,10000,True,uniform,READ,0.2,8.0,533,1037422,335040,324948,32251,1,0,0,4,385024,735,22557,1885062691,32024328,1059289106,905107067,615343003,14477381,11962648748244,14200895074,1814180255,37030877,1,0,0,0,0,5972,16744.809109176156,100000,54.91079,27,15263,77,267,100000,5,30.4,51.0,54.9,59.0,59.5,71016.0,71228.0,71464.0,71712.0,71780.0
