Epoch,header_epoch,header_run,phase,probe,size_bytes,lookup_shared_hit,lookup_execution_ms,array_length_shared_hit,array_length_execution_ms,serialize_shared_hit,serialize_execution_ms
14,2,4,post-run,p90,16500,3,0.047,62,0.295,62,0.332
14,2,4,post-run,p95,22000,3,0.043,62,0.298,62,0.389
14,2,4,post-run,p99,48100,3,0.05,71,0.351,71,0.603
14,2,4,post-run,max,5342300,3,0.048,830,4.1,830,25.57
15,2,5,post-run,min,6700,3,0.05,50,0.292,50,0.299
15,2,5,post-run,p50,11200,3,0.047,58,0.335,58,0.344
15,2,5,post-run,p90,17700,3,0.054,62,0.356,62,0.373
15,2,5,post-run,p95,23400,3,0.046,66,0.367,66,0.435
15,2,5,post-run,p99,51100,3,0.047,71,0.377,71,0.577
15,2,5,post-run,max,5720300,3,0.044,823,4.521,823,27.924
16,2,6,post-run,min,6800,3,0.049,54,0.275,54,0.292
16,2,6,post-run,p50,11900,3,0.049,62,0.326,62,0.359
16,2,6,post-run,p90,18800,3,0.045,63,0.344,63,0.376
16,2,6,post-run,p95,24900,3,0.044,66,0.359,66,0.45
16,2,6,post-run,p99,54700,3,0.048,74,0.37,74,0.589
16,2,6,post-run,max,6104600,3,0.045,866,4.788,866,29.136
17,2,7,post-run,min,7200,3,0.052,54,0.28,54,0.27
17,2,7,post-run,p50,12500,3,0.046,58,0.299,58,0.347
17,2,7,post-run,p90,19900,3,0.044,62,0.318,62,0.362
17,2,7,post-run,p95,26300,3,0.046,69,0.365,69,0.401
17,2,7,post-run,p99,58400,3,0.067,72,0.356,72,0.557
17,2,7,post-run,max,6485000,3,0.046,952,5.162,952,31.053
18,2,8,post-run,min,7900,3,0.049,58,0.335,58,0.365
18,2,8,post-run,p50,13200,3,0.043,58,0.296,58,0.332
18,2,8,post-run,p90,21000,3,0.043,62,0.296,62,0.377
18,2,8,post-run,p95,27900,3,0.046,64,0.303,64,0.423
18,2,8,post-run,p99,61100,3,0.047,74,0.347,74,0.568
18,2,8,post-run,max,6863400,3,0.048,999,5.196,999,32.629
19,2,9,post-run,min,8200,3,0.051,58,0.289,58,0.298
19,2,9,post-run,p50,13900,3,0.051,58,0.3,58,0.32
19,2,9,post-run,p90,22000,3,0.05,62,0.308,62,0.396
19,2,9,post-run,p95,29600,3,0.046,67,0.326,67,0.437
19,2,9,post-run,p99,64500,3,0.046,73,0.339,73,0.6
19,2,9,post-run,max,7242700,3,0.047,1018,6.865,1018,35.712
20,2,10,post-run,min,8700,3,0.051,58,0.311,58,0.311
20,2,10,post-run,p50,14500,3,0.045,62,0.319,62,0.443
20,2,10,post-run,p90,23200,3,0.047,62,0.295,62,0.373
20,2,10,post-run,p95,30900,3,0.046,68,0.374,68,0.455
20,2,10,post-run,p99,68200,3,0.052,74,0.4,74,0.647
20,2,10,post-run,max,7622400,3,0.049,1067,5.929,1067,37.012
21,3,1,post-run,min,9000,3,0.05,58,0.289,58,0.298
21,3,1,post-run,p50,15200,3,0.046,58,0.314,58,0.326
21,3,1,post-run,p90,24300,3,0.047,62,0.341,62,0.393
21,3,1,post-run,p95,32500,3,0.048,66,0.342,66,0.473
21,3,1,post-run,p99,72100,3,0.05,74,0.336,74,0.59
21,3,1,post-run,max,8012100,3,0.046,1171,7.008,1171,38.869
22,3,2,post-run,min,9800,3,0.052,58,0.301,58,0.322
22,3,2,post-run,p50,15800,3,0.048,62,0.322,62,0.347
22,3,2,post-run,p90,25400,3,0.046,67,0.349,67,0.409
22,3,2,post-run,p95,34000,3,0.055,67,0.385,67,0.488
22,3,2,post-run,p99,76300,3,0.051,76,0.409,76,0.611
22,3,2,post-run,max,8401800,3,0.047,1228,6.861,1228,40.659
23,3,3,post-run,min,10400,3,0.052,58,0.32,58,0.332
23,3,3,post-run,p50,16500,3,0.051,62,0.351,62,0.358
23,3,3,post-run,p90,26500,3,0.048,68,0.377,68,0.44
23,3,3,post-run,p95,35400,3,0.049,70,0.375,70,0.496
23,3,3,post-run,p99,79100,3,0.049,76,0.371,76,0.657
23,3,3,post-run,max,8781500,3,0.046,1236,7.958,1236,43.334
24,3,4,post-run,min,10700,3,0.057,58,0.35,58,0.347
24,3,4,post-run,p50,17200,3,0.053,62,0.342,62,0.418
24,3,4,post-run,p90,27600,3,0.052,68,0.372,68,0.434
24,3,4,post-run,p95,36800,3,0.047,68,0.36,68,0.489
24,3,4,post-run,p99,81700,3,0.047,78,0.411,78,0.725
24,3,4,post-run,max,9174300,3,0.052,1269,9.354,1269,47.034
25,3,5,post-run,min,11100,3,0.054,58,0.336,58,0.344
25,3,5,post-run,p50,17800,3,0.046,62,0.344,62,0.384
25,3,5,post-run,p90,28700,3,0.048,68,0.351,68,0.429
25,3,5,post-run,p95,38400,3,0.047,68,0.308,68,0.476
25,3,5,post-run,p99,85600,3,0.067,75,0.382,75,0.672
25,3,5,post-run,max,9552800,3,0.047,1394,8.087,1394,46.486
26,3,6,post-run,min,11700,3,0.063,58,0.343,58,0.347
26,3,6,post-run,p50,18500,3,0.048,62,0.359,62,0.377
26,3,6,post-run,p90,29800,3,0.049,67,0.38,67,0.452
26,3,6,post-run,p95,39900,3,0.074,68,0.384,68,0.563
26,3,6,post-run,p99,89500,3,0.05,76,0.384,76,0.76
26,3,6,post-run,max,9929300,3,0.05,1393,8.206,1393,48.656
27,3,7,post-run,min,12000,3,0.053,58,0.291,58,0.324
27,3,7,post-run,p50,19200,3,0.049,62,0.297,62,0.335
27,3,7,post-run,p90,30900,3,0.047,67,0.338,67,0.405
27,3,7,post-run,p95,41300,3,0.052,70,0.364,70,0.515
27,3,7,post-run,p99,92600,3,0.048,75,0.356,75,0.676
27,3,7,post-run,max,10305600,3,0.047,1505,8.286,1505,49.925
28,3,8,post-run,min,12600,3,0.053,71,0.303,71,0.322
28,3,8,post-run,p50,19800,3,0.047,71,0.331,71,0.374
28,3,8,post-run,p90,32000,3,0.047,77,0.333,77,0.417
28,3,8,post-run,p95,42900,3,0.049,80,0.368,80,0.664
28,3,8,post-run,p99,95600,3,0.047,88,0.388,88,0.773
28,3,8,post-run,max,10682400,3,0.048,1479,8.878,1479,52.331
29,3,9,post-run,min,13400,3,0.056,66,0.343,66,0.378
29,3,9,post-run,p50,20500,3,0.056,72,0.345,72,0.391
29,3,9,post-run,p90,33100,3,0.052,79,0.387,79,0.518
29,3,9,post-run,p95,44400,3,0.054,82,0.439,82,0.602
29,3,9,post-run,p99,98400,3,0.052,88,0.456,88,0.817
29,3,9,post-run,max,11062200,3,0.051,1530,9.457,1530,54.063
30,3,10,post-run,min,13800,3,0.056,71,0.384,71,0.413
30,3,10,post-run,p50,21200,3,0.062,71,0.352,71,0.417
30,3,10,post-run,p90,34300,3,0.049,77,0.389,77,0.526
30,3,10,post-run,p95,46000,3,0.051,80,0.445,80,0.671
30,3,10,post-run,p99,102200,3,0.049,87,0.446,87,0.86
30,3,10,post-run,max,11438800,3,0.07,1576,10.604,1576,57.032
31,4,1,post-run,min,14100,3,0.052,66,0.317,66,0.354
31,4,1,post-run,p50,21800,3,0.049,71,0.356,71,0.436
31,4,1,post-run,p90,35300,3,0.048,78,0.384,78,0.513
31,4,1,post-run,p95,47700,3,0.051,80,0.434,80,0.601
31,4,1,post-run,p99,105500,3,0.068,88,0.541,88,0.845
31,4,1,post-run,max,11817100,3,0.046,1733,9.23,1733,57.765
32,4,2,post-run,min,14600,3,0.051,71,0.374,71,0.426
32,4,2,post-run,p50,22500,3,0.047,71,0.329,71,0.456
32,4,2,post-run,p90,36400,3,0.045,80,0.422,80,0.537
32,4,2,post-run,p95,49300,3,0.048,78,0.416,78,0.607
32,4,2,post-run,p99,108600,3,0.047,89,0.485,89,0.938
32,4,2,post-run,max,12205700,3,0.046,1682,12.024,1682,62.111
33,4,3,post-run,min,15100,3,0.053,71,0.352,71,0.378
33,4,3,post-run,p50,23100,3,0.068,78,0.376,78,0.473
33,4,3,post-run,p90,37500,3,0.047,80,0.426,80,0.505
33,4,3,post-run,p95,50800,3,0.064,83,0.428,83,0.656
33,4,3,post-run,p99,111800,3,0.046,87,0.432,87,0.854
33,4,3,post-run,max,12581800,3,0.045,1775,11.282,1775,61.7
34,4,4,post-run,min,15700,3,0.072,71,0.369,71,0.407
34,4,4,post-run,p50,23700,3,0.051,72,0.334,72,0.439
34,4,4,post-run,p90,38600,3,0.046,80,0.459,80,0.577
34,4,4,post-run,p95,52300,3,0.05,78,0.422,78,0.618
34,4,4,post-run,p99,115000,3,0.047,93,0.49,93,0.938
34,4,4,post-run,max,12961200,3,0.045,1803,11.059,1803,63.621
35,4,5,post-run,min,16100,3,0.051,71,0.375,71,0.455
35,4,5,post-run,p50,24400,3,0.046,76,0.491,76,0.572
35,4,5,post-run,p90,39700,3,0.066,79,0.423,79,0.54
35,4,5,post-run,p95,53700,3,0.048,83,0.438,83,0.641
35,4,5,post-run,p99,119500,3,0.048,92,0.503,92,0.971
35,4,5,post-run,max,13341500,3,0.049,1850,11.864,1850,65.01
36,4,6,post-run,min,16600,3,0.054,71,0.389,71,0.429
36,4,6,post-run,p50,25100,3,0.053,76,0.41,76,0.513
36,4,6,post-run,p90,40800,3,0.05,81,0.515,81,0.61
36,4,6,post-run,p95,55000,3,0.049,80,0.455,80,0.671
36,4,6,post-run,p99,122900,3,0.048,92,0.521,92,0.984
36,4,6,post-run,max,13714700,3,0.05,1938,13.956,1938,68.19
37,4,7,post-run,min,17300,3,0.053,71,0.424,71,0.465
37,4,7,post-run,p50,25800,3,0.05,77,0.416,77,0.493
37,4,7,post-run,p90,41800,3,0.048,83,0.48,83,0.591
37,4,7,post-run,p95,56600,3,0.049,84,0.499,84,0.702
37,4,7,post-run,p99,125600,3,0.05,90,0.544,90,0.96
37,4,7,post-run,max,14098400,3,0.05,1969,13.464,1969,69.879
38,4,8,post-run,min,17800,3,0.053,71,0.409,71,0.432
38,4,8,post-run,p50,26400,3,0.051,76,0.428,76,0.506
38,4,8,post-run,p90,42900,3,0.047,80,0.447,80,0.562
38,4,8,post-run,p95,58400,3,0.046,79,0.4,79,0.626
38,4,8,post-run,p99,129500,3,0.051,92,0.525,92,1.027
38,4,8,post-run,max,14489800,3,0.069,2011,12.442,2011,70.409
39,4,9,post-run,min,18400,3,0.063,71,0.421,71,0.466
39,4,9,post-run,p50,27100,3,0.061,78,0.441,78,0.519
39,4,9,post-run,p90,44100,3,0.049,79,0.47,79,0.606
39,4,9,post-run,p95,59800,3,0.049,79,0.446,79,0.689
39,4,9,post-run,p99,133200,3,0.051,94,0.559,94,1.052
39,4,9,post-run,max,14875900,3,0.051,2105,13.207,2105,73.653
40,4,10,post-run,min,19100,3,0.054,71,0.376,71,0.444
40,4,10,post-run,p50,27800,3,0.05,78,0.423,78,0.549
40,4,10,post-run,p90,45100,3,0.048,80,0.499,80,0.633
40,4,10,post-run,p95,61300,3,0.053,84,0.499,84,0.703
40,4,10,post-run,p99,136800,3,0.052,90,0.55,90,0.998
40,4,10,post-run,max,15257500,3,0.068,2126,12.079,2126,73.198
41,5,1,post-run,min,19500,3,0.059,71,0.427,71,0.508
41,5,1,post-run,p50,28400,3,0.05,78,0.422,78,0.548
41,5,1,post-run,p90,46300,3,0.052,81,0.494,81,0.681
41,5,1,post-run,p95,63000,3,0.052,81,0.491,81,0.726
41,5,1,post-run,p99,140600,3,0.059,96,0.579,96,1.1
41,5,1,post-run,max,15631400,3,0.052,2147,13.297,2147,75.828
42,5,2,post-run,min,20000,3,0.064,71,0.437,71,0.508
42,5,2,post-run,p50,29100,3,0.06,77,0.492,77,0.575
42,5,2,post-run,p90,47400,3,0.054,81,0.508,81,0.711
42,5,2,post-run,p95,64400,3,0.052,78,0.481,78,0.728
42,5,2,post-run,p99,143900,3,0.057,94,0.599,94,1.147
42,5,2,post-run,max,16008900,3,0.057,2192,12.887,2192,76.289
43,5,3,post-run,min,20500,3,0.054,71,0.42,71,0.485
43,5,3,post-run,p50,29800,3,0.046,77,0.391,77,0.499
43,5,3,post-run,p90,48500,3,0.05,82,0.459,82,0.62
43,5,3,post-run,p95,65800,3,0.05,82,0.474,82,0.675
43,5,3,post-run,p99,147300,3,0.047,93,0.526,93,1.03
43,5,3,post-run,max,16389700,3,0.049,2231,14.155,2231,80.225
44,5,4,post-run,min,20700,3,0.058,71,0.387,71,0.429
44,5,4,post-run,p50,30400,3,0.051,77,0.414,77,0.504
44,5,4,post-run,p90,49700,3,0.049,81,0.516,81,0.667
44,5,4,post-run,p95,67200,3,0.05,81,0.497,81,0.713
44,5,4,post-run,p99,150900,3,0.048,95,0.549,95,1.086
44,5,4,post-run,max,16766300,3,0.048,2281,14.89,2281,83.051
45,5,5,post-run,min,21100,3,0.074,71,0.378,71,0.512
45,5,5,post-run,p50,31100,3,0.057,78,0.502,78,0.567
45,5,5,post-run,p90,50800,3,0.048,80,0.46,80,0.645
45,5,5,post-run,p95,68700,3,0.048,81,0.475,81,0.727
45,5,5,post-run,p99,153600,3,0.051,95,0.58,95,1.097
45,5,5,post-run,max,17150900,3,0.049,2332,14.567,2332,81.639
46,5,6,post-run,min,21800,3,0.051,71,0.388,71,0.449
46,5,6,post-run,p50,31700,3,0.051,78,0.446,78,0.526
46,5,6,post-run,p90,51900,3,0.047,82,0.484,82,0.607
46,5,6,post-run,p95,70200,3,0.066,83,0.502,83,0.749
46,5,6,post-run,p99,157400,3,0.052,98,0.612,98,1.153
46,5,6,post-run,max,17536400,4,0.052,2381,15.69,2381,86.844
47,5,7,post-run,min,22300,3,0.053,72,0.406,72,0.49
47,5,7,post-run,p50,32400,3,0.051,79,0.508,79,0.613
47,5,7,post-run,p90,53000,3,0.053,82,0.554,82,0.713
47,5,7,post-run,p95,71800,3,0.055,85,0.53,85,0.867
