Epoch,header_epoch,header_run,phase,probe,size_bytes,lookup_shared_hit,lookup_execution_ms,array_length_shared_hit,array_length_execution_ms,serialize_shared_hit,serialize_execution_ms
68,7,8,post-run,p50,46300,3,0.053,82,0.486,82,0.619
68,7,8,post-run,p90,76300,3,0.047,86,0.503,86,0.849
68,7,8,post-run,p95,103100,3,0.049,89,0.507,89,0.936
68,7,8,post-run,p99,229100,3,0.048,106,0.694,106,1.592
68,7,8,post-run,max,25967800,4,0.054,3494,22.587,3494,127.736
69,7,9,post-run,min,32400,3,0.061,78,0.472,78,0.551
69,7,9,post-run,p50,47000,3,0.057,76,0.484,76,0.649
69,7,9,post-run,p90,77600,3,0.052,85,0.525,85,0.804
69,7,9,post-run,p95,104500,3,0.052,89,0.578,89,0.946
69,7,9,post-run,p99,231700,3,0.053,105,0.712,105,1.558
69,7,9,post-run,max,26338400,4,0.056,3544,22.403,3544,126.039
70,7,10,post-run,min,32900,3,0.049,78,0.449,78,0.571
70,7,10,post-run,p50,47700,3,0.051,80,0.456,80,0.653
70,7,10,post-run,p90,78700,3,0.051,86,0.537,86,0.779
70,7,10,post-run,p95,105900,3,0.056,89,0.558,89,0.951
70,7,10,post-run,p99,235400,3,0.049,106,0.726,106,1.569
70,7,10,post-run,max,26719200,4,0.055,3590,23.443,3590,131.93
71,8,1,post-run,min,33500,3,0.051,78,0.481,78,0.625
71,8,1,post-run,p50,48300,3,0.051,83,0.546,83,0.73
71,8,1,post-run,p90,79800,3,0.053,85,0.567,85,0.829
71,8,1,post-run,p95,107300,3,0.051,92,0.634,92,0.945
71,8,1,post-run,p99,238400,3,0.053,106,0.759,106,1.63
71,8,1,post-run,max,27105900,4,0.08,3639,22.832,3639,133.233
72,8,2,post-run,min,34000,3,0.052,79,0.477,79,0.581
72,8,2,post-run,p50,49000,3,0.054,80,0.464,80,0.691
72,8,2,post-run,p90,80700,3,0.05,86,0.527,86,0.816
72,8,2,post-run,p95,108800,3,0.05,90,0.577,90,0.916
72,8,2,post-run,p99,242400,3,0.053,106,0.674,106,1.603
72,8,2,post-run,max,27479500,4,0.076,3711,22.35,3711,130.628
73,8,3,post-run,min,34100,3,0.05,79,0.463,79,0.535
73,8,3,post-run,p50,49600,3,0.075,81,0.487,81,0.657
73,8,3,post-run,p90,81900,3,0.05,85,0.511,85,0.745
73,8,3,post-run,p95,110200,3,0.048,92,0.578,92,1.012
73,8,3,post-run,p99,245900,3,0.049,108,0.74,108,1.607
73,8,3,post-run,max,27852500,4,0.072,3741,23.561,3741,137.123
74,8,4,post-run,min,34300,3,0.059,79,0.495,79,0.674
74,8,4,post-run,p50,50300,3,0.08,81,0.475,81,0.638
74,8,4,post-run,p90,83000,3,0.05,86,0.557,86,0.877
74,8,4,post-run,p95,111800,3,0.053,90,0.571,90,0.963
74,8,4,post-run,p99,249300,3,0.135,107,0.723,107,1.688
74,8,4,post-run,max,28231600,4,0.057,3792,24.03,3792,134.73
75,8,5,post-run,min,35200,3,0.061,80,0.48,80,0.585
75,8,5,post-run,p50,51000,3,0.055,78,0.512,78,0.699
75,8,5,post-run,p90,84200,3,0.051,85,0.596,85,0.866
75,8,5,post-run,p95,113400,3,0.051,91,0.599,91,0.975
75,8,5,post-run,p99,252500,3,0.051,109,0.801,109,1.705
75,8,5,post-run,max,28609000,4,0.059,3883,24.568,3883,138.004
76,8,6,post-run,min,35700,3,0.057,79,0.493,79,0.592
76,8,6,post-run,p50,51600,3,0.055,78,0.495,78,0.668
76,8,6,post-run,p90,85300,3,0.059,85,0.558,85,0.875
76,8,6,post-run,p95,115000,3,0.056,91,0.631,91,1.039
76,8,6,post-run,p99,256300,3,0.055,111,0.748,111,1.684
76,8,6,post-run,max,29001700,4,0.054,3911,24.407,3911,137.555
77,8,7,post-run,min,36200,3,0.05,81,0.465,81,0.534
77,8,7,post-run,p50,52200,3,0.05,82,0.521,82,0.674
77,8,7,post-run,p90,86400,3,0.049,85,0.511,85,0.779
77,8,7,post-run,p95,116600,3,0.051,90,0.519,90,0.915
77,8,7,post-run,p99,259400,3,0.049,107,0.741,107,1.661
77,8,7,post-run,max,29383300,4,0.056,3941,24.455,3941,143.754
78,8,8,post-run,min,36500,3,0.059,82,0.458,82,0.585
78,8,8,post-run,p50,53000,3,0.054,78,0.471,78,0.645
78,8,8,post-run,p90,87400,3,0.054,86,0.531,86,0.813
78,8,8,post-run,p95,118000,3,0.051,88,0.57,88,0.968
78,8,8,post-run,p99,262600,3,0.048,109,0.748,109,1.71
78,8,8,post-run,max,29768800,4,0.054,3992,24.062,3992,141.92
79,8,9,post-run,min,36900,3,0.054,81,0.507,81,0.623
79,8,9,post-run,p50,53600,3,0.054,80,0.478,80,0.703
79,8,9,post-run,p90,88500,3,0.05,86,0.527,86,0.949
79,8,9,post-run,p95,119600,3,0.053,89,0.585,89,0.992
79,8,9,post-run,p99,265900,3,0.052,110,0.821,110,1.821
79,8,9,post-run,max,30149700,4,0.059,4047,25.413,4047,148.316
80,8,10,post-run,min,37900,3,0.049,81,0.463,81,0.558
80,8,10,post-run,p50,54300,3,0.052,80,0.476,80,0.673
80,8,10,post-run,p90,89600,3,0.048,87,0.499,87,0.836
80,8,10,post-run,p95,121300,3,0.049,91,0.558,91,0.977
80,8,10,post-run,p99,268800,3,0.048,111,0.742,111,1.687
80,8,10,post-run,max,30529200,4,0.072,4122,24.734,4122,146.22
81,9,1,post-run,min,38400,3,0.049,79,0.462,79,0.579
81,9,1,post-run,p50,54900,3,0.047,81,0.468,81,0.635
81,9,1,post-run,p90,90700,3,0.048,87,0.552,87,0.876
81,9,1,post-run,p95,122600,3,0.051,94,0.602,94,1.036
81,9,1,post-run,p99,272100,3,0.051,110,0.756,110,1.81
81,9,1,post-run,max,30912100,4,0.054,4144,25.46,4144,145.047
82,9,2,post-run,min,38800,3,0.058,80,0.475,80,0.603
82,9,2,post-run,p50,55600,3,0.051,79,0.458,79,0.689
82,9,2,post-run,p90,91700,3,0.053,88,0.551,88,0.918
82,9,2,post-run,p95,124200,3,0.051,90,0.591,90,0.996
82,9,2,post-run,p99,276500,3,0.052,111,0.77,111,1.747
82,9,2,post-run,max,31289700,4,0.078,4210,24.951,4210,149.891
83,9,3,post-run,min,39500,3,0.056,79,0.479,79,0.641
83,9,3,post-run,p50,56200,3,0.057,78,0.507,78,0.716
83,9,3,post-run,p90,92900,3,0.057,86,0.57,86,0.958
83,9,3,post-run,p95,125600,3,0.051,96,0.604,96,0.985
83,9,3,post-run,p99,279600,3,0.05,118,0.805,118,1.823
83,9,3,post-run,max,31669500,4,0.055,4243,27.209,4243,157.708
84,9,4,post-run,min,40300,3,0.049,79,0.503,79,0.586
84,9,4,post-run,p50,56900,3,0.051,82,0.517,82,0.656
84,9,4,post-run,p90,94000,3,0.048,87,0.513,87,0.837
84,9,4,post-run,p95,127000,3,0.046,89,0.54,89,0.996
84,9,4,post-run,p99,282900,3,0.049,113,0.744,113,1.76
84,9,4,post-run,max,32056000,4,0.053,4291,27.724,4291,157.054
85,9,5,post-run,min,40900,3,0.049,78,0.453,78,0.592
85,9,5,post-run,p50,57600,3,0.048,82,0.542,82,0.715
85,9,5,post-run,p90,95100,3,0.048,88,0.508,88,0.885
85,9,5,post-run,p95,128600,3,0.05,91,0.59,91,1.06
85,9,5,post-run,p99,286200,3,0.052,112,0.756,112,1.763
85,9,5,post-run,max,32442900,4,0.053,4356,27.455,4356,159.513
86,9,6,post-run,min,41100,3,0.05,78,0.479,78,0.702
86,9,6,post-run,p50,58200,3,0.06,80,0.503,80,0.694
86,9,6,post-run,p90,96200,3,0.052,88,0.534,88,0.88
86,9,6,post-run,p95,129800,3,0.051,93,0.607,93,1.009
86,9,6,post-run,p99,289500,3,0.05,113,0.703,113,1.769
86,9,6,post-run,max,32827500,4,0.055,4459,28.237,4459,161.179
87,9,7,post-run,min,41800,3,0.049,79,0.453,79,0.615
87,9,7,post-run,p50,58900,3,0.051,79,0.477,79,0.684
87,9,7,post-run,p90,97300,3,0.049,86,0.518,86,0.846
87,9,7,post-run,p95,131300,3,0.047,89,0.522,89,0.972
87,9,7,post-run,p99,292500,3,0.049,112,0.757,112,1.791
87,9,7,post-run,max,33202200,4,0.057,4479,28.427,4479,163.48
88,9,8,post-run,min,42200,3,0.05,78,0.483,78,0.639
88,9,8,post-run,p50,59600,3,0.061,79,0.503,79,0.699
88,9,8,post-run,p90,98400,3,0.053,88,0.543,88,0.895
88,9,8,post-run,p95,132900,3,0.049,91,0.549,91,0.996
88,9,8,post-run,p99,295700,3,0.047,114,0.743,114,1.794
88,9,8,post-run,max,33577500,4,0.053,4533,27.0,4533,161.703
89,9,9,post-run,min,42400,3,0.049,79,0.446,79,0.591
89,9,9,post-run,p50,60300,3,0.069,83,0.484,83,0.753
89,9,9,post-run,p90,99400,3,0.049,88,0.553,88,0.846
89,9,9,post-run,p95,134300,3,0.05,92,0.553,92,1.01
89,9,9,post-run,p99,299700,3,0.051,117,0.806,117,1.915
89,9,9,post-run,max,33959600,4,0.055,4552,26.669,4552,162.099
90,9,10,post-run,min,43300,3,0.049,80,0.478,80,0.612
90,9,10,post-run,p50,61000,3,0.05,84,0.474,84,0.644
90,9,10,post-run,p90,100600,3,0.05,89,0.512,89,0.828
90,9,10,post-run,p95,136000,3,0.049,94,0.589,94,1.088
90,9,10,post-run,p99,304100,3,0.048,114,0.761,114,1.894
90,9,10,post-run,max,34335800,4,0.055,4594,29.038,4594,168.149
91,10,1,post-run,min,43900,3,0.05,83,0.483,83,0.62
91,10,1,post-run,p50,61600,3,0.05,78,0.505,78,0.698
91,10,1,post-run,p90,101700,3,0.067,89,0.527,89,0.856
91,10,1,post-run,p95,137600,3,0.049,92,0.559,92,1.029
91,10,1,post-run,p99,307500,3,0.049,114,0.739,114,1.912
91,10,1,post-run,max,34722800,4,0.054,4647,28.996,4647,169.172
92,10,2,post-run,min,44400,3,0.051,83,0.514,83,0.667
92,10,2,post-run,p50,62200,3,0.048,86,0.475,86,0.709
92,10,2,post-run,p90,102700,3,0.048,87,0.531,87,0.862
92,10,2,post-run,p95,138800,3,0.049,92,0.599,92,1.033
92,10,2,post-run,p99,310200,3,0.051,113,0.823,113,1.993
92,10,2,post-run,max,35096700,4,0.075,4737,29.341,4737,171.794
93,10,3,post-run,min,45200,3,0.054,82,0.545,82,0.677
93,10,3,post-run,p50,62800,3,0.058,80,0.514,80,0.695
93,10,3,post-run,p90,103900,3,0.053,88,0.602,88,0.987
93,10,3,post-run,p95,140000,3,0.06,93,0.621,93,1.131
93,10,3,post-run,p99,313300,3,0.054,117,0.895,117,2.066
93,10,3,post-run,max,35466100,4,0.059,4796,28.991,4796,169.101
94,10,4,post-run,min,45600,3,0.05,81,0.485,81,0.631
94,10,4,post-run,p50,63500,3,0.05,80,0.459,80,0.673
94,10,4,post-run,p90,105000,3,0.049,88,0.578,88,0.915
94,10,4,post-run,p95,141800,3,0.048,95,0.562,95,1.053
94,10,4,post-run,p99,316300,3,0.048,116,0.765,116,1.925
94,10,4,post-run,max,35853800,4,0.053,4796,28.357,4796,168.52
95,10,5,post-run,min,45900,3,0.052,82,0.5,82,0.63
95,10,5,post-run,p50,64200,3,0.052,81,0.447,81,0.657
95,10,5,post-run,p90,106100,3,0.052,88,0.565,88,0.951
95,10,5,post-run,p95,143900,3,0.052,94,0.619,94,1.109
95,10,5,post-run,p99,320300,3,0.05,117,0.796,117,1.948
95,10,5,post-run,max,36227300,4,0.054,4906,29.238,4906,172.12
96,10,6,post-run,min,46500,3,0.048,83,0.532,83,0.643
96,10,6,post-run,p50,64900,3,0.048,81,0.458,81,0.677
96,10,6,post-run,p90,107100,3,0.045,89,0.616,89,0.953
96,10,6,post-run,p95,145200,3,0.046,96,0.63,96,1.114
96,10,6,post-run,p99,323800,3,0.048,116,0.784,116,1.948
96,10,6,post-run,max,36613200,4,0.052,4894,31.045,4894,179.576
97,10,7,post-run,min,46700,3,0.056,83,0.86,83,0.745
97,10,7,post-run,p50,65500,3,0.062,84,0.53,84,0.735
97,10,7,post-run,p90,108300,3,0.05,88,0.549,88,0.91
97,10,7,post-run,p95,146500,3,0.049,93,0.591,93,1.115
97,10,7,post-run,p99,326900,3,0.051,118,0.839,118,2.02
97,10,7,post-run,max,37004900,4,0.053,4947,30.481,4947,175.844
98,10,8,post-run,min,47200,3,0.052,82,0.528,82,0.682
98,10,8,post-run,p50,66200,3,0.049,81,0.489,81,0.735
98,10,8,post-run,p90,109400,3,0.052,91,0.548,91,0.914
98,10,8,post-run,p95,148400,3,0.05,91,0.561,91,1.078
98,10,8,post-run,p99,330600,3,0.051,120,0.821,120,2.104
98,10,8,post-run,max,37380800,4,0.074,5052,31.656,5052,185.159
99,10,9,post-run,min,47700,3,0.05,81,0.468,81,0.594
99,10,9,post-run,p50,66900,3,0.048,81,0.452,81,0.696
99,10,9,post-run,p90,110400,3,0.048,89,0.55,89,0.865
99,10,9,post-run,p95,149700,3,0.052,92,0.582,92,1.151
99,10,9,post-run,p99,334300,3,0.05,120,0.786,120,1.982
99,10,9,post-run,max,37760300,4,0.053,5088,32.444,5088,186.091
100,10,10,post-run,min,48400,3,0.05,81,0.472,81,0.6
100,10,10,post-run,p50,67500,3,0.049,85,0.492,85,0.699
100,10,10,post-run,p90,111700,3,0.047,87,0.519,87,0.883
100,10,10,post-run,p95,151100,3,0.047,96,0.58,96,1.105
100,10,10,post-run,p99,337900,3,0.05,117,0.734,117,2.058
100,10,10,post-run,max,38136200,4,0.054,5114,32.612,5114,185.924
