feature,lag_metric_epochs,spearman_vs_p95
run_delta_checkpoints_timed,4,0.32145439238345314
run_delta_checkpoints_timed,5,0.3124558649839212
run_delta_checkpoints_req,-5,-0.03094285395384889
run_delta_checkpoints_req,-4,-0.039756492574286796
run_delta_checkpoints_req,-3,-0.01665198105943939
run_delta_checkpoints_req,-2,-0.006557275676508169
run_delta_checkpoints_req,-1,-0.02986091219208722
run_delta_checkpoints_req,0,-0.015100514523033725
run_delta_checkpoints_req,1,-0.025825653787751108
run_delta_checkpoints_req,2,-0.023770124327342112
run_delta_checkpoints_req,3,0.0
run_delta_checkpoints_req,4,-0.00676706256583605
run_delta_checkpoints_req,5,0.01890952186068543
run_delta_checkpoint_write_time,-5,0.2986163651966837
run_delta_checkpoint_write_time,-4,0.30827704120334254
run_delta_checkpoint_write_time,-3,0.3102324220425259
run_delta_checkpoint_write_time,-2,0.3170870175343976
run_delta_checkpoint_write_time,-1,0.2992432602328806
run_delta_checkpoint_write_time,0,0.27629452452546976
run_delta_checkpoint_write_time,1,0.23100621492346365
run_delta_checkpoint_write_time,2,0.18520741261969784
run_delta_checkpoint_write_time,3,0.15418678542908495
run_delta_checkpoint_write_time,4,0.18542644827076765
run_delta_checkpoint_write_time,5,0.21318221075133342
run_delta_buffers_checkpoint,-5,0.26920923341597447
run_delta_buffers_checkpoint,-4,0.2800168211891026
run_delta_buffers_checkpoint,-3,0.3064172530483114
run_delta_buffers_checkpoint,-2,0.3277458274438161
run_delta_buffers_checkpoint,-1,0.3668153064950629
run_delta_buffers_checkpoint,0,0.3900403004151835
run_delta_buffers_checkpoint,1,0.4044123807639598
run_delta_buffers_checkpoint,2,0.4107810684563769
run_delta_buffers_checkpoint,3,0.41631405285228834
run_delta_buffers_checkpoint,4,0.41415940268158663
run_delta_buffers_checkpoint,5,0.42581801539070335
run_delta_buffers_clean,-5,0.9603695905750694
run_delta_buffers_clean,-4,0.9685168743747977
run_delta_buffers_clean,-3,0.9726147836347707
run_delta_buffers_clean,-2,0.976616792741159
run_delta_buffers_clean,-1,0.9790259657828115
run_delta_buffers_clean,0,0.9836417980077765
run_delta_buffers_clean,1,0.9739919666901893
run_delta_buffers_clean,2,0.9723200389365502
run_delta_buffers_clean,3,0.9674595144054334
run_delta_buffers_clean,4,0.958861390844253
run_delta_buffers_clean,5,0.9566530967132701
run_delta_buffers_backend,-5,0.030154457788677556
run_delta_buffers_backend,-4,0.050101826309809895
run_delta_buffers_backend,-3,0.09289169585020565
run_delta_buffers_backend,-2,0.09479805807751394
run_delta_buffers_backend,-1,0.11847381394112003
run_delta_buffers_backend,0,0.13278850309175805
run_delta_buffers_backend,1,0.11120510174901928
run_delta_buffers_backend,2,0.0723129347020494
run_delta_buffers_backend,3,0.04455811812859756
run_delta_buffers_backend,4,0.014747337956015948
run_delta_buffers_backend,5,-0.0215873664492538
cycle_delta_checkpoints_req,-5,0.9854231537454702
cycle_delta_checkpoints_req,-4,0.9860707465441331
cycle_delta_checkpoints_req,-3,0.9865563779599315
cycle_delta_checkpoints_req,-2,0.9863803781816388
cycle_delta_checkpoints_req,-1,0.9853571537243707
cycle_delta_checkpoints_req,0,0.9834636636438886
cycle_delta_checkpoints_req,1,0.9827440156590315
cycle_delta_checkpoints_req,2,0.9825800901909836
cycle_delta_checkpoints_req,3,0.9818483140640452
cycle_delta_checkpoints_req,4,0.981186857588284
cycle_delta_checkpoints_req,5,0.9808278582124517
cycle_delta_checkpoint_write_time,-5,0.980256020852822
cycle_delta_checkpoint_write_time,-4,0.9799171182883981
cycle_delta_checkpoint_write_time,-3,0.9808474966515957
cycle_delta_checkpoint_write_time,-2,0.9831620422519518
cycle_delta_checkpoint_write_time,-1,0.9815954335093926
cycle_delta_checkpoint_write_time,0,0.9818420752776544
cycle_delta_checkpoint_write_time,1,0.9803585674805129
cycle_delta_checkpoint_write_time,2,0.9807775681113341
cycle_delta_checkpoint_write_time,3,0.981399783051555
cycle_delta_checkpoint_write_time,4,0.9814363906654838
cycle_delta_checkpoint_write_time,5,0.9791221943282526
cycle_delta_buffers_checkpoint,-5,0.9647253970378852
cycle_delta_buffers_checkpoint,-4,0.9696077700153158
cycle_delta_buffers_checkpoint,-3,0.9692494822524497
cycle_delta_buffers_checkpoint,-2,0.9701813220639902
cycle_delta_buffers_checkpoint,-1,0.9704265332686084
cycle_delta_buffers_checkpoint,0,0.964518238950692
cycle_delta_buffers_checkpoint,1,0.9639639082677119
cycle_delta_buffers_checkpoint,2,0.9576596450260942
cycle_delta_buffers_checkpoint,3,0.9605115224245215
cycle_delta_buffers_checkpoint,4,0.9588643439202092
cycle_delta_buffers_checkpoint,5,0.9663281518164434
cycle_delta_buffers_backend,-5,0.9746918721674347
cycle_delta_buffers_backend,-4,0.97129660404163
cycle_delta_buffers_backend,-3,0.9726223741950584
cycle_delta_buffers_backend,-2,0.9725912986018338
cycle_delta_buffers_backend,-1,0.9727827630536244
cycle_delta_buffers_backend,0,0.9762134786463101
cycle_delta_buffers_backend,1,0.976746918676184
cycle_delta_buffers_backend,2,0.9809369580939956
cycle_delta_buffers_backend,3,0.9779216936994302
cycle_delta_buffers_backend,4,0.9792931314192378
cycle_delta_buffers_backend,5,0.9721792565975552
cycle_delta_wal_bytes,-5,0.9855892048757972
cycle_delta_wal_bytes,-4,0.986285853833414
cycle_delta_wal_bytes,-3,0.9863243367845259
cycle_delta_wal_bytes,-2,0.9864964806892326
cycle_delta_wal_bytes,-1,0.9852441882945878
cycle_delta_wal_bytes,0,0.9836662686421839
cycle_delta_wal_bytes,1,0.9827580875765394
cycle_delta_wal_bytes,2,0.9825818627150634
cycle_delta_wal_bytes,3,0.9818008481753351
cycle_delta_wal_bytes,4,0.9814024783356383
cycle_delta_wal_bytes,5,0.9808929234067469
