Epoch,phase,duration_s,delta_checkpoints_timed,delta_checkpoints_req,delta_checkpoint_write_time,delta_checkpoint_sync_time,delta_buffers_checkpoint,delta_buffers_clean,delta_buffers_backend,delta_buffers_alloc,delta_wal_bytes,delta_wal_records
16,reference,5.469,0,0,0,0,54,0,0,0,0,0
16,run,24.26,0,0,0,0,35762,0,1,0,26418,427
16,vacuum,4.445,0,0,0,0,22389,0,4,4,291671987,1440809
17,avg-run,20.081,0,0,0,0,0,0,0,0,50,1
17,clean-run,23.818,0,0,0,0,0,0,0,158,2349353,25636
17,extend,231.609,0,12,188665,72,1203688,0,47848,305,6563323451,8236766
17,reference,5.48,0,0,0,0,54,0,0,0,50,1
17,run,25.498,0,1,0,0,97021,0,102,0,38570,417
17,vacuum,3.727,0,0,17096,3,12335,0,1,1,297294645,1315132
18,avg-run,22.958,0,0,0,0,0,0,0,2,1514382,25328
18,clean-run,23.966,0,0,0,0,0,0,0,710,50,1
18,extend,239.645,0,13,199396,99,1341783,0,53364,4430,7016875442,8754257
18,reference,5.667,0,0,0,0,0,2400,0,1359,0,0
18,run,26.127,0,0,0,0,0,0,0,0,26879,434
18,vacuum,3.656,0,0,0,0,20028,0,1,6,243740428,1397810
19,avg-run,25.402,0,0,0,0,0,0,0,3,2014226,33661
19,clean-run,25.145,0,0,0,0,0,0,0,490,67147,436
19,extend,250.932,0,14,214640,142,1376122,19,86829,289523,7387446548,9131585
19,reference,5.428,0,0,0,0,54,2700,0,1559,0,0
19,run,27.17,0,0,0,0,33084,13500,5751,101,50,1
19,vacuum,4.288,0,0,0,0,23244,18,3852,242,305237209,1554013
20,avg-run,23.747,0,0,0,0,0,0,0,16,50,1
20,clean-run,25.569,0,0,0,0,0,9,0,162,2622986,29795
20,extend,240.928,0,15,205842,2832,1467319,2185,157189,507741,7802077379,9555606
20,reference,5.699,0,0,0,0,57,2800,0,1666,0,0
20,run,28.077,0,0,0,0,280,14000,0,15,50,1
20,vacuum,9.261,0,0,0,0,40528,3415,74504,898,325375018,1701980
21,avg-run,24.617,0,0,0,0,0,0,0,7,2014235,33661
21,clean-run,26.572,0,0,0,0,0,285,0,59,50,1
21,extend,260.315,0,16,225030,6646,1382154,5333,261452,542460,8309696007,10293253
21,reference,5.52,0,0,0,0,55,183,0,1665,0,0
21,run,29.305,0,0,0,0,293,0,0,0,50,1
21,vacuum,7.195,0,0,0,0,29691,1305,160053,1162,228197445,1708160
22,avg-run,24.364,0,0,0,0,0,0,0,4,2037371,34093
22,clean-run,28.341,0,0,0,0,0,645,0,938,2793979,32516
22,extend,269.352,0,16,234936,5463,1567171,30,208081,520735,8808564653,10759070
22,reference,5.542,0,0,0,0,55,617,0,1665,0,0
22,run,29.601,0,0,0,0,9224,0,786,0,50,1
22,vacuum,8.722,0,0,0,0,36623,59,167579,314,280687680,1700995
23,avg-run,26.929,0,0,0,0,2877,0,5,3,2026357,33661
23,clean-run,28.674,0,0,0,0,0,52,0,393,50,1
23,extend,276.652,0,17,235038,143,1793451,3442,74926,416592,9111665319,11152658
23,reference,5.462,0,0,0,0,54,2573,0,1666,0,0
23,run,31.68,0,0,0,0,82507,14850,2509,206,50,1
23,vacuum,13.89,0,1,15567,945,120216,5700,101144,794,438742375,1765341
24,avg-run,27.742,0,0,0,0,2279,0,5,3,2026298,33660
24,clean-run,29.68,0,0,0,0,0,2,0,619,50,1
24,extend,291.908,0,17,275801,4600,1777130,918,169630,547233,9671791203,11661879
24,reference,5.534,0,0,0,0,55,2700,0,1666,0,0
24,run,31.825,0,0,0,0,71747,15400,413,79,50,1
24,vacuum,34.94,0,1,21967,7992,163574,6811,364509,3948,465147905,2040200
25,avg-run,28.197,0,0,0,0,610,0,5,3,2026348,33661
25,clean-run,30.524,0,0,0,0,0,0,0,83,50,1
25,extend,273.193,0,17,254243,9946,1828982,2295,299677,668406,9484506592,11293128
25,reference,5.464,0,0,0,0,55,2500,0,1666,0,0
25,run,33.735,0,0,0,0,123166,16400,1711,1524,50,1
25,vacuum,46.428,0,1,27047,8185,127046,11298,473946,1129,628410083,2681106
26,avg-run,27.67,0,0,0,0,343,0,6,4,3133518,37137
26,clean-run,31.238,0,0,0,0,0,0,0,988,3155460,38121
26,extend,294.41,0,18,282317,2984,1984772,3443,94645,748326,10144110182,12375135
26,reference,5.605,0,0,0,0,55,2500,0,1666,0,0
26,run,33.863,0,0,0,0,75389,16500,5407,2593,41241,457
26,vacuum,21.558,0,1,14600,27,154851,3581,200975,1481,507717223,2112582
27,avg-run,29.838,0,0,0,0,388,0,5,3,2272260,37829
27,clean-run,32.037,0,0,0,0,0,0,0,583,50,1
27,extend,292.203,0,19,285267,8179,1717393,3157,183522,803181,10452635474,12416445
27,reference,5.584,0,0,0,0,56,2500,0,1666,0,0
27,run,35.864,0,0,0,0,358,17800,1,156,28444,462
27,vacuum,49.153,0,0,0,0,38193,11900,699503,1828,319093554,2520643
28,avg-run,30.64,0,0,0,0,394,0,5,3,2272201,37828
28,clean-run,32.623,0,0,0,0,0,0,0,868,50,1
28,extend,312.061,0,20,302173,13505,1760547,3055,370045,856655,10824479216,12773797
28,reference,5.391,0,0,0,0,54,2300,1,1567,40327,439
28,run,34.277,0,0,0,0,342,17000,0,188,50,1
28,vacuum,49.453,0,0,0,0,42823,15819,638840,2600,457651348,2731250
29,avg-run,30.108,0,0,0,0,456,0,5,3,3656832,50636
29,clean-run,33.884,0,0,0,0,0,0,0,534,3114431,42079
29,extend,326.324,0,20,307266,12222,1763407,3855,437267,918952,11259449653,13311831
29,reference,5.552,0,0,0,0,55,2700,0,1559,0,0
29,run,36.201,0,0,0,0,361,17700,1,97,33879,330
29,vacuum,48.644,0,1,14912,4545,99465,17761,597967,1964,529498108,2773352
30,avg-run,30.583,0,0,0,0,463,0,5,3,3480275,50547
30,clean-run,35.75,0,0,0,0,0,0,0,867,3014858,43337
30,extend,324.63,0,21,317020,4826,1873881,8187,223574,981791,11728101131,13809749
30,reference,6.399,0,0,0,0,64,3100,0,1666,0,0
30,run,37.169,0,0,0,0,36670,18300,1563,193,28245,244
30,vacuum,75.24,0,1,30568,8326,196384,20407,887263,1925,564040692,2813583
31,avg-run,33.992,0,0,0,0,339,0,0,0,50,1
31,clean-run,36.037,0,0,0,0,0,0,0,52,50,1
31,extend,322.463,0,22,311155,15421,2089568,1686,314821,1029140,12093953779,14231960
31,reference,5.688,0,0,0,0,10775,2700,0,1666,0,0
31,run,39.103,0,0,0,0,73256,19300,1,123,24661,177
31,vacuum,69.451,0,0,55390,7980,37284,18550,784311,6027,356877985,2965937
32,avg-run,34.705,0,0,0,0,475,0,4,3,3249254,50439
32,clean-run,37.08,0,0,0,0,0,3,0,190,2952564,45997
32,extend,331.554,0,23,329370,7802,2074359,7845,228218,1096923,12577448618,14670606
32,reference,5.583,0,0,0,0,49,2600,1,1669,21318,130
32,run,39.296,0,0,0,0,85127,19000,3950,639,50,1
32,vacuum,84.763,0,1,40539,9789,146528,23684,1066554,7578,584109834,3179647
33,avg-run,35.292,0,0,0,0,458,0,1,1,3179541,50407
33,clean-run,37.58,0,0,0,0,0,3,0,75,2974825,47386
33,extend,333.436,0,23,325587,12630,2350677,727,300632,1099040,12493686798,14398512
33,reference,5.631,0,0,0,0,56,2800,0,1666,0,0
33,run,41.207,0,0,0,0,32524,20400,1013,101,19296,98
33,vacuum,106.577,0,1,48832,8516,303256,21233,1165029,4538,772501829,3710181
34,avg-run,36.013,0,0,0,0,359,0,0,0,50,1
34,clean-run,38.522,0,0,0,0,0,0,0,592,50,1
34,extend,364.975,0,24,355511,12359,2150453,5368,418213,1257816,13287664498,15531754
34,reference,5.677,0,0,0,0,56,2800,0,1559,0,0
34,run,41.619,0,0,0,0,19671,20100,2998,220,50,1
34,vacuum,79.864,0,1,19996,8928,173515,25237,984976,2439,614985393,3252030
35,avg-run,35.963,0,0,0,0,442,0,1,1,3000776,48590
35,clean-run,39.86,0,0,0,0,0,0,0,65,3074010,50252
35,extend,365.241,0,25,362016,10009,2254327,6081,338555,1141805,13687928794,15918672
35,reference,5.325,0,0,0,0,51,2600,0,1559,0,0
35,run,41.789,0,0,0,0,69150,20200,3179,1212,50,1
35,vacuum,95.001,0,1,42931,8663,249405,19670,1141712,3163,682784657,3408401
36,avg-run,36.52,0,0,0,0,365,0,0,1,50,1
36,clean-run,40.081,0,0,0,0,0,0,0,336,3134713,51700
36,extend,379.792,0,26,377755,14578,2425622,3703,300572,1248076,14052857822,16450841
36,reference,5.665,0,0,0,0,0,2800,0,1666,0,0
36,run,42.659,0,0,90474,8313,1707,20200,1993,17419,3167,50
36,vacuum,87.09,0,0,0,0,85471,26476,1231929,9368,438809959,3327652
37,avg-run,37.234,0,0,0,0,372,0,0,0,50,1
37,clean-run,41.95,0,0,0,0,0,0,0,52,50,1
37,extend,382.388,0,26,369929,13770,2639337,2284,350173,1314608,14252567644,16312781
37,reference,5.415,0,0,0,0,54,2700,0,1666,0,0
37,run,42.707,0,0,0,0,426,21000,0,3212,50,1
37,vacuum,101.514,0,1,0,0,75656,27004,1395084,3631,752203032,4206272
38,avg-run,37.884,0,0,0,0,378,0,0,0,50,1
38,clean-run,42.268,0,0,0,0,0,3,0,733,50,1
38,extend,418.66,0,28,411240,20584,2316213,7710,619196,1441903,15143538048,17576203
38,reference,5.558,0,0,0,0,55,2633,0,1666,0,0
38,run,45.35,0,0,0,0,64932,17912,5027,680,15681,39
38,vacuum,99.187,0,1,49116,8739,185693,32585,1131914,4032,702576732,3799629
39,avg-run,41.744,0,0,0,0,417,0,0,0,50,1
39,clean-run,43.347,0,0,0,0,0,0,0,919,50,1
39,extend,411.006,0,28,408502,9653,2662229,2500,283310,1480522,15431893795,17978056
39,reference,5.638,0,0,0,0,57,2800,0,1666,0,0
39,run,46.522,0,0,0,0,16704,22700,2967,262,50,1
39,vacuum,115.847,0,1,33610,8066,131023,29286,1514444,4565,609793102,3697543
