Epoch,source,run_quartile,n,rate_pct,latency_p50_us,latency_p95_us,key_p50_bytes,key_p95_bytes
18,read_sample,q1,250,1.0,197.5,386.54999999999995,13674.0,27087.99999999997
18,read_sample,q2,250,1.0,185.0,328.09999999999997,13709.0,27576.199999999983
18,read_sample,q3,250,1.0,184.0,300.09999999999997,13752.5,24196.79999999998
18,read_sample,q4,250,1.0,182.0,320.54999999999995,13860.0,28984.49999999999
19,read_sample,q1,250,1.0,211.5,437.04999999999984,15233.0,31083.749999999996
19,read_sample,q2,250,1.0,196.0,364.5999999999998,14813.0,32523.99999999998
19,read_sample,q3,250,1.0,202.0,366.0,15198.5,33057.74999999998
19,read_sample,q4,250,1.0,188.5,325.5999999999998,14725.0,28792.399999999998
20,read_sample,q1,250,1.0,213.0,447.5499999999996,15720.5,35092.09999999999
20,read_sample,q2,250,1.0,200.0,399.8499999999999,14829.0,37686.899999999994
20,read_sample,q3,250,1.0,206.5,413.14999999999975,15813.0,40030.999999999985
20,read_sample,q4,250,1.0,200.0,388.54999999999995,15506.0,34583.29999999997
21,read_sample,q1,250,1.0,223.0,448.2999999999999,16016.5,36510.399999999994
21,read_sample,q2,250,1.0,207.0,351.7499999999999,15820.0,30821.099999999977
21,read_sample,q3,250,1.0,204.0,361.0,15505.5,29860.749999999996
21,read_sample,q4,250,1.0,211.5,348.39999999999986,15996.5,30414.299999999996
22,read_sample,q1,250,1.0,233.0,489.1999999999996,17036.5,37663.84999999995
22,read_sample,q2,250,1.0,215.5,356.54999999999995,17144.5,31674.399999999987
22,read_sample,q3,250,1.0,213.0,380.04999999999984,17058.0,34821.149999999994
22,read_sample,q4,250,1.0,209.5,351.09999999999997,16567.5,27339.249999999996
23,read_sample,q1,250,1.0,239.0,515.3499999999997,17322.0,36539.89999999998
23,read_sample,q2,250,1.0,219.0,364.65,17246.5,29244.3
23,read_sample,q3,250,1.0,222.0,370.8499999999999,17623.0,32536.199999999957
23,read_sample,q4,250,1.0,217.0,434.2999999999999,17250.0,37375.45
24,read_sample,q1,250,1.0,230.0,461.9499999999998,17558.5,37181.95
24,read_sample,q2,250,1.0,228.0,490.65,18764.0,42853.69999999996
