epoch_set,key_size_bin,n,latency_p50_us,latency_p95_us,key_median_bytes,query_execute_us_mean,resultset_next_us_mean,json_fetch_us_mean,json_parse_us_mean,value_join_us_mean
all,<=64 KiB,82542,358.0,663.0,32617.0,231.9940999733469,0.0034527876717307554,2.682488914734317,128.90716241428606,11.27539919071503
all,64-128 KiB,14764,764.0,1373.8499999999985,79433.5,535.3908154971552,0.004808994852343538,7.707870495800596,325.3956922243294,32.070509347060415
all,128-256 KiB,1912,1481.5,2707.0999999999967,164593.0,1045.227510460251,0.004707112970711297,21.167364016736403,667.4382845188285,68.9602510460251
all,256-512 KiB,374,2787.5,4970.599999999996,322428.0,1723.7513368983957,0.00267379679144385,51.23262032085562,1288.9304812834225,145.08288770053477
all,512 KiB-1 MiB,147,6369.0,9571.5,767065.0,3611.605442176871,0.02040816326530612,127.25170068027211,2919.605442176871,306.7687074829932
all,>1 MiB,261,17986.0,120558.0,2073708.0,18281.191570881227,0.0,674.528735632184,13644.739463601532,2034.9961685823755
late_epoch_80_100,<=64 KiB,10719,558.0,1019.0,57313.0,413.7186304692602,0.005784121653139285,4.600055975370837,223.52103741020616,18.64446310290139
late_epoch_80_100,64-128 KiB,8995,775.0,1445.0,80588.0,572.190772651473,0.005113952195664258,7.9227348526959425,326.155197331851,32.625347415230685
late_epoch_80_100,128-256 KiB,974,1495.5,2855.9999999999964,160963.0,1105.916837782341,0.006160164271047228,21.057494866529773,675.6817248459959,67.63141683778234
late_epoch_80_100,256-512 KiB,182,2686.0,5426.949999999995,316529.5,1786.6703296703297,0.0,47.21978021978022,1257.0494505494505,147.57142857142858
late_epoch_80_100,512 KiB-1 MiB,25,7334.0,9694.999999999998,847417.0,3294.96,0.0,132.16,3194.92,314.36
late_epoch_80_100,>1 MiB,105,16967.0,98587.39999999998,1629602.0,16516.980952380953,0.0,620.6571428571428,12681.533333333333,1847.5238095238096
peak_epochs,<=64 KiB,3505,498.0,871.1999999999962,48323.0,374.479029957204,0.003708987161198288,3.8964336661911556,187.61997146932953,16.394293865905848
peak_epochs,64-128 KiB,1279,759.0,2662.3999999999996,79128.0,676.5926505082095,0.00547302580140735,7.354182955433933,321.30179827990617,33.20797498045348
peak_epochs,128-256 KiB,167,1444.0,2611.599999999999,162591.0,962.2574850299401,0.0,19.95808383233533,653.4131736526946,65.59281437125749
peak_epochs,256-512 KiB,25,2612.0,3933.9999999999995,305369.0,1672.4,0.0,44.76,1162.56,162.32
peak_epochs,512 KiB-1 MiB,4,6307.0,40302.69999999998,767860.5,13085.25,0.0,119.0,2659.0,309.75
peak_epochs,>1 MiB,20,18714.5,102287.35000000003,2058278.5,17608.35,0.0,649.6,13328.9,1889.55
