peak_epoch,feature,peak_value,local_nonpeak_mean,peak_minus_local,peak_vs_local_ratio
73,cycle_delta_checkpoint_sync_time,83490.0,68420.0,15070.0,1.220257234726688
73,cycle_delta_buffers_checkpoint,5013818.0,5533160.25,-519342.25,0.9061400309163286
73,cycle_delta_buffers_clean,187337.0,113429.75,73907.25,1.6515684818136336
73,cycle_delta_buffers_backend,4716865.0,4649932.5,66932.5,1.0143942949709486
73,cycle_delta_wal_bytes,32883290623.0,33310661991.5,-427371368.5,0.9871701328358754
85,extend_delta_checkpoints_req,66.0,65.75,0.25,1.0038022813688212
85,extend_delta_checkpoint_write_time,875970.0,854802.5,21167.5,1.0247630300566506
85,extend_delta_checkpoint_sync_time,130512.0,61421.0,69091.0,2.1248758567916513
85,extend_delta_buffers_checkpoint,4412107.0,5406164.0,-994057.0,0.8161252599810143
85,extend_delta_buffers_clean,9509.0,10808.5,-1299.5,0.8797705509552667
85,extend_delta_buffers_backend,2299449.0,1316232.75,983216.25,1.7469926956307689
85,extend_delta_wal_bytes,35938426279.0,36017897528.0,-79471249.0,0.9977935622439311
85,vacuum_delta_checkpoints_req,2.0,2.25,-0.25,0.8888888888888888
85,vacuum_delta_checkpoint_write_time,436165.0,413649.25,22515.75,1.0544319855529776
85,vacuum_delta_checkpoint_sync_time,19780.0,22126.25,-2346.25,0.8939607931755268
85,vacuum_delta_buffers_checkpoint,299686.0,398463.25,-98777.25,0.7521044914430628
85,vacuum_delta_buffers_clean,70730.0,73950.25,-3220.25,0.9564538321371463
85,vacuum_delta_buffers_backend,4296377.0,3968214.5,328162.5,1.0826977725120455
85,vacuum_delta_wal_bytes,1459833880.0,1431665929.75,28167950.25,1.019674946273897
85,run_delta_checkpoints_timed,0.0,0.5,-0.5,0.0
85,run_delta_checkpoints_req,0.0,0.0,0.0,
85,run_delta_checkpoint_write_time,0.0,55756.75,-55756.75,0.0
85,run_delta_checkpoint_sync_time,0.0,1709.0,-1709.0,0.0
85,run_delta_buffers_checkpoint,12603.0,21741.0,-9138.0,0.5796881468193735
85,run_delta_buffers_clean,56267.0,51263.75,5003.25,1.0975982053595377
85,run_delta_buffers_backend,723.0,1901.5,-1178.5,0.38022613726005783
85,cycle_delta_checkpoints_req,72.0,72.0,0.0,1.0
85,cycle_delta_checkpoint_write_time,1695531.0,1577427.75,118103.25,1.0748707825128598
85,cycle_delta_checkpoint_sync_time,153094.0,88133.5,64960.5,1.7370693323197195
85,cycle_delta_buffers_checkpoint,5168602.0,6254915.0,-1086313.0,0.8263264968428827
85,cycle_delta_buffers_clean,161194.0,158214.5,2979.5,1.0188320286699386
85,cycle_delta_buffers_backend,7039768.0,5711404.0,1328364.0,1.2325809905935563
85,cycle_delta_wal_bytes,39449800848.0,39493096749.25,-43295901.25,0.9989037096400696
96,extend_delta_checkpoints_req,75.0,75.25,-0.25,0.9966777408637874
96,extend_delta_checkpoint_write_time,990507.0,921962.0,68545.0,1.0743468819756128
96,extend_delta_checkpoint_sync_time,192260.0,88796.25,103463.75,2.165181525120712
96,extend_delta_buffers_checkpoint,4821204.0,5899504.25,-1078300.25,0.8172218877543821
96,extend_delta_buffers_clean,13278.0,13260.0,18.0,1.0013574660633484
96,extend_delta_buffers_backend,3003147.0,1702367.5,1300779.5,1.7641002897435483
96,extend_delta_wal_bytes,41108106782.0,41112622045.0,-4515263.0,0.9998901733147777
96,vacuum_delta_checkpoints_req,3.0,1.5,1.5,2.0
96,vacuum_delta_checkpoint_write_time,478759.0,522555.0,-43796.0,0.9161887265455311
96,vacuum_delta_checkpoint_sync_time,20526.0,23607.5,-3081.5,0.8694694482685588
96,vacuum_delta_buffers_checkpoint,208303.0,206766.0,1537.0,1.0074335238869059
96,vacuum_delta_buffers_clean,86015.0,31505.0,54510.0,2.7302015553086814
96,vacuum_delta_buffers_backend,5354288.0,4792540.75,561747.25,1.1172128270375166
96,vacuum_delta_wal_bytes,1549233230.0,1514685073.25,34548156.75,1.0228088051834243
96,run_delta_checkpoints_timed,0.0,0.75,-0.75,0.0
96,run_delta_checkpoints_req,0.0,0.0,0.0,
96,run_delta_checkpoint_write_time,0.0,67391.0,-67391.0,0.0
96,run_delta_checkpoint_sync_time,0.0,1.75,-1.75,0.0
96,run_delta_buffers_checkpoint,8600.0,46408.25,-37808.25,0.18531187881465042
96,run_delta_buffers_clean,66300.0,57166.25,9133.75,1.1597752170205322
96,run_delta_buffers_backend,13503.0,10809.25,2693.75,1.2492078543839766
96,cycle_delta_checkpoints_req,82.0,81.75,0.25,1.003058103975535
96,cycle_delta_checkpoint_write_time,1929087.0,1689238.0,239849.0,1.141986505157947
96,cycle_delta_checkpoint_sync_time,222598.0,122983.75,99614.25,1.8099789606350432
96,cycle_delta_buffers_checkpoint,5499572.0,6590461.25,-1090889.25,0.834474521794662
96,cycle_delta_buffers_clean,201287.0,120815.0,80472.0,1.6660762322559284
96,cycle_delta_buffers_backend,8779805.0,6968931.75,1810873.25,1.2598494740603536
96,cycle_delta_wal_bytes,44955520706.0,44916999469.25,38521236.75,1.0008576093061685
