feature,lag_epochs,autocorr_residual
run_delta_buffers_backend,6,-0.10561006182840857
run_delta_buffers_backend,7,0.06179548313280054
run_delta_buffers_backend,8,0.05533115708694529
run_delta_buffers_backend,9,-0.0063036960964169796
run_delta_buffers_backend,10,-0.04205481376033664
run_delta_buffers_backend,11,-0.008383540287145386
run_delta_buffers_backend,12,-0.08805907521129099
run_delta_buffers_backend,13,0.020404018121274996
run_delta_buffers_backend,14,-0.074492635050026
run_delta_buffers_backend,15,0.05129838690814082
run_delta_buffers_backend,16,0.022445430341919953
run_delta_buffers_backend,17,-0.014807417165137927
run_delta_buffers_backend,18,0.11122526384709533
run_delta_buffers_backend,19,0.016139364884946484
run_delta_buffers_backend,20,-0.027631504195602626
cycle_delta_checkpoints_req,1,0.26371929888368734
cycle_delta_checkpoints_req,2,0.46613941733478587
cycle_delta_checkpoints_req,3,0.23608791281304042
cycle_delta_checkpoints_req,4,0.02127659574468083
cycle_delta_checkpoints_req,5,-0.1487455197132616
cycle_delta_checkpoints_req,6,0.1920289855072463
cycle_delta_checkpoints_req,7,-0.31868131868131855
cycle_delta_checkpoints_req,8,0.19259259259259265
cycle_delta_checkpoints_req,9,0.20921117223723584
cycle_delta_checkpoints_req,10,0.030772872744833167
cycle_delta_checkpoints_req,11,0.03112989720315293
cycle_delta_checkpoints_req,12,0.031495303612997
cycle_delta_checkpoints_req,13,0.03186939067170673
cycle_delta_checkpoints_req,14,0.03225247144031484
cycle_delta_checkpoints_req,15,0.03264487421749034
cycle_delta_checkpoints_req,16,0.03304694347808185
cycle_delta_checkpoints_req,17,0.03345904088189976
cycle_delta_checkpoints_req,18,0.03388154635894691
cycle_delta_checkpoints_req,19,0.034314859277945996
cycle_delta_checkpoints_req,20,0.034759399705716
cycle_delta_checkpoint_write_time,1,0.2866910016766226
cycle_delta_checkpoint_write_time,2,-0.32958803504901124
cycle_delta_checkpoint_write_time,3,-0.5113300564854183
cycle_delta_checkpoint_write_time,4,-0.29484662528765626
cycle_delta_checkpoint_write_time,5,0.23608274307690438
cycle_delta_checkpoint_write_time,6,0.44320455555826405
cycle_delta_checkpoint_write_time,7,0.15998506593601583
cycle_delta_checkpoint_write_time,8,-0.28817778202983363
cycle_delta_checkpoint_write_time,9,-0.4162867928647864
cycle_delta_checkpoint_write_time,10,-0.2255795064540766
cycle_delta_checkpoint_write_time,11,0.1611079473416802
cycle_delta_checkpoint_write_time,12,0.31577954705923866
cycle_delta_checkpoint_write_time,13,0.21971350641290582
cycle_delta_checkpoint_write_time,14,0.07867216726800276
cycle_delta_checkpoint_write_time,15,-0.028828192022895927
cycle_delta_checkpoint_write_time,16,-0.22942860336119747
cycle_delta_checkpoint_write_time,17,-0.10372887321181849
cycle_delta_checkpoint_write_time,18,0.07649986853988441
cycle_delta_checkpoint_write_time,19,0.17188256712359634
cycle_delta_checkpoint_write_time,20,0.12135713876390751
cycle_delta_buffers_checkpoint,1,-0.12076510688238705
cycle_delta_buffers_checkpoint,2,-0.02484428108511717
cycle_delta_buffers_checkpoint,3,-0.33907385041108185
cycle_delta_buffers_checkpoint,4,0.05992598562244958
cycle_delta_buffers_checkpoint,5,0.07788725968501388
cycle_delta_buffers_checkpoint,6,0.04095377393855827
cycle_delta_buffers_checkpoint,7,-0.09051402541633245
cycle_delta_buffers_checkpoint,8,-0.039953921802268824
cycle_delta_buffers_checkpoint,9,0.1936295310476112
cycle_delta_buffers_checkpoint,10,-0.16986355487498067
cycle_delta_buffers_checkpoint,11,0.15907424514316035
cycle_delta_buffers_checkpoint,12,-0.2381436074927513
cycle_delta_buffers_checkpoint,13,0.11414979288724432
cycle_delta_buffers_checkpoint,14,-0.14084778512015805
cycle_delta_buffers_checkpoint,15,0.0484786220908905
cycle_delta_buffers_checkpoint,16,0.1298638881157163
cycle_delta_buffers_checkpoint,17,0.32533941539425865
cycle_delta_buffers_checkpoint,18,-0.12940264481376434
cycle_delta_buffers_checkpoint,19,-0.14879293238710473
cycle_delta_buffers_checkpoint,20,-0.2548299292768144
