run_name,epoch,timestamp_unix_ms,relation,phase,heap_blks_total,heap_blks_scanned,heap_blks_vacuumed,index_vacuum_count,max_dead_tuples,num_dead_tuples
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,17,1777548499924,pg_toast.pg_toast_862726372,vacuuming heap,460643,460643,201686,1,11184809,1592513
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,17,1777548500973,pg_toast.pg_toast_862726372,vacuuming heap,460643,460643,348512,1,11184809,1592513
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,18,1777548863137,pg_toast.pg_toast_862726372,scanning heap,463944,318254,0,0,11184809,730528
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,18,1777548863137,usertable,scanning heap,5801,28,0,0,1688091,33
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,18,1777548864174,pg_toast.pg_toast_2619,scanning heap,414,99,0,0,120474,0
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,18,1777548864174,pg_toast.pg_toast_862726372,scanning heap,463944,26085,0,0,11184809,95456
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,18,1777548865215,pg_toast.pg_toast_862726372,vacuuming heap,463944,463944,117045,1,11184809,1695474
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,18,1777548866251,pg_toast.pg_toast_862726372,vacuuming heap,463944,463944,372936,1,11184809,1695474
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,19,1777549251299,pg_toast.pg_toast_862726372,scanning heap,463944,374338,0,0,11184809,1003094
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,19,1777549251299,usertable,scanning heap,5801,14,0,0,1688091,28
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,19,1777549252335,pg_toast.pg_toast_2619,scanning heap,424,79,0,0,123384,0
