run_name,epoch,phase,event,timestamp_unix_ms,checkpoints_timed,checkpoints_req,checkpoint_write_time,checkpoint_sync_time,buffers_checkpoint,buffers_clean,buffers_backend,buffers_alloc,wal_bytes,wal_records
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,2,avg-run,avg-run_start,1777544550906,699,51025,1287639618,178210333,1147821409,574624592,7051430826,12233854516,27434125474978,32657006569
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,2,avg-run,avg-run_end,1777544558901,699,51025,1287639618,178210333,1147821409,574624592,7051430826,12233854516,27434125474978,32657006569
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,3,extend,extend_start,1777544559198,699,51025,1287639618,178210333,1147821409,574624592,7051430826,12233854516,27434125474978,32657006569
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,3,extend,extend_end,1777544679266,699,51026,1287639618,178210333,1147872852,574624592,7051467232,12233883603,27435076087849,32658673079
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,3,vacuum,vacuum_start,1777544679960,699,51026,1287639618,178210333,1147873064,574624592,7051467232,12233883666,27435076188042,32658674706
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,3,vacuum,vacuum_end,1777544681365,699,51026,1287695109,178210427,1147873206,574624592,7051467232,12233883666,27435092581990,32658881696
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,3,run,run_start,1777544681727,699,51026,1287695109,178210427,1147873206,574624592,7051467232,12233883666,27435092581990,32658881696
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,3,run,run_end,1777544691474,699,51026,1287695109,178210427,1147873206,574624592,7051467232,12233883666,27435092581990,32658881696
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,3,reference,reference_start,1777544692622,699,51026,1287695109,178210427,1147873206,574624592,7051467232,12233883666,27435092581990,32658881696
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,3,reference,reference_end,1777544698134,699,51026,1287695109,178210427,1147873206,574624592,7051467232,12233883666,27435092581990,32658881696
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,3,clean-run,clean-run_start,1777544703028,699,51027,1287698282,178210465,1147940336,574624592,7051467233,12233889609,27435145536219,32658959186
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,3,clean-run,clean-run_end,1777544712163,699,51027,1287698282,178210465,1147940336,574624592,7051467233,12233890596,27435146275577,32658965375
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,3,avg-run,avg-run_start,1777544725053,699,51027,1287698282,178210465,1147940336,574624592,7051467233,12233896719,27435198487094,32659115644
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,3,avg-run,avg-run_end,1777544734154,699,51027,1287698282,178210465,1147940336,574624592,7051467233,12233896719,27435198520536,32659115839
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,4,extend,extend_start,1777544734451,699,51027,1287698282,178210465,1147940336,574624592,7051467233,12233896719,27435198520536,32659115839
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,4,extend,extend_end,1777544868159,699,51029,1287744415,178210478,1148055531,574624592,7051494180,12233913278,27436600481047,32661535559
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,4,vacuum,vacuum_start,1777544868898,699,51029,1287744415,178210478,1148055557,574624592,7051494180,12233913279,27436600651431,32661538323
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,4,vacuum,vacuum_end,1777544869379,699,51029,1287744415,178210478,1148056136,574624592,7051494180,12233913279,27436605355203,32661609507
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,4,run,run_start,1777544869747,699,51029,1287744415,178210478,1148056197,574624592,7051494180,12233913279,27436605355260,32661609508
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,4,run,run_end,1777544881226,699,51029,1287744415,178210478,1148056312,574624592,7051494180,12233913279,27436605355260,32661609508
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,4,reference,reference_start,1777544882405,699,51029,1287744415,178210478,1148056323,574624592,7051494180,12233913279,27436605355260,32661609508
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,4,reference,reference_end,1777544888050,699,51029,1287744415,178210478,1148056380,574624592,7051494180,12233913279,27436605355260,32661609508
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,4,clean-run,clean-run_start,1777544893729,699,51030,1287802038,178210524,1148131825,574624592,7051494181,12233920750,27436670414293,32661710286
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,4,clean-run,clean-run_end,1777544904699,699,51030,1287802038,178210524,1148131825,574624592,7051494181,12233921692,27436671310403,32661717966
postgresql_arrayjson_TOAST_HYPOTHESIS_run1_zipfian_heavy_pure,4,avg-run,avg-run_start,1777544918264,699,51030,1287802038,178210524,1148131825,574624592,7051494181,12233929465,27436735012806,32661888264
