variant,epochs,raw_cache_hit_vs_p95_pearson,raw_cache_hit_vs_p95_spearman,size_adjusted_cache_hit_vs_p95_pearson,size_adjusted_cache_hit_vs_p95_spearman,size_adjusted_slope_us_per_cache_hit_pct_point,size_adjusted_r2,p95_size_model_intercept_us,p95_size_model_slope_us_per_log10_gib,cache_hit_size_model_intercept_pct,cache_hit_size_model_slope_pct_per_log10_gib,toast_total_gib_min,toast_total_gib_max
VACC,100,-0.9087932636034707,-0.9299167922937356,-0.9000207668633085,-0.7702850285028501,-2361.5420698720864,0.8100373807852178,12.797169207457683,1146.052871851361,100.06504880634887,-0.25833799372884414,0.0786285400390625,27.637779235839844
NOVACC,100,-0.5881258247200623,-0.9004720921949684,-0.7019848434288138,-0.3302610261026102,-1773.711966732572,0.492782720403776,72.08516061970076,526.5915755051,100.02556081890515,-0.03529520508330407,0.11927032470703125,328.2054901123047
